2019-02-07 17:29:57,576 - INFO - rig - argouml
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:30:01,205 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:30:01,205 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 17:30:01,518 - INFO - quickread - 0, 0  475
2019-02-07 17:30:04,364 - INFO - quickread - 38, 47  475
2019-02-07 17:30:08,847 - INFO - quickread - 71, 94  593
2019-02-07 17:30:13,340 - INFO - quickread - 104, 141  741
2019-02-07 17:30:17,815 - INFO - quickread - 134, 188  690
2019-02-07 17:30:22,628 - INFO - quickread - 174, 235  621
2019-02-07 17:30:27,044 - INFO - quickread - 217, 282  564
2019-02-07 17:30:31,680 - INFO - quickread - 259, 329  564
2019-02-07 17:30:36,036 - INFO - quickread - 298, 376  571
2019-02-07 17:30:40,441 - INFO - quickread - 341, 423  588
2019-02-07 17:30:44,960 - INFO - quickread - 379, 470  622
2019-02-07 17:30:49,316 - INFO - quickread - 417, 517  630
2019-02-07 17:30:54,026 - INFO - quickread - 455, 564  663
2019-02-07 17:30:58,497 - INFO - quickread - 495, 611  688
2019-02-07 17:31:01,897 - INFO - quickread - 536, 658  728
2019-02-07 17:31:05,301 - INFO - quickread - 576, 705  768
2019-02-07 17:31:08,633 - INFO - quickread - 618, 752  791
2019-02-07 17:31:12,079 - INFO - quickread - 658, 799  826
2019-02-07 17:31:15,376 - INFO - quickread - 694, 846  856
2019-02-07 17:31:18,642 - INFO - quickread - 736, 893  890
2019-02-07 17:31:21,924 - INFO - quickread - 775, 940  941
2019-02-07 17:31:25,250 - INFO - quickread - 813, 987  985
2019-02-07 17:31:28,720 - INFO - quickread - 850, 1034  1028
2019-02-07 17:31:32,155 - INFO - quickread - 872, 1081  1067
2019-02-07 17:31:35,618 - INFO - quickread - 906, 1128  1072
2019-02-07 17:31:39,100 - INFO - quickread - 943, 1175  1109
2019-02-07 17:31:42,515 - INFO - quickread - 976, 1222  1156
2019-02-07 17:31:45,933 - INFO - quickread - 1000, 1269  1189
2019-02-07 17:31:49,418 - INFO - quickread - 1022, 1316  1197
2019-02-07 17:31:52,862 - INFO - quickread - 1051, 1363  1205
2019-02-07 17:31:56,358 - INFO - quickread - 1083, 1410  1236
2019-02-07 17:31:59,802 - INFO - quickread - 1107, 1457  1276
2019-02-07 17:32:03,267 - INFO - quickread - 1136, 1504  1293
2019-02-07 17:32:06,720 - INFO - quickread - 1162, 1551  1330
2019-02-07 17:32:10,177 - INFO - quickread - 1182, 1598  1363
2019-02-07 17:32:13,562 - INFO - quickread - 1205, 1645  1377
2019-02-07 17:32:16,960 - INFO - quickread - 1230, 1692  1406
2019-02-07 17:32:20,453 - INFO - quickread - 1241, 1739  1440
2019-02-07 17:32:23,727 - INFO - quickread - 1257, 1786  1418
2019-02-07 17:32:27,021 - INFO - quickread - 1269, 1833  1431
2019-02-07 17:32:30,282 - INFO - quickread - 1271, 1880  1430
2019-02-07 17:32:33,538 - INFO - quickread - 1282, 1927  1397
2019-02-07 17:32:36,759 - INFO - quickread - 1287, 1974  1401
2019-02-07 17:32:39,971 - INFO - quickread - 1290, 2021  1390
2019-02-07 17:32:43,197 - INFO - quickread - 1296, 2068  1374
2019-02-07 17:32:46,339 - INFO - quickread - 1299, 2115  1371
2019-02-07 17:32:49,480 - INFO - quickread - 1304, 2162  1360
2019-02-07 17:32:52,561 - INFO - quickread - 1307, 2209  1358
2019-02-07 17:32:55,637 - INFO - quickread - 1309, 2256  1351
2019-02-07 17:32:58,733 - INFO - quickread - 1314, 2303  1345
2019-02-07 17:33:01,793 - INFO - quickread - 1314, 2350  1345
2019-02-07 17:33:04,828 - INFO - quickread - 1316, 2397  1334
2019-02-07 17:33:07,870 - INFO - quickread - 1316, 2444  1330
