2019-02-07 17:09:16,046 - INFO - rig - columba-1.4-src
2019-02-07 17:09:19,086 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:09:19,086 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:09:19,086 - INFO - quickread - Total Yes: 204 | Total No: 6264
2019-02-07 17:09:19,399 - INFO - quickread - 0, 0  475
2019-02-07 17:09:21,338 - INFO - quickread - 29, 32  475
2019-02-07 17:09:24,224 - INFO - quickread - 55, 64  285
2019-02-07 17:09:27,007 - INFO - quickread - 80, 96  386
2019-02-07 17:09:29,702 - INFO - quickread - 103, 128  381
2019-02-07 17:09:32,415 - INFO - quickread - 132, 160  344
2019-02-07 17:09:35,125 - INFO - quickread - 158, 192  357
2019-02-07 17:09:37,821 - INFO - quickread - 175, 224  406
2019-02-07 17:09:40,429 - INFO - quickread - 183, 256  428
2019-02-07 17:09:43,036 - INFO - quickread - 190, 288  412
2019-02-07 17:09:45,503 - INFO - quickread - 193, 320  393
2019-02-07 17:09:47,887 - INFO - quickread - 195, 352  368
2019-02-07 17:09:50,274 - INFO - quickread - 196, 384  345
2019-02-07 17:09:52,591 - INFO - quickread - 197, 416  319
2019-02-07 17:09:54,822 - INFO - quickread - 198, 448  302
2019-02-07 17:09:57,037 - INFO - quickread - 198, 480  288
2019-02-07 17:09:59,346 - INFO - quickread - 198, 512  274
2019-02-07 17:10:01,568 - INFO - quickread - 198, 544  263
2019-02-07 17:10:03,793 - INFO - quickread - 199, 576  254
2019-02-07 17:10:06,032 - INFO - quickread - 199, 608  252
2019-02-07 17:10:08,272 - INFO - quickread - 199, 640  246
2019-02-07 17:10:10,578 - INFO - quickread - 200, 672  242
2019-02-07 17:10:12,789 - INFO - quickread - 200, 704  241
2019-02-07 17:10:14,937 - INFO - quickread - 202, 736  237
2019-02-07 17:10:17,035 - INFO - quickread - 202, 768  241
2019-02-07 17:10:19,204 - INFO - quickread - 202, 800  238
2019-02-07 17:10:21,267 - INFO - quickread - 202, 832  234
2019-02-07 17:10:23,347 - INFO - quickread - 203, 864  232
2019-02-07 17:10:25,407 - INFO - quickread - 203, 896  232
2019-02-07 17:10:27,474 - INFO - quickread - 203, 928  230
2019-02-07 17:10:29,521 - INFO - quickread - 203, 960  228
2019-02-07 17:10:31,610 - INFO - quickread - 203, 992  227
2019-02-07 17:10:33,661 - INFO - quickread - 203, 1024  225
2019-02-07 17:10:43,733 - INFO - quickread - 203, 1137  223
2019-02-07 17:10:53,864 - INFO - quickread - 203, 1250  220
2019-02-07 17:11:04,116 - INFO - quickread - 203, 1368  218
2019-02-07 17:11:14,169 - INFO - quickread - 203, 1473  216
2019-02-07 17:11:14,169 - INFO - quickread - IGNORE columba-1.4-src NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 228
