2019-02-07 17:35:35,419 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-02-07 17:35:38,603 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:35:38,603 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:35:38,603 - INFO - quickread - Total Yes: 472 | Total No: 2496
2019-02-07 17:35:38,897 - INFO - quickread - 0, 0  475
2019-02-07 17:35:39,741 - INFO - quickread - 14, 14  475
2019-02-07 17:35:41,058 - INFO - quickread - 19, 28  230
2019-02-07 17:35:42,394 - INFO - quickread - 33, 42  244
2019-02-07 17:35:43,762 - INFO - quickread - 46, 56  259
2019-02-07 17:35:45,143 - INFO - quickread - 59, 70  269
2019-02-07 17:35:46,486 - INFO - quickread - 73, 84  278
2019-02-07 17:35:47,850 - INFO - quickread - 87, 98  289
2019-02-07 17:35:49,228 - INFO - quickread - 99, 112  304
2019-02-07 17:35:50,564 - INFO - quickread - 113, 126  300
2019-02-07 17:35:51,938 - INFO - quickread - 127, 140  307
2019-02-07 17:35:53,445 - INFO - quickread - 139, 154  330
2019-02-07 17:35:54,960 - INFO - quickread - 150, 168  333
2019-02-07 17:35:56,484 - INFO - quickread - 160, 182  336
2019-02-07 17:35:57,588 - INFO - quickread - 174, 196  341
2019-02-07 17:35:58,700 - INFO - quickread - 188, 210  355
2019-02-07 17:35:59,814 - INFO - quickread - 199, 224  371
2019-02-07 17:36:00,933 - INFO - quickread - 210, 238  378
2019-02-07 17:36:02,075 - INFO - quickread - 223, 252  389
2019-02-07 17:36:03,228 - INFO - quickread - 235, 266  413
2019-02-07 17:36:04,332 - INFO - quickread - 245, 280  422
2019-02-07 17:36:05,482 - INFO - quickread - 256, 294  432
2019-02-07 17:36:06,614 - INFO - quickread - 268, 308  443
2019-02-07 17:36:07,728 - INFO - quickread - 278, 322  463
2019-02-07 17:36:08,821 - INFO - quickread - 290, 336  474
2019-02-07 17:36:09,962 - INFO - quickread - 294, 350  496
2019-02-07 17:36:11,086 - INFO - quickread - 305, 364  493
2019-02-07 17:36:12,198 - INFO - quickread - 312, 378  508
2019-02-07 17:36:13,350 - INFO - quickread - 322, 392  513
2019-02-07 17:36:14,364 - INFO - quickread - 333, 406  521
2019-02-07 17:36:15,387 - INFO - quickread - 339, 420  540
2019-02-07 17:36:16,400 - INFO - quickread - 347, 434  544
2019-02-07 17:36:17,445 - INFO - quickread - 354, 448  550
2019-02-07 17:36:18,468 - INFO - quickread - 363, 462  553
2019-02-07 17:36:19,481 - INFO - quickread - 368, 476  565
2019-02-07 17:36:20,503 - INFO - quickread - 375, 490  560
2019-02-07 17:36:21,518 - INFO - quickread - 381, 504  565
2019-02-07 17:36:22,549 - INFO - quickread - 384, 518  568
2019-02-07 17:36:23,541 - INFO - quickread - 393, 532  557
2019-02-07 17:36:24,537 - INFO - quickread - 394, 546  575
2019-02-07 17:36:25,559 - INFO - quickread - 396, 560  563
2019-02-07 17:36:26,562 - INFO - quickread - 399, 574  553
2019-02-07 17:36:27,577 - INFO - quickread - 400, 588  549
2019-02-07 17:36:28,588 - INFO - quickread - 404, 602  531
2019-02-07 17:36:29,555 - INFO - quickread - 407, 616  531
2019-02-07 17:36:30,548 - INFO - quickread - 410, 630  530
2019-02-07 17:36:31,558 - INFO - quickread - 413, 644  529
2019-02-07 17:36:32,560 - INFO - quickread - 414, 658  526
2019-02-07 17:36:33,544 - INFO - quickread - 416, 672  515
2019-02-07 17:36:34,528 - INFO - quickread - 420, 686  510
2019-02-07 17:36:35,491 - INFO - quickread - 420, 700  513
2019-02-07 17:36:36,454 - INFO - quickread - 422, 714  505
2019-02-07 17:36:37,428 - INFO - quickread - 424, 728  501
2019-02-07 17:36:38,388 - INFO - quickread - 427, 742  497
2019-02-07 17:36:39,343 - INFO - quickread - 430, 756  498
2019-02-07 17:36:40,305 - INFO - quickread - 433, 770  499
2019-02-07 17:36:41,257 - INFO - quickread - 433, 784  499
2019-02-07 17:36:42,197 - INFO - quickread - 433, 798  493
2019-02-07 17:36:43,110 - INFO - quickread - 434, 812  484
2019-02-07 17:36:44,057 - INFO - quickread - 434, 826  481
2019-02-07 17:36:45,027 - INFO - quickread - 435, 840  475
2019-02-07 17:36:45,948 - INFO - quickread - 435, 854  471
2019-02-07 17:36:46,903 - INFO - quickread - 436, 868  467
2019-02-07 17:36:47,848 - INFO - quickread - 437, 882  466
2019-02-07 17:36:48,800 - INFO - quickread - 437, 896  463
2019-02-07 17:36:49,763 - INFO - quickread - 437, 910  460
2019-02-07 17:36:50,685 - INFO - quickread - 438, 924  456
2019-02-07 17:36:51,617 - INFO - quickread - 440, 938  456
2019-02-07 17:36:52,541 - INFO - quickread - 440, 952  458
2019-02-07 17:36:53,481 - INFO - quickread - 443, 966  455
2019-02-07 17:36:54,414 - INFO - quickread - 444, 980  459
2019-02-07 17:36:55,316 - INFO - quickread - 447, 994  458
2019-02-07 17:36:56,237 - INFO - quickread - 449, 1008  461
2019-02-07 17:36:57,128 - INFO - quickread - 449, 1022  463
2019-02-07 17:36:58,080 - INFO - quickread - 450, 1036  460
2019-02-07 17:36:59,020 - INFO - quickread - 450, 1050  459
2019-02-07 17:36:59,946 - INFO - quickread - 450, 1064  456
