2019-02-07 17:14:05,857 - INFO - rig - jEdit-4.2
2019-02-07 17:14:10,056 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 17:14:10,056 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 17:14:10,056 - INFO - quickread - Total Yes: 256 | Total No: 10066
2019-02-07 17:14:10,463 - INFO - quickread - 0, 0  475
2019-02-07 17:14:13,889 - INFO - quickread - 2, 51  475
2019-02-07 17:14:17,512 - INFO - quickread - 4, 101  475
2019-02-07 17:14:21,108 - INFO - quickread - 5, 151  475
2019-02-07 17:14:25,834 - INFO - quickread - 44, 202  122
2019-02-07 17:14:31,086 - INFO - quickread - 73, 253  148
2019-02-07 17:14:35,917 - INFO - quickread - 99, 304  183
2019-02-07 17:14:40,209 - INFO - quickread - 121, 355  197
2019-02-07 17:14:44,183 - INFO - quickread - 142, 406  215
2019-02-07 17:14:48,131 - INFO - quickread - 150, 457  250
2019-02-07 17:14:51,963 - INFO - quickread - 162, 508  231
2019-02-07 17:14:55,773 - INFO - quickread - 168, 559  240
2019-02-07 17:14:59,387 - INFO - quickread - 180, 610  227
2019-02-07 17:15:02,996 - INFO - quickread - 184, 661  241
2019-02-07 17:15:06,767 - INFO - quickread - 196, 712  225
2019-02-07 17:15:10,601 - INFO - quickread - 200, 763  244
2019-02-07 17:15:14,377 - INFO - quickread - 206, 814  233
2019-02-07 17:15:17,933 - INFO - quickread - 213, 865  235
2019-02-07 17:15:21,443 - INFO - quickread - 215, 916  241
2019-02-07 17:15:24,838 - INFO - quickread - 219, 967  234
2019-02-07 17:15:28,164 - INFO - quickread - 223, 1018  236
2019-02-07 17:15:31,504 - INFO - quickread - 227, 1069  238
2019-02-07 17:15:34,864 - INFO - quickread - 227, 1120  241
2019-02-07 17:15:38,210 - INFO - quickread - 228, 1171  235
2019-02-07 17:15:41,507 - INFO - quickread - 231, 1222  233
2019-02-07 17:15:44,778 - INFO - quickread - 234, 1273  236
2019-02-07 17:15:48,273 - INFO - quickread - 234, 1324  240
2019-02-07 17:15:51,577 - INFO - quickread - 237, 1375  237
2019-02-07 17:15:55,050 - INFO - quickread - 240, 1426  240
2019-02-07 17:15:58,402 - INFO - quickread - 242, 1477  244
2019-02-07 17:16:01,768 - INFO - quickread - 243, 1528  246
2019-02-07 17:16:05,371 - INFO - quickread - 243, 1579  246
2019-02-07 17:16:08,663 - INFO - quickread - 244, 1630  244
2019-02-07 17:16:12,138 - INFO - quickread - 249, 1681  244
2019-02-07 17:16:15,611 - INFO - quickread - 249, 1732  251
2019-02-07 17:16:19,091 - INFO - quickread - 249, 1783  249
2019-02-07 17:16:22,569 - INFO - quickread - 249, 1834  247
2019-02-07 17:16:40,617 - INFO - quickread - 250, 2011  247
2019-02-07 17:16:57,070 - INFO - quickread - 250, 2173  247
2019-02-07 17:17:13,281 - INFO - quickread - 250, 2351  246
2019-02-07 17:17:13,281 - INFO - quickread - IGNORE jEdit-4.2 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 259
2019-02-07 17:17:13,301 - INFO - quickread - IGNORE jEdit-4.2 | Total: 10322 | Percent Checked: 0.23 | Total Yes Data: 256 | Percent Yes Checked: 0.98
2019-02-07 17:17:13,302 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 17:17:13,302 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-07 17:17:14,205 - INFO - fastread - 38, 51  676
2019-02-07 17:17:14,772 - INFO - fastread - 71, 102  957
2019-02-07 17:17:15,255 - INFO - fastread - 106, 153  1115
2019-02-07 17:17:15,721 - INFO - fastread - 129, 204  1281
2019-02-07 17:17:16,123 - INFO - fastread - 144, 255  1298
2019-02-07 17:17:16,399 - INFO - fastread - 161, 306  1352
2019-02-07 17:17:16,678 - INFO - fastread - 177, 357  1367
2019-02-07 17:17:17,033 - INFO - fastread - 191, 408  1457
2019-02-07 17:17:17,408 - INFO - fastread - 197, 459  1457
2019-02-07 17:17:17,851 - INFO - fastread - 201, 510  1452
2019-02-07 17:17:18,095 - INFO - fastread - 203, 561  1364
2019-02-07 17:17:18,473 - INFO - fastread - 212, 612  1449
2019-02-07 17:17:18,724 - INFO - fastread - 217, 663  1368
2019-02-07 17:17:18,944 - INFO - fastread - 221, 714  1364
2019-02-07 17:17:19,215 - INFO - fastread - 224, 765  1360
2019-02-07 17:17:19,469 - INFO - fastread - 225, 816  1354
2019-02-07 17:17:19,725 - INFO - fastread - 225, 867  1345
2019-02-07 17:17:20,012 - INFO - fastread - 226, 918  1339
2019-02-07 17:17:20,359 - INFO - fastread - 229, 969  1335
2019-02-07 17:17:20,770 - INFO - fastread - 229, 1020  1324
2019-02-07 17:17:21,120 - INFO - fastread - 229, 1071  1264
2019-02-07 17:17:21,373 - INFO - fastread - 229, 1122  1198
2019-02-07 17:17:21,623 - INFO - fastread - 229, 1173  1190
2019-02-07 17:17:21,868 - INFO - fastread - 229, 1224  1184
2019-02-07 17:17:22,112 - INFO - fastread - 229, 1275  1178
2019-02-07 17:17:22,460 - INFO - fastread - 229, 1326  1171
2019-02-07 17:17:22,763 - INFO - fastread - 229, 1377  1122
2019-02-07 17:17:23,090 - INFO - fastread - 229, 1428  1116
2019-02-07 17:17:23,466 - INFO - fastread - 229, 1479  1108
2019-02-07 17:17:23,683 - INFO - fastread - 229, 1530  1060
2019-02-07 17:17:23,944 - INFO - fastread - 229, 1581  1054
2019-02-07 17:17:24,232 - INFO - fastread - 229, 1632  1048
2019-02-07 17:17:24,508 - INFO - fastread - 229, 1683  1007
2019-02-07 17:17:24,763 - INFO - fastread - 229, 1734  1002
2019-02-07 17:17:25,066 - INFO - fastread - 229, 1785  995
2019-02-07 17:17:25,379 - INFO - fastread - 229, 1836  985
2019-02-07 17:17:25,702 - INFO - fastread - 229, 1887  974
2019-02-07 17:17:25,996 - INFO - fastread - 229, 1938  918
2019-02-07 17:17:26,278 - INFO - fastread - 229, 1989  913
2019-02-07 17:17:26,551 - INFO - fastread - 229, 2040  908
2019-02-07 17:17:26,894 - INFO - fastread - 229, 2091  903
2019-02-07 17:17:27,179 - INFO - fastread - 229, 2142  893
2019-02-07 17:17:27,493 - INFO - fastread - 229, 2193  884
2019-02-07 17:17:27,721 - INFO - fastread - 229, 2244  840
2019-02-07 17:17:27,950 - INFO - fastread - 229, 2295  835
2019-02-07 17:17:28,205 - INFO - fastread - 229, 2346  830
2019-02-07 17:17:28,463 - INFO - fastread - 229, 2397  822
2019-02-07 17:17:28,745 - INFO - fastread - 229, 2448  816
2019-02-07 17:17:29,016 - INFO - fastread - 229, 2499  809
2019-02-07 17:17:29,282 - INFO - fastread - 229, 2550  784
2019-02-07 17:17:29,476 - INFO - fastread - 229, 2601  767
2019-02-07 17:17:29,717 - INFO - fastread - 229, 2652  763
2019-02-07 17:17:29,990 - INFO - fastread - 229, 2703  756
2019-02-07 17:17:30,287 - INFO - fastread - 229, 2754  750
2019-02-07 17:17:30,545 - INFO - fastread - 229, 2805  727
2019-02-07 17:17:30,890 - INFO - fastread - 230, 2856  724
2019-02-07 17:17:31,265 - INFO - fastread - 231, 2907  722
2019-02-07 17:17:31,580 - INFO - fastread - 232, 2958  719
2019-02-07 17:17:31,840 - INFO - fastread - 233, 3009  704
2019-02-07 17:17:32,065 - INFO - fastread - 235, 3060  702
2019-02-07 17:17:32,237 - INFO - fastread - 235, 3111  682
2019-02-07 17:17:32,449 - INFO - fastread - 236, 3162  680
2019-02-07 17:17:32,642 - INFO - fastread - 237, 3213  676
2019-02-07 17:17:32,846 - INFO - fastread - 239, 3264  675
2019-02-07 17:17:33,067 - INFO - fastread - 239, 3315  671
2019-02-07 17:17:33,278 - INFO - fastread - 239, 3366  666
2019-02-07 17:17:33,472 - INFO - fastread - 239, 3417  641
2019-02-07 17:17:33,651 - INFO - fastread - 239, 3468  637
2019-02-07 17:17:33,833 - INFO - fastread - 241, 3519  636
2019-02-07 17:17:34,000 - INFO - fastread - 241, 3570  632
2019-02-07 17:17:34,226 - INFO - fastread - 241, 3621  628
