2019-02-07 19:33:32,315 - INFO - rig - apache-ant-1.7.0
2019-02-07 19:33:41,535 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:41,535 - INFO - quickread - Total Yes: 131 | Total No: 3967
2019-02-07 19:33:42,278 - INFO - quickread - 0, 0  475
2019-02-07 19:33:46,172 - INFO - quickread - 3, 20  475
2019-02-07 19:33:50,102 - INFO - quickread - 5, 40  475
2019-02-07 19:33:55,292 - INFO - quickread - 20, 60  97
2019-02-07 19:33:59,853 - INFO - quickread - 32, 80  114
2019-02-07 19:34:03,935 - INFO - quickread - 46, 100  104
2019-02-07 19:34:08,516 - INFO - quickread - 54, 120  130
2019-02-07 19:34:12,921 - INFO - quickread - 59, 140  141
2019-02-07 19:34:17,398 - INFO - quickread - 64, 160  131
2019-02-07 19:34:21,592 - INFO - quickread - 69, 180  121
2019-02-07 19:34:24,945 - INFO - quickread - 74, 200  118
2019-02-07 19:34:29,546 - INFO - quickread - 75, 220  115
2019-02-07 19:34:34,074 - INFO - quickread - 80, 240  104
2019-02-07 19:34:37,805 - INFO - quickread - 83, 260  108
2019-02-07 19:34:41,852 - INFO - quickread - 86, 280  105
2019-02-07 19:34:46,477 - INFO - quickread - 89, 300  103
2019-02-07 19:34:50,928 - INFO - quickread - 89, 320  104
2019-02-07 19:34:54,860 - INFO - quickread - 90, 340  99
2019-02-07 19:34:58,270 - INFO - quickread - 91, 360  96
2019-02-07 19:35:02,609 - INFO - quickread - 92, 380  96
2019-02-07 19:35:06,036 - INFO - quickread - 93, 400  95
2019-02-07 19:35:10,487 - INFO - quickread - 93, 420  96
2019-02-07 19:35:14,150 - INFO - quickread - 95, 440  95
2019-02-07 19:35:18,344 - INFO - quickread - 96, 460  97
2019-02-07 19:35:22,286 - INFO - quickread - 97, 480  97
2019-02-07 19:35:26,560 - INFO - quickread - 97, 500  98
2019-02-07 19:35:31,037 - INFO - quickread - 99, 520  98
2019-02-07 19:35:34,755 - INFO - quickread - 104, 540  100
2019-02-07 19:35:38,703 - INFO - quickread - 104, 560  108
2019-02-07 19:35:43,102 - INFO - quickread - 104, 580  107
2019-02-07 19:35:47,772 - INFO - quickread - 105, 600  106
2019-02-07 19:35:51,656 - INFO - quickread - 107, 620  107
2019-02-07 19:35:56,006 - INFO - quickread - 107, 640  110
2019-02-07 19:36:00,584 - INFO - quickread - 107, 660  109
2019-02-07 19:36:04,870 - INFO - quickread - 108, 680  109
2019-02-07 19:36:09,038 - INFO - quickread - 110, 700  110
2019-02-07 19:36:12,952 - INFO - quickread - 110, 720  112
2019-02-07 19:36:17,467 - INFO - quickread - 111, 740  112
2019-02-07 19:36:22,189 - INFO - quickread - 111, 760  113
2019-02-07 19:36:25,837 - INFO - quickread - 111, 780  112
2019-02-07 19:36:29,724 - INFO - quickread - 111, 800  112
2019-02-07 19:36:34,804 - INFO - quickread - 111, 820  111
2019-02-07 19:36:39,263 - INFO - quickread - 111, 840  111
2019-02-07 19:37:01,866 - INFO - quickread - 111, 906  110
2019-02-07 19:37:23,255 - INFO - quickread - 112, 967  110
2019-02-07 19:37:47,208 - INFO - quickread - 112, 1034  111
2019-02-07 19:37:47,209 - INFO - quickread - IGNORE apache-ant-1.7.0 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 117
2019-02-07 19:37:47,263 - INFO - quickread - IGNORE apache-ant-1.7.0 | Total: 4098 | Percent Checked: 0.25 | Total Yes Data: 131 | Percent Yes Checked: 0.85
2019-02-07 19:37:47,263 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 19:37:47,264 - INFO - quickread - Total Yes: 131 | Total No: 3967
2019-02-07 19:37:49,347 - INFO - quickread - 16, 20  308
2019-02-07 19:37:50,167 - INFO - quickread - 27, 40  379
2019-02-07 19:37:50,986 - INFO - quickread - 40, 60  472
2019-02-07 19:37:51,711 - INFO - quickread - 50, 80  526
2019-02-07 19:37:52,381 - INFO - quickread - 57, 100  567
2019-02-07 19:37:53,174 - INFO - quickread - 58, 120  556
2019-02-07 19:37:53,978 - INFO - quickread - 63, 140  570
2019-02-07 19:37:54,405 - INFO - quickread - 65, 160  478
2019-02-07 19:37:54,790 - INFO - quickread - 66, 180  475
2019-02-07 19:37:55,115 - INFO - quickread - 67, 200  475
2019-02-07 19:37:55,560 - INFO - quickread - 70, 220  526
2019-02-07 19:37:56,035 - INFO - quickread - 74, 240  528
2019-02-07 19:37:56,586 - INFO - quickread - 77, 260  529
2019-02-07 19:37:57,148 - INFO - quickread - 78, 280  527
2019-02-07 19:37:57,558 - INFO - quickread - 80, 300  528
2019-02-07 19:37:57,970 - INFO - quickread - 81, 320  525
2019-02-07 19:37:58,460 - INFO - quickread - 83, 340  525
2019-02-07 19:37:58,986 - INFO - quickread - 84, 360  523
2019-02-07 19:37:59,447 - INFO - quickread - 87, 380  523
2019-02-07 19:37:59,841 - INFO - quickread - 88, 400  524
2019-02-07 19:38:00,197 - INFO - quickread - 93, 420  531
2019-02-07 19:38:00,593 - INFO - quickread - 95, 440  529
2019-02-07 19:38:01,003 - INFO - quickread - 95, 460  527
2019-02-07 19:38:01,444 - INFO - quickread - 95, 480  523
2019-02-07 19:38:01,930 - INFO - quickread - 96, 500  517
2019-02-07 19:38:02,569 - INFO - quickread - 96, 520  515
2019-02-07 19:38:02,970 - INFO - quickread - 97, 540  483
2019-02-07 19:38:03,516 - INFO - quickread - 98, 560  482
2019-02-07 19:38:03,950 - INFO - quickread - 99, 580  478
2019-02-07 19:38:04,384 - INFO - quickread - 100, 600  476
2019-02-07 19:38:04,852 - INFO - quickread - 101, 620  475
2019-02-07 19:38:05,388 - INFO - quickread - 101, 640  472
2019-02-07 19:38:06,028 - INFO - quickread - 101, 660  467
2019-02-07 19:38:06,373 - INFO - quickread - 101, 680  449
2019-02-07 19:38:06,723 - INFO - quickread - 103, 700  450
2019-02-07 19:38:07,017 - INFO - quickread - 104, 720  445
2019-02-07 19:38:07,341 - INFO - quickread - 104, 740  440
2019-02-07 19:38:07,668 - INFO - quickread - 106, 760  440
2019-02-07 19:38:07,972 - INFO - quickread - 106, 780  431
2019-02-07 19:38:08,306 - INFO - quickread - 108, 800  433
2019-02-07 19:38:08,775 - INFO - quickread - 111, 820  437
2019-02-07 19:38:09,132 - INFO - quickread - 111, 840  430
2019-02-07 19:38:09,917 - INFO - quickread - 113, 860  430
2019-02-07 19:38:10,372 - INFO - quickread - 113, 880  421
2019-02-07 19:38:10,656 - INFO - quickread - 114, 900  416
2019-02-07 19:38:10,930 - INFO - quickread - 114, 920  411
2019-02-07 19:38:11,232 - INFO - quickread - 114, 940  406
2019-02-07 19:38:11,545 - INFO - quickread - 114, 960  402
2019-02-07 19:38:11,932 - INFO - quickread - 114, 980  399
2019-02-07 19:38:12,598 - INFO - quickread - 114, 1000  387
2019-02-07 19:38:12,859 - INFO - quickread - 114, 1020  381
2019-02-07 19:38:13,136 - INFO - quickread - 114, 1040  378
2019-02-07 19:38:13,441 - INFO - quickread - 115, 1060  376
2019-02-07 19:38:13,740 - INFO - quickread - 115, 1080  372
2019-02-07 19:38:14,068 - INFO - quickread - 115, 1100  370
2019-02-07 19:38:14,384 - INFO - quickread - 115, 1120  361
2019-02-07 19:38:14,644 - INFO - quickread - 115, 1140  354
2019-02-07 19:38:14,925 - INFO - quickread - 116, 1160  354
2019-02-07 19:38:15,185 - INFO - quickread - 117, 1180  351
2019-02-07 19:38:15,461 - INFO - quickread - 117, 1200  349
2019-02-07 19:38:15,769 - INFO - quickread - 118, 1220  347
2019-02-07 19:38:16,051 - INFO - quickread - 118, 1240  341
2019-02-07 19:38:16,373 - INFO - quickread - 118, 1260  339
2019-02-07 19:38:16,735 - INFO - quickread - 118, 1280  334
2019-02-07 19:38:17,102 - INFO - quickread - 118, 1300  331
2019-02-07 19:38:17,349 - INFO - quickread - 118, 1320  325
2019-02-07 19:38:17,603 - INFO - quickread - 118, 1340  323
2019-02-07 19:38:17,847 - INFO - quickread - 118, 1360  317
2019-02-07 19:38:18,172 - INFO - quickread - 118, 1380  315
2019-02-07 19:38:18,503 - INFO - quickread - 118, 1400  310
2019-02-07 19:38:18,503 - INFO - quickread - 118, 1400  310
2019-02-07 19:38:18,504 - INFO - quickread - IGNORE apache-ant-1.7.0 NO IMPROVEMENT after 9 loops. EXITING. Current estimate: 310
2019-02-07 19:38:18,533 - INFO - quickread - IGNORE apache-ant-1.7.0 | Total: 4099 | Percent Checked: 0.34 | Total Yes Data: 131 | Percent Yes Checked: 0.9
2019-02-07 19:38:18,534 - INFO - rig - ++++NEW CLF++++ SVM
2019-02-07 19:38:18,535 - INFO - quickread - Total Yes: 131 | Total No: 3967
