2019-02-07 19:33:33,528 - INFO - rig - argouml
2019-02-07 19:33:46,489 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:46,490 - INFO - quickread - Total Yes: 1413 | Total No: 8039
2019-02-07 19:33:48,025 - INFO - quickread - 0, 0  475
2019-02-07 19:33:58,292 - INFO - quickread - 36, 47  475
2019-02-07 19:34:16,482 - INFO - quickread - 76, 94  583
2019-02-07 19:34:34,532 - INFO - quickread - 109, 141  779
2019-02-07 19:34:52,901 - INFO - quickread - 141, 188  739
2019-02-07 19:35:11,602 - INFO - quickread - 183, 235  667
2019-02-07 19:35:29,720 - INFO - quickread - 226, 282  618
2019-02-07 19:35:48,483 - INFO - quickread - 269, 329  610
2019-02-07 19:36:06,818 - INFO - quickread - 311, 376  598
2019-02-07 19:36:23,990 - INFO - quickread - 348, 423  622
2019-02-07 19:36:41,874 - INFO - quickread - 390, 470  627
2019-02-07 19:36:58,953 - INFO - quickread - 427, 517  656
2019-02-07 19:37:15,733 - INFO - quickread - 462, 564  683
2019-02-07 19:37:32,625 - INFO - quickread - 496, 611  701
2019-02-07 19:37:47,443 - INFO - quickread - 541, 658  742
2019-02-07 19:38:00,772 - INFO - quickread - 579, 705  782
2019-02-07 19:38:12,076 - INFO - quickread - 618, 752  811
2019-02-07 19:38:26,053 - INFO - quickread - 662, 799  849
2019-02-07 19:38:40,634 - INFO - quickread - 707, 846  910
2019-02-07 19:38:53,756 - INFO - quickread - 748, 893  967
2019-02-07 19:39:08,319 - INFO - quickread - 786, 940  1013
2019-02-07 19:39:21,650 - INFO - quickread - 819, 987  1034
2019-02-07 19:39:34,332 - INFO - quickread - 855, 1034  1054
2019-02-07 19:39:49,390 - INFO - quickread - 887, 1081  1096
2019-02-07 19:40:02,082 - INFO - quickread - 922, 1128  1125
2019-02-07 19:40:15,932 - INFO - quickread - 954, 1175  1167
2019-02-07 19:40:28,840 - INFO - quickread - 980, 1222  1194
2019-02-07 19:40:40,643 - INFO - quickread - 1007, 1269  1209
2019-02-07 19:40:53,495 - INFO - quickread - 1031, 1316  1228
2019-02-07 19:41:05,450 - INFO - quickread - 1059, 1363  1239
2019-02-07 19:41:18,436 - INFO - quickread - 1088, 1410  1257
2019-02-07 19:41:28,635 - INFO - quickread - 1115, 1457  1294
2019-02-07 19:41:38,458 - INFO - quickread - 1137, 1504  1317
2019-02-07 19:41:47,550 - INFO - quickread - 1164, 1551  1321
2019-02-07 19:41:59,378 - INFO - quickread - 1188, 1598  1364
2019-02-07 19:42:10,344 - INFO - quickread - 1211, 1645  1392
2019-02-07 19:42:20,444 - INFO - quickread - 1231, 1692  1420
2019-02-07 19:42:29,702 - INFO - quickread - 1242, 1739  1435
2019-02-07 19:42:40,313 - INFO - quickread - 1254, 1786  1415
2019-02-07 19:42:49,463 - INFO - quickread - 1266, 1833  1412
2019-02-07 19:42:58,776 - INFO - quickread - 1275, 1880  1415
2019-02-07 19:43:07,586 - INFO - quickread - 1284, 1927  1409
2019-02-07 19:43:16,906 - INFO - quickread - 1286, 1974  1406
2019-02-07 19:43:26,151 - INFO - quickread - 1290, 2021  1384
2019-02-07 19:43:34,579 - INFO - quickread - 1297, 2068  1371
2019-02-07 19:43:43,317 - INFO - quickread - 1303, 2115  1369
2019-02-07 19:43:52,460 - INFO - quickread - 1307, 2162  1369
2019-02-07 19:44:01,776 - INFO - quickread - 1308, 2209  1363
2019-02-07 19:44:10,530 - INFO - quickread - 1309, 2256  1351
