2019-02-07 19:33:32,714 - INFO - rig - jruby-1.4.0
2019-02-07 19:33:42,005 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 19:33:42,005 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 19:33:42,800 - INFO - quickread - 0, 0  475
2019-02-07 19:33:48,015 - INFO - quickread - 22, 24  475
2019-02-07 19:33:54,980 - INFO - quickread - 42, 48  325
2019-02-07 19:34:01,308 - INFO - quickread - 53, 72  422
2019-02-07 19:34:07,979 - INFO - quickread - 77, 96  449
2019-02-07 19:34:15,014 - INFO - quickread - 101, 120  454
2019-02-07 19:34:21,562 - INFO - quickread - 122, 144  468
2019-02-07 19:34:28,442 - INFO - quickread - 143, 168  460
2019-02-07 19:34:36,008 - INFO - quickread - 165, 192  468
2019-02-07 19:34:43,153 - INFO - quickread - 189, 216  476
2019-02-07 19:34:51,095 - INFO - quickread - 213, 240  498
2019-02-07 19:34:56,720 - INFO - quickread - 237, 264  496
2019-02-07 19:35:02,482 - INFO - quickread - 259, 288  479
2019-02-07 19:35:08,030 - INFO - quickread - 277, 312  513
2019-02-07 19:35:13,916 - INFO - quickread - 298, 336  528
2019-02-07 19:35:20,127 - INFO - quickread - 319, 360  546
2019-02-07 19:35:25,994 - INFO - quickread - 339, 384  570
2019-02-07 19:35:32,481 - INFO - quickread - 359, 408  590
2019-02-07 19:35:38,193 - INFO - quickread - 378, 432  614
2019-02-07 19:35:44,791 - INFO - quickread - 398, 456  629
2019-02-07 19:35:51,131 - INFO - quickread - 417, 480  637
2019-02-07 19:35:57,525 - INFO - quickread - 436, 504  654
2019-02-07 19:36:03,703 - INFO - quickread - 452, 528  668
2019-02-07 19:36:09,602 - INFO - quickread - 468, 552  679
2019-02-07 19:36:15,808 - INFO - quickread - 483, 576  693
2019-02-07 19:36:22,330 - INFO - quickread - 494, 600  709
2019-02-07 19:36:27,863 - INFO - quickread - 511, 624  711
2019-02-07 19:36:34,713 - INFO - quickread - 524, 648  738
2019-02-07 19:36:41,394 - INFO - quickread - 535, 672  743
2019-02-07 19:36:46,729 - INFO - quickread - 545, 696  746
2019-02-07 19:36:52,763 - INFO - quickread - 553, 720  746
2019-02-07 19:36:59,511 - INFO - quickread - 559, 744  746
2019-02-07 19:37:05,022 - INFO - quickread - 564, 768  739
2019-02-07 19:37:10,787 - INFO - quickread - 568, 792  725
2019-02-07 19:37:16,674 - INFO - quickread - 575, 816  711
2019-02-07 19:37:21,837 - INFO - quickread - 578, 840  717
2019-02-07 19:37:29,008 - INFO - quickread - 581, 864  705
2019-02-07 19:37:33,935 - INFO - quickread - 585, 888  697
2019-02-07 19:37:39,621 - INFO - quickread - 585, 912  694
2019-02-07 19:37:46,566 - INFO - quickread - 587, 936  677
2019-02-07 19:37:51,901 - INFO - quickread - 591, 960  673
2019-02-07 19:37:57,379 - INFO - quickread - 593, 984  675
2019-02-07 19:38:02,296 - INFO - quickread - 593, 1008  671
2019-02-07 19:38:07,380 - INFO - quickread - 595, 1032  660
2019-02-07 19:38:12,536 - INFO - quickread - 598, 1056  659
2019-02-07 19:38:17,309 - INFO - quickread - 598, 1080  658
2019-02-07 19:38:23,345 - INFO - quickread - 600, 1104  651
2019-02-07 19:38:28,578 - INFO - quickread - 602, 1128  649
2019-02-07 19:38:34,500 - INFO - quickread - 605, 1152  647
2019-02-07 19:38:39,536 - INFO - quickread - 605, 1176  650
2019-02-07 19:38:44,302 - INFO - quickread - 606, 1200  645
2019-02-07 19:38:49,114 - INFO - quickread - 606, 1224  642
2019-02-07 19:38:54,078 - INFO - quickread - 607, 1248  637
