2019-02-07 13:19:53,697 - INFO - rig - emf-2.4.1
2019-02-07 13:20:06,068 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:20:06,068 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-02-07 13:20:06,606 - INFO - fastread - 0, 0  475
2019-02-07 13:20:13,429 - INFO - fastread - 26, 39  475
2019-02-07 13:20:17,931 - INFO - fastread - 31, 60  97
2019-02-07 13:20:22,310 - INFO - fastread - 33, 81  102
2019-02-07 13:20:27,049 - INFO - fastread - 34, 102  100
2019-02-07 13:20:31,207 - INFO - fastread - 39, 123  116
2019-02-07 13:20:34,857 - INFO - fastread - 39, 144  117
2019-02-07 13:20:39,279 - INFO - fastread - 43, 165  116
2019-02-07 13:20:43,685 - INFO - fastread - 46, 186  111
2019-02-07 13:20:47,865 - INFO - fastread - 48, 207  111
2019-02-07 13:20:51,730 - INFO - fastread - 51, 228  113
2019-02-07 13:20:55,338 - INFO - fastread - 52, 249  120
2019-02-07 13:20:59,018 - INFO - fastread - 52, 270  119
2019-02-07 13:21:02,502 - INFO - fastread - 52, 291  118
2019-02-07 13:21:05,456 - INFO - fastread - 52, 312  117
2019-02-07 13:21:08,481 - INFO - fastread - 53, 333  118
2019-02-07 13:21:11,755 - INFO - fastread - 54, 354  121
2019-02-07 13:21:14,571 - INFO - fastread - 55, 375  124
2019-02-07 13:21:17,823 - INFO - fastread - 55, 396  124
2019-02-07 13:21:21,339 - INFO - fastread - 61, 417  119
2019-02-07 13:21:24,353 - INFO - fastread - 62, 438  119
2019-02-07 13:21:26,823 - INFO - fastread - 62, 459  121
2019-02-07 13:21:29,419 - INFO - fastread - 62, 480  127
2019-02-07 13:21:32,057 - INFO - fastread - 63, 501  124
2019-02-07 13:21:34,860 - INFO - fastread - 66, 522  125
2019-02-07 13:21:37,639 - INFO - fastread - 68, 543  125
2019-02-07 13:21:40,046 - INFO - fastread - 68, 564  128
2019-02-07 13:21:42,531 - INFO - fastread - 72, 585  124
2019-02-07 13:21:45,371 - INFO - fastread - 72, 606  125
2019-02-07 13:21:48,053 - INFO - fastread - 72, 627  126
2019-02-07 13:21:50,801 - INFO - fastread - 73, 648  120
2019-02-07 13:21:53,769 - INFO - fastread - 73, 669  123
2019-02-07 13:21:56,522 - INFO - fastread - 73, 690  122
2019-02-07 13:21:59,047 - INFO - fastread - 73, 711  120
2019-02-07 13:22:01,900 - INFO - fastread - 74, 732  127
2019-02-07 13:22:05,007 - INFO - fastread - 74, 753  123
2019-02-07 13:22:07,893 - INFO - fastread - 74, 774  125
2019-02-07 13:22:11,269 - INFO - fastread - 74, 795  129
2019-02-07 13:22:13,972 - INFO - fastread - 74, 816  123
2019-02-07 13:22:22,016 - INFO - fastread - 74, 878  123
2019-02-07 13:22:29,403 - INFO - fastread - 74, 940  122
2019-02-07 13:22:32,202 - INFO - fastread - 77, 961  127
2019-02-07 13:22:35,741 - INFO - fastread - 78, 982  126
2019-02-07 13:22:38,844 - INFO - fastread - 78, 1003  132
2019-02-07 13:22:41,877 - INFO - fastread - 78, 1024  127
2019-02-07 13:22:45,018 - INFO - fastread - 78, 1045  133
2019-02-07 13:22:48,039 - INFO - fastread - 78, 1066  131
2019-02-07 13:22:51,026 - INFO - fastread - 79, 1087  129
2019-02-07 13:22:54,457 - INFO - fastread - 79, 1108  127
2019-02-07 13:22:57,382 - INFO - fastread - 79, 1129  128
2019-02-07 13:23:00,568 - INFO - fastread - 80, 1150  129
2019-02-07 13:23:03,722 - INFO - fastread - 80, 1171  132
2019-02-07 13:23:06,723 - INFO - fastread - 80, 1192  127
2019-02-07 13:23:10,149 - INFO - fastread - 80, 1213  127
2019-02-07 13:23:13,709 - INFO - fastread - 80, 1234  127
2019-02-07 13:23:21,535 - INFO - fastread - 81, 1291  126
2019-02-07 13:23:24,891 - INFO - fastread - 85, 1312  131
2019-02-07 13:23:28,617 - INFO - fastread - 85, 1333  132
2019-02-07 13:23:32,472 - INFO - fastread - 85, 1354  129
2019-02-07 13:23:36,074 - INFO - fastread - 85, 1375  129
2019-02-07 13:23:39,569 - INFO - fastread - 85, 1396  131
2019-02-07 13:23:48,362 - INFO - fastread - 85, 1451  129
2019-02-07 13:23:57,441 - INFO - fastread - 85, 1508  130
2019-02-07 13:24:01,301 - INFO - fastread - 86, 1529  129
2019-02-07 13:24:04,875 - INFO - fastread - 86, 1550  128
2019-02-07 13:24:08,666 - INFO - fastread - 86, 1571  130
2019-02-07 13:24:12,269 - INFO - fastread - 87, 1592  129
2019-02-07 13:24:15,971 - INFO - fastread - 87, 1613  132
2019-02-07 13:24:19,724 - INFO - fastread - 87, 1634  133
2019-02-07 13:24:23,344 - INFO - fastread - 89, 1655  130
2019-02-07 13:24:27,103 - INFO - fastread - 90, 1676  128
2019-02-07 13:24:30,282 - INFO - fastread - 90, 1697  128
2019-02-07 13:24:33,539 - INFO - fastread - 90, 1718  126
2019-02-07 13:24:36,394 - INFO - fastread - 90, 1739  130
2019-02-07 13:24:39,034 - INFO - fastread - 90, 1760  130
2019-02-07 13:24:45,740 - INFO - fastread - 90, 1813  127
2019-02-07 13:24:51,914 - INFO - fastread - 90, 1867  132
2019-02-07 13:24:54,718 - INFO - fastread - 91, 1888  133
2019-02-07 13:24:57,813 - INFO - fastread - 92, 1909  133
2019-02-07 13:25:00,504 - INFO - fastread - 92, 1930  134
2019-02-07 13:25:03,280 - INFO - fastread - 92, 1951  133
2019-02-07 13:25:06,123 - INFO - fastread - 92, 1972  133
2019-02-07 13:25:09,028 - INFO - fastread - 92, 1993  132
2019-02-07 13:25:14,946 - INFO - fastread - 92, 2044  134
2019-02-07 13:25:21,273 - INFO - fastread - 92, 2097  133
2019-02-07 13:25:24,352 - INFO - fastread - 93, 2118  133
2019-02-07 13:25:27,041 - INFO - fastread - 93, 2139  133
2019-02-07 13:25:29,641 - INFO - fastread - 93, 2160  132
2019-02-07 13:25:32,260 - INFO - fastread - 93, 2181  134
2019-02-07 13:25:35,112 - INFO - fastread - 93, 2202  133
2019-02-07 13:25:41,006 - INFO - fastread - 93, 2256  130
2019-02-07 13:25:47,097 - INFO - fastread - 93, 2312  132
2019-02-07 13:25:53,298 - INFO - fastread - 94, 2364  130
2019-02-07 13:25:56,349 - INFO - fastread - 97, 2385  131
2019-02-07 13:25:56,357 - INFO - fastread - IGNORE emf-2.4.1 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 138
2019-02-07 13:25:56,369 - INFO - fastread - IGNORE emf-2.4.1 | Total: 4389 | Percent Checked: 0.54 | Total Yes Data: 104 | Percent Yes Checked: 0.93
2019-02-07 13:25:56,369 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:25:56,369 - INFO - quickread - Total Yes: 104 | Total No: 4285
2019-02-07 13:25:56,682 - INFO - quickread - 0, 0  475
2019-02-07 13:25:59,921 - INFO - quickread - 26, 39  475
2019-02-07 13:26:02,227 - INFO - quickread - 32, 60  96
2019-02-07 13:26:04,345 - INFO - quickread - 44, 81  115
2019-02-07 13:26:06,944 - INFO - quickread - 46, 102  139
2019-02-07 13:26:08,917 - INFO - quickread - 49, 123  123
2019-02-07 13:26:10,961 - INFO - quickread - 52, 144  114
2019-02-07 13:26:12,902 - INFO - quickread - 56, 165  109
2019-02-07 13:26:15,098 - INFO - quickread - 58, 186  109
2019-02-07 13:26:17,102 - INFO - quickread - 58, 207  102
2019-02-07 13:26:18,765 - INFO - quickread - 60, 228  93
2019-02-07 13:26:20,676 - INFO - quickread - 64, 249  91
2019-02-07 13:26:22,557 - INFO - quickread - 66, 270  96
2019-02-07 13:26:24,285 - INFO - quickread - 69, 291  96
2019-02-07 13:26:26,289 - INFO - quickread - 69, 312  99
2019-02-07 13:26:28,419 - INFO - quickread - 69, 333  94
2019-02-07 13:26:30,334 - INFO - quickread - 70, 354  90
2019-02-07 13:26:32,141 - INFO - quickread - 74, 375  89
2019-02-07 13:26:33,913 - INFO - quickread - 76, 396  95
2019-02-07 13:26:35,714 - INFO - quickread - 78, 417  95
2019-02-07 13:26:37,434 - INFO - quickread - 78, 438  97
2019-02-07 13:26:39,293 - INFO - quickread - 79, 459  95
2019-02-07 13:26:41,229 - INFO - quickread - 80, 480  94
2019-02-07 13:26:43,212 - INFO - quickread - 81, 501  94
2019-02-07 13:26:44,893 - INFO - quickread - 82, 522  94
2019-02-07 13:26:46,735 - INFO - quickread - 83, 543  95
2019-02-07 13:26:48,695 - INFO - quickread - 83, 564  95
