2019-02-07 13:17:37,479 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-02-07 13:17:45,863 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:17:45,863 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-02-07 13:17:46,320 - INFO - fastread - 0, 0  475
2019-02-07 13:18:30,217 - INFO - fastread - 285, 296  475
2019-02-07 13:18:33,658 - INFO - fastread - 292, 310  495
2019-02-07 13:18:37,412 - INFO - fastread - 304, 324  523
2019-02-07 13:18:40,987 - INFO - fastread - 318, 338  535
2019-02-07 13:18:44,364 - INFO - fastread - 331, 352  543
2019-02-07 13:18:48,171 - INFO - fastread - 341, 366  547
2019-02-07 13:18:51,857 - INFO - fastread - 345, 380  548
2019-02-07 13:18:55,367 - INFO - fastread - 353, 394  548
2019-02-07 13:18:59,414 - INFO - fastread - 355, 408  552
2019-02-07 13:19:03,142 - INFO - fastread - 356, 422  542
2019-02-07 13:19:06,906 - INFO - fastread - 358, 436  523
2019-02-07 13:19:11,029 - INFO - fastread - 361, 450  521
2019-02-07 13:19:15,229 - INFO - fastread - 367, 464  507
2019-02-07 13:19:19,465 - INFO - fastread - 369, 478  509
2019-02-07 13:19:23,913 - INFO - fastread - 371, 492  509
2019-02-07 13:19:28,345 - INFO - fastread - 375, 506  497
2019-02-07 13:19:33,061 - INFO - fastread - 378, 520  494
2019-02-07 13:19:37,637 - INFO - fastread - 380, 534  502
2019-02-07 13:19:41,890 - INFO - fastread - 382, 548  487
2019-02-07 13:19:47,141 - INFO - fastread - 383, 562  496
2019-02-07 13:19:51,980 - INFO - fastread - 384, 576  483
2019-02-07 13:19:56,946 - INFO - fastread - 387, 590  481
2019-02-07 13:20:01,500 - INFO - fastread - 390, 604  468
2019-02-07 13:20:05,929 - INFO - fastread - 397, 618  467
2019-02-07 13:20:10,594 - INFO - fastread - 401, 632  474
2019-02-07 13:20:15,198 - INFO - fastread - 408, 646  480
2019-02-07 13:20:19,643 - INFO - fastread - 410, 660  481
2019-02-07 13:20:24,143 - INFO - fastread - 412, 674  476
2019-02-07 13:20:28,504 - INFO - fastread - 414, 688  473
2019-02-07 13:20:32,930 - INFO - fastread - 416, 702  469
2019-02-07 13:20:37,616 - INFO - fastread - 420, 716  471
2019-02-07 13:20:42,048 - INFO - fastread - 421, 730  467
2019-02-07 13:20:46,289 - INFO - fastread - 423, 744  473
2019-02-07 13:20:50,930 - INFO - fastread - 427, 758  466
2019-02-07 13:20:55,336 - INFO - fastread - 432, 772  466
2019-02-07 13:21:00,009 - INFO - fastread - 433, 786  475
2019-02-07 13:21:04,153 - INFO - fastread - 434, 800  462
2019-02-07 13:21:08,046 - INFO - fastread - 435, 814  459
2019-02-07 13:21:12,088 - INFO - fastread - 437, 828  463
2019-02-07 13:21:16,094 - INFO - fastread - 438, 842  463
2019-02-07 13:21:20,265 - INFO - fastread - 438, 856  456
2019-02-07 13:21:23,943 - INFO - fastread - 438, 870  456
2019-02-07 13:21:27,621 - INFO - fastread - 440, 884  450
2019-02-07 13:21:31,187 - INFO - fastread - 441, 898  457
2019-02-07 13:21:34,890 - INFO - fastread - 442, 912  453
2019-02-07 13:21:38,388 - INFO - fastread - 443, 926  454
2019-02-07 13:21:41,895 - INFO - fastread - 443, 940  452
2019-02-07 13:21:45,573 - INFO - fastread - 444, 954  454
2019-02-07 13:21:49,236 - INFO - fastread - 445, 968  451
2019-02-07 13:21:53,065 - INFO - fastread - 445, 982  451
2019-02-07 13:21:56,693 - INFO - fastread - 445, 996  453
2019-02-07 13:22:00,168 - INFO - fastread - 447, 1010  446
2019-02-07 13:22:04,207 - INFO - fastread - 447, 1024  450
2019-02-07 13:22:06,357 - INFO - fastread - IGNORE hibernate-distribution-3.3.2.GA | Total: 2968 | Percent Checked: 0.35 | Total Yes Data: 472 | Percent Yes Checked: 0.95
2019-02-07 13:22:06,357 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:22:06,357 - INFO - quickread - Total Yes: 472 | Total No: 2496
2019-02-07 13:22:06,731 - INFO - quickread - 0, 0  475
2019-02-07 13:22:39,700 - INFO - quickread - 285, 296  475
2019-02-07 13:22:41,480 - INFO - quickread - 290, 310  554
2019-02-07 13:22:43,318 - INFO - quickread - 304, 324  587
2019-02-07 13:22:45,222 - INFO - quickread - 316, 338  568
2019-02-07 13:22:47,041 - INFO - quickread - 328, 352  563
2019-02-07 13:22:48,810 - INFO - quickread - 336, 366  563
