2019-02-07 13:10:54,291 - INFO - rig - jEdit-4.2
2019-02-07 13:11:01,643 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:11:01,643 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-02-07 13:11:02,190 - INFO - fastread - 0, 0  475
2019-02-07 13:11:06,297 - INFO - fastread - 19, 21  475
2019-02-07 13:11:18,227 - INFO - fastread - 27, 72  123
2019-02-07 13:11:29,338 - INFO - fastread - 44, 123  129
2019-02-07 13:11:40,722 - INFO - fastread - 61, 174  138
2019-02-07 13:11:51,263 - INFO - fastread - 79, 225  147
2019-02-07 13:12:01,722 - INFO - fastread - 100, 276  155
2019-02-07 13:12:11,541 - INFO - fastread - 113, 327  296
2019-02-07 13:12:21,339 - INFO - fastread - 131, 378  172
2019-02-07 13:12:31,483 - INFO - fastread - 141, 429  181
2019-02-07 13:12:41,302 - INFO - fastread - 144, 480  198
2019-02-07 13:12:51,200 - INFO - fastread - 157, 531  185
2019-02-07 13:13:01,006 - INFO - fastread - 168, 582  195
2019-02-07 13:13:10,889 - INFO - fastread - 178, 633  201
2019-02-07 13:13:20,753 - INFO - fastread - 181, 684  204
2019-02-07 13:13:30,200 - INFO - fastread - 186, 735  201
2019-02-07 13:13:40,330 - INFO - fastread - 192, 786  209
2019-02-07 13:13:50,069 - INFO - fastread - 205, 837  212
2019-02-07 13:14:00,367 - INFO - fastread - 207, 888  221
2019-02-07 13:14:10,975 - INFO - fastread - 207, 939  229
2019-02-07 13:14:20,698 - INFO - fastread - 207, 990  261
2019-02-07 13:14:31,343 - INFO - fastread - 207, 1041  224
2019-02-07 13:14:42,093 - INFO - fastread - 207, 1092  226
2019-02-07 13:14:53,430 - INFO - fastread - 208, 1143  219
2019-02-07 13:15:05,158 - INFO - fastread - 208, 1194  217
2019-02-07 13:15:17,010 - INFO - fastread - 214, 1245  218
2019-02-07 13:15:28,810 - INFO - fastread - 217, 1296  229
