2019-02-07 13:10:54,604 - INFO - rig - jruby-1.4.0
2019-02-07 13:11:01,320 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:11:01,320 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-02-07 13:11:01,684 - INFO - fastread - 0, 0  475
2019-02-07 13:11:54,632 - INFO - fastread - 291, 305  475
2019-02-07 13:11:59,990 - INFO - fastread - 303, 329  499
2019-02-07 13:12:04,908 - INFO - fastread - 322, 353  567
2019-02-07 13:12:10,205 - INFO - fastread - 334, 377  584
2019-02-07 13:12:15,448 - INFO - fastread - 352, 401  586
2019-02-07 13:12:20,697 - INFO - fastread - 374, 425  600
2019-02-07 13:12:26,022 - INFO - fastread - 394, 449  627
2019-02-07 13:12:31,595 - INFO - fastread - 417, 473  635
2019-02-07 13:12:36,984 - INFO - fastread - 440, 497  660
2019-02-07 13:12:42,601 - INFO - fastread - 464, 521  688
2019-02-07 13:12:48,124 - INFO - fastread - 485, 545  709
2019-02-07 13:12:53,424 - INFO - fastread - 508, 569  735
2019-02-07 13:12:59,578 - INFO - fastread - 528, 593  760
2019-02-07 13:13:05,104 - INFO - fastread - 545, 617  767
2019-02-07 13:13:10,899 - INFO - fastread - 551, 641  802
2019-02-07 13:13:16,687 - INFO - fastread - 561, 665  787
2019-02-07 13:13:22,706 - INFO - fastread - 562, 689  787
2019-02-07 13:13:28,472 - INFO - fastread - 565, 713  790
2019-02-07 13:13:33,925 - INFO - fastread - 568, 737  761
2019-02-07 13:13:40,087 - INFO - fastread - 569, 761  771
2019-02-07 13:13:46,154 - INFO - fastread - 570, 785  742
2019-02-07 13:13:51,707 - INFO - fastread - 574, 809  741
2019-02-07 13:13:58,175 - INFO - fastread - 574, 833  722
2019-02-07 13:14:04,603 - INFO - fastread - 579, 857  706
2019-02-07 13:14:10,884 - INFO - fastread - 581, 881  699
2019-02-07 13:14:16,873 - INFO - fastread - 584, 905  703
2019-02-07 13:14:23,016 - INFO - fastread - 588, 929  690
2019-02-07 13:14:29,522 - INFO - fastread - 591, 953  686
2019-02-07 13:14:36,581 - INFO - fastread - 593, 977  687
2019-02-07 13:14:44,004 - INFO - fastread - 595, 1001  675
2019-02-07 13:14:51,334 - INFO - fastread - 596, 1025  670
2019-02-07 13:14:58,961 - INFO - fastread - 599, 1049  657
2019-02-07 13:15:06,209 - INFO - fastread - 601, 1073  658
2019-02-07 13:15:14,238 - INFO - fastread - 601, 1097  649
2019-02-07 13:15:22,048 - INFO - fastread - 602, 1121  644
2019-02-07 13:15:29,941 - INFO - fastread - 602, 1145  639
2019-02-07 13:15:37,648 - INFO - fastread - 602, 1169  644
2019-02-07 13:15:45,193 - INFO - fastread - 603, 1193  630
2019-02-07 13:15:53,276 - INFO - fastread - 604, 1217  631
2019-02-07 13:16:00,686 - INFO - fastread - 605, 1241  633
2019-02-07 13:16:08,873 - INFO - fastread - 607, 1265  630
2019-02-07 13:16:17,331 - INFO - fastread - 608, 1289  629
2019-02-07 13:16:24,893 - INFO - fastread - 608, 1313  626
2019-02-07 13:16:32,292 - INFO - fastread - 608, 1337  626
2019-02-07 13:16:39,918 - INFO - fastread - 608, 1361  621
2019-02-07 13:16:48,193 - INFO - fastread - 608, 1385  618
2019-02-07 13:17:01,551 - INFO - fastread - 609, 1451  615
2019-02-07 13:17:09,093 - INFO - fastread - 609, 1475  609
2019-02-07 13:17:12,826 - INFO - fastread - IGNORE jruby-1.4.0 | Total: 4897 | Percent Checked: 0.3 | Total Yes Data: 622 | Percent Yes Checked: 0.98
2019-02-07 13:17:12,826 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:17:12,826 - INFO - quickread - Total Yes: 622 | Total No: 4275
2019-02-07 13:17:13,403 - INFO - quickread - 0, 0  475
2019-02-07 13:17:58,870 - INFO - quickread - 291, 305  475
2019-02-07 13:18:03,626 - INFO - quickread - 303, 329  632
2019-02-07 13:18:07,575 - INFO - quickread - 324, 353  673
2019-02-07 13:18:11,795 - INFO - quickread - 346, 377  670
2019-02-07 13:18:16,323 - INFO - quickread - 363, 401  676
2019-02-07 13:18:20,627 - INFO - quickread - 384, 425  680
2019-02-07 13:18:24,959 - INFO - quickread - 400, 449  687
2019-02-07 13:18:29,300 - INFO - quickread - 421, 473  693
2019-02-07 13:18:33,183 - INFO - quickread - 444, 497  713
2019-02-07 13:18:37,663 - INFO - quickread - 462, 521  734
2019-02-07 13:18:41,849 - INFO - quickread - 480, 545  741
2019-02-07 13:18:45,714 - INFO - quickread - 493, 569  744
2019-02-07 13:18:49,969 - INFO - quickread - 511, 593  742
2019-02-07 13:18:54,019 - INFO - quickread - 532, 617  751
2019-02-07 13:18:58,241 - INFO - quickread - 546, 641  768
2019-02-07 13:19:02,362 - INFO - quickread - 559, 665  769
2019-02-07 13:19:06,348 - INFO - quickread - 562, 689  773
2019-02-07 13:19:10,388 - INFO - quickread - 567, 713  746
2019-02-07 13:19:14,955 - INFO - quickread - 569, 737  733
2019-02-07 13:19:19,282 - INFO - quickread - 573, 761  709
2019-02-07 13:19:23,321 - INFO - quickread - 579, 785  702
2019-02-07 13:19:27,602 - INFO - quickread - 579, 809  703
2019-02-07 13:19:31,847 - INFO - quickread - 580, 833  684
2019-02-07 13:19:36,189 - INFO - quickread - 583, 857  673
2019-02-07 13:19:40,542 - INFO - quickread - 584, 881  668
2019-02-07 13:19:44,913 - INFO - quickread - 587, 905  663
2019-02-07 13:19:49,168 - INFO - quickread - 588, 929  661
2019-02-07 13:19:53,464 - INFO - quickread - 589, 953  655
2019-02-07 13:19:57,546 - INFO - quickread - 592, 977  649
2019-02-07 13:20:01,783 - INFO - quickread - 592, 1001  650
2019-02-07 13:20:05,724 - INFO - quickread - 595, 1025  643
2019-02-07 13:20:09,626 - INFO - quickread - 597, 1049  645
2019-02-07 13:20:13,635 - INFO - quickread - 599, 1073  645
2019-02-07 13:20:17,709 - INFO - quickread - 602, 1097  644
2019-02-07 13:20:21,637 - INFO - quickread - 604, 1121  646
2019-02-07 13:20:25,771 - INFO - quickread - 604, 1145  645
2019-02-07 13:20:29,669 - INFO - quickread - 606, 1169  639
2019-02-07 13:20:33,430 - INFO - quickread - 607, 1193  640
2019-02-07 13:20:37,040 - INFO - quickread - 607, 1217  637
2019-02-07 13:20:41,281 - INFO - quickread - 607, 1241  633
2019-02-07 13:20:45,147 - INFO - quickread - 609, 1265  628
2019-02-07 13:20:48,816 - INFO - quickread - 611, 1289  629
2019-02-07 13:20:52,532 - INFO - quickread - 611, 1313  630
2019-02-07 13:20:56,118 - INFO - quickread - 611, 1337  627
2019-02-07 13:20:59,908 - INFO - quickread - 611, 1361  625
2019-02-07 13:21:03,334 - INFO - quickread - 611, 1385  622
2019-02-07 13:21:12,017 - INFO - quickread - 612, 1450  619
2019-02-07 13:21:14,813 - INFO - quickread - 612, 1474  618
2019-02-07 13:21:18,116 - INFO - quickread - 612, 1498  616
2019-02-07 13:21:21,601 - INFO - quickread - 612, 1522  614
2019-02-07 13:21:24,583 - INFO - quickread - 612, 1546  612
2019-02-07 13:21:24,731 - INFO - quickread - IGNORE jruby-1.4.0 | Total: 4897 | Percent Checked: 0.32 | Total Yes Data: 622 | Percent Yes Checked: 0.98
2019-02-07 13:21:24,731 - INFO - rig - ++++NEW CLF++++ SGD
2019-02-07 13:21:24,732 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-02-07 13:21:24,906 - INFO - fastread - 0, 10
2019-02-07 13:21:24,906 - INFO - fastread - 8, 20
2019-02-07 13:21:24,916 - INFO - fastread - 17, 30
2019-02-07 13:21:24,916 - INFO - fastread - 27, 40
2019-02-07 13:21:24,936 - INFO - fastread - 36, 50
2019-02-07 13:21:24,944 - INFO - fastread - 46, 60
2019-02-07 13:21:24,946 - INFO - fastread - 56, 70
2019-02-07 13:21:24,954 - INFO - fastread - 66, 80
2019-02-07 13:21:24,956 - INFO - fastread - 76, 90
2019-02-07 13:21:24,966 - INFO - fastread - 86, 100
2019-02-07 13:21:24,966 - INFO - fastread - 96, 110
2019-02-07 13:21:24,976 - INFO - fastread - 105, 120
2019-02-07 13:21:24,984 - INFO - fastread - 113, 130
2019-02-07 13:21:24,986 - INFO - fastread - 123, 140
2019-02-07 13:21:24,986 - INFO - fastread - 133, 150
2019-02-07 13:21:24,994 - INFO - fastread - 141, 160
2019-02-07 13:21:24,996 - INFO - fastread - 150, 170
2019-02-07 13:21:24,996 - INFO - fastread - 160, 180
2019-02-07 13:21:25,004 - INFO - fastread - 170, 190
2019-02-07 13:21:25,006 - INFO - fastread - 180, 200
2019-02-07 13:21:25,016 - INFO - fastread - 190, 210
2019-02-07 13:21:25,016 - INFO - fastread - 200, 220
2019-02-07 13:21:25,027 - INFO - fastread - 210, 230
2019-02-07 13:21:25,027 - INFO - fastread - 220, 240
2019-02-07 13:21:25,037 - INFO - fastread - 230, 250
2019-02-07 13:21:25,037 - INFO - fastread - 239, 260
2019-02-07 13:21:25,047 - INFO - fastread - 248, 270
2019-02-07 13:21:25,055 - INFO - fastread - 257, 280
2019-02-07 13:21:25,057 - INFO - fastread - 267, 290
2019-02-07 13:21:25,067 - INFO - fastread - 274, 300
2019-02-07 13:21:25,067 - INFO - fastread - 283, 310
2019-02-07 13:21:25,077 - INFO - fastread - 290, 320
2019-02-07 13:21:25,077 - INFO - fastread - 298, 330
2019-02-07 13:21:25,087 - INFO - fastread - 307, 340
2019-02-07 13:21:25,095 - INFO - fastread - 316, 350
2019-02-07 13:21:25,097 - INFO - fastread - 321, 360
2019-02-07 13:21:25,107 - INFO - fastread - 330, 370
2019-02-07 13:21:25,107 - INFO - fastread - 339, 380
2019-02-07 13:21:25,117 - INFO - fastread - 346, 390
2019-02-07 13:21:25,117 - INFO - fastread - 355, 400
2019-02-07 13:21:25,127 - INFO - fastread - 365, 410
2019-02-07 13:21:25,135 - INFO - fastread - 373, 420
2019-02-07 13:21:25,137 - INFO - fastread - 381, 430
2019-02-07 13:21:25,148 - INFO - fastread - 389, 440
2019-02-07 13:21:25,148 - INFO - fastread - 397, 450
2019-02-07 13:21:25,156 - INFO - fastread - 407, 460
2019-02-07 13:21:25,158 - INFO - fastread - 414, 470
2019-02-07 13:21:25,166 - INFO - fastread - 421, 480
2019-02-07 13:21:25,168 - INFO - fastread - 430, 490
2019-02-07 13:21:25,178 - INFO - fastread - 434, 500
2019-02-07 13:21:25,178 - INFO - fastread - 443, 510
2019-02-07 13:21:25,188 - INFO - fastread - 451, 520
2019-02-07 13:21:25,196 - INFO - fastread - 455, 530
2019-02-07 13:21:25,198 - INFO - fastread - 461, 540
2019-02-07 13:21:25,208 - INFO - fastread - 470, 550
2019-02-07 13:21:25,208 - INFO - fastread - 477, 560
2019-02-07 13:21:25,218 - INFO - fastread - 484, 570
2019-02-07 13:21:25,218 - INFO - fastread - 490, 580
2019-02-07 13:21:25,226 - INFO - fastread - 497, 590
2019-02-07 13:21:25,228 - INFO - fastread - 502, 600
2019-02-07 13:21:25,238 - INFO - fastread - 510, 610
2019-02-07 13:21:25,238 - INFO - fastread - 514, 620
2019-02-07 13:21:25,248 - INFO - fastread - 519, 630
2019-02-07 13:21:25,256 - INFO - fastread - 526, 640
2019-02-07 13:21:25,258 - INFO - fastread - 529, 650
2019-02-07 13:21:25,267 - INFO - fastread - 535, 660
2019-02-07 13:21:25,269 - INFO - fastread - 539, 670
2019-02-07 13:21:25,279 - INFO - fastread - 543, 680
2019-02-07 13:21:25,279 - INFO - fastread - 547, 690
2019-02-07 13:21:25,289 - INFO - fastread - 550, 700
2019-02-07 13:21:25,289 - INFO - fastread - 552, 710
2019-02-07 13:21:25,300 - INFO - fastread - 554, 720
2019-02-07 13:21:25,300 - INFO - fastread - 559, 730
2019-02-07 13:21:25,310 - INFO - fastread - 561, 740
2019-02-07 13:21:25,318 - INFO - fastread - 564, 750
2019-02-07 13:21:25,320 - INFO - fastread - 567, 760
2019-02-07 13:21:25,330 - INFO - fastread - 569, 770
2019-02-07 13:21:25,338 - INFO - fastread - 571, 780
2019-02-07 13:21:25,340 - INFO - fastread - 573, 790
2019-02-07 13:21:25,350 - INFO - fastread - 575, 800
2019-02-07 13:21:25,350 - INFO - fastread - 577, 810
2019-02-07 13:21:25,360 - INFO - fastread - 577, 820
2019-02-07 13:21:25,368 - INFO - fastread - 580, 830
2019-02-07 13:21:25,370 - INFO - fastread - 580, 840
2019-02-07 13:21:25,380 - INFO - fastread - 584, 850
2019-02-07 13:21:25,380 - INFO - fastread - 584, 860
2019-02-07 13:21:25,390 - INFO - fastread - 586, 870
2019-02-07 13:21:25,390 - INFO - fastread - 588, 880
2019-02-07 13:21:25,398 - INFO - fastread - 589, 890
2019-02-07 13:21:25,400 - INFO - fastread - 590, 900
2019-02-07 13:21:25,400 - INFO - fastread - 590, 910
2019-02-07 13:21:25,410 - INFO - fastread - 591, 920
2019-02-07 13:21:25,421 - INFO - fastread - IGNORE jruby-1.4.0 | Total: 4897 | Percent Checked: 0.19 | Total Yes Data: 622 | Percent Yes Checked: 0.95
