2019-02-07 13:10:54,632 - INFO - rig - sql12
2019-02-07 13:11:01,856 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-02-07 13:11:01,856 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-02-07 13:11:02,424 - INFO - fastread - 0, 0  475
2019-02-07 13:11:27,761 - INFO - fastread - 120, 128  475
2019-02-07 13:11:36,171 - INFO - fastread - 130, 164  382
2019-02-07 13:11:44,485 - INFO - fastread - 146, 200  470
2019-02-07 13:11:52,810 - INFO - fastread - 149, 236  464
2019-02-07 13:12:01,074 - INFO - fastread - 159, 272  434
2019-02-07 13:12:09,409 - INFO - fastread - 161, 308  448
2019-02-07 13:12:17,672 - INFO - fastread - 164, 344  417
2019-02-07 13:12:26,121 - INFO - fastread - 166, 380  399
2019-02-07 13:12:34,507 - INFO - fastread - 167, 416  390
2019-02-07 13:12:42,662 - INFO - fastread - 169, 452  376
2019-02-07 13:12:50,977 - INFO - fastread - 176, 488  357
2019-02-07 13:12:59,313 - INFO - fastread - 193, 524  360
2019-02-07 13:13:07,336 - INFO - fastread - 200, 560  365
2019-02-07 13:13:15,451 - INFO - fastread - 204, 596  364
2019-02-07 13:13:23,697 - INFO - fastread - 208, 632  343
2019-02-07 13:13:31,727 - INFO - fastread - 217, 668  343
2019-02-07 13:13:39,976 - INFO - fastread - 217, 704  337
2019-02-07 13:13:48,370 - INFO - fastread - 218, 740  327
2019-02-07 13:13:57,021 - INFO - fastread - 220, 776  323
2019-02-07 13:14:05,795 - INFO - fastread - 222, 812  319
2019-02-07 13:14:14,558 - INFO - fastread - 222, 848  311
2019-02-07 13:14:22,884 - INFO - fastread - 223, 884  308
2019-02-07 13:14:31,755 - INFO - fastread - 223, 920  301
2019-02-07 13:14:41,062 - INFO - fastread - 224, 956  297
2019-02-07 13:14:51,342 - INFO - fastread - 227, 992  299
2019-02-07 13:15:02,280 - INFO - fastread - 230, 1028  305
2019-02-07 13:15:13,137 - INFO - fastread - 231, 1064  297
2019-02-07 13:15:24,091 - INFO - fastread - 233, 1100  296
2019-02-07 13:15:34,827 - INFO - fastread - 237, 1136  293
2019-02-07 13:15:45,244 - INFO - fastread - 240, 1172  306
2019-02-07 13:15:56,263 - INFO - fastread - 244, 1208  299
2019-02-07 13:16:06,697 - INFO - fastread - 246, 1244  293
2019-02-07 13:16:18,015 - INFO - fastread - 246, 1280  301
2019-02-07 13:16:28,559 - INFO - fastread - 248, 1316  288
2019-02-07 13:16:39,385 - INFO - fastread - 250, 1352  291
2019-02-07 13:16:50,339 - INFO - fastread - 251, 1388  290
2019-02-07 13:17:00,580 - INFO - fastread - 252, 1424  293
2019-02-07 13:17:11,205 - INFO - fastread - 252, 1460  289
2019-02-07 13:17:21,888 - INFO - fastread - 254, 1496  295
2019-02-07 13:17:32,727 - INFO - fastread - 254, 1532  288
2019-02-07 13:17:43,438 - INFO - fastread - 258, 1568  291
2019-02-07 13:17:54,071 - INFO - fastread - 260, 1604  290
2019-02-07 13:18:05,426 - INFO - fastread - 261, 1640  293
2019-02-07 13:18:17,185 - INFO - fastread - 265, 1676  295
2019-02-07 13:18:28,522 - INFO - fastread - 265, 1712  298
2019-02-07 13:18:40,049 - INFO - fastread - 265, 1748  291
2019-02-07 13:18:50,699 - INFO - fastread - 266, 1784  295
2019-02-07 13:19:02,170 - INFO - fastread - 266, 1820  289
2019-02-07 13:19:13,952 - INFO - fastread - 268, 1856  289
2019-02-07 13:19:25,860 - INFO - fastread - 268, 1892  294
2019-02-07 13:19:39,063 - INFO - fastread - 268, 1928  289
2019-02-07 13:19:51,454 - INFO - fastread - 268, 1964  287
2019-02-07 13:20:04,429 - INFO - fastread - 271, 2000  290
2019-02-07 13:20:17,375 - INFO - fastread - 271, 2036  293
2019-02-07 13:20:29,104 - INFO - fastread - 271, 2072  287
2019-02-07 13:20:41,665 - INFO - fastread - 271, 2108  286
2019-02-07 13:20:52,594 - INFO - fastread - 272, 2144  290
2019-02-07 13:21:02,928 - INFO - fastread - 272, 2180  289
2019-02-07 13:21:12,280 - INFO - fastread - 272, 2216  290
2019-02-07 13:21:21,777 - INFO - fastread - 273, 2252  289
2019-02-07 13:21:30,265 - INFO - fastread - 275, 2288  296
2019-02-07 13:21:38,408 - INFO - fastread - 275, 2324  295
2019-02-07 13:21:46,488 - INFO - fastread - 275, 2360  299
2019-02-07 13:21:54,761 - INFO - fastread - 275, 2396  295
2019-02-07 13:22:02,957 - INFO - fastread - 275, 2432  294
2019-02-07 13:22:11,618 - INFO - fastread - 276, 2468  292
2019-02-07 13:22:20,248 - INFO - fastread - 277, 2504  291
2019-02-07 13:22:28,150 - INFO - fastread - 277, 2540  292
2019-02-07 13:22:37,237 - INFO - fastread - 277, 2576  291
2019-02-07 13:22:45,814 - INFO - fastread - 277, 2612  289
2019-02-07 13:22:54,963 - INFO - fastread - 278, 2648  291
2019-02-07 13:23:04,135 - INFO - fastread - 279, 2684  293
2019-02-07 13:23:13,940 - INFO - fastread - 279, 2720  297
2019-02-07 13:23:23,586 - INFO - fastread - 279, 2756  294
2019-02-07 13:23:34,018 - INFO - fastread - 279, 2792  293
2019-02-07 13:23:44,245 - INFO - fastread - 279, 2828  293
2019-02-07 13:24:03,147 - INFO - fastread - 279, 2923  295
2019-02-07 13:24:21,616 - INFO - fastread - 279, 3022  292
2019-02-07 13:24:37,142 - INFO - fastread - 280, 3117  294
2019-02-07 13:24:45,409 - INFO - fastread - 280, 3153  296
2019-02-07 13:24:45,409 - INFO - fastread - IGNORE sql12 NO IMPROVEMENT after 3 random loops. EXITING. Current estimate: 312
2019-02-07 13:24:45,429 - INFO - fastread - IGNORE sql12 | Total: 7215 | Percent Checked: 0.44 | Total Yes Data: 286 | Percent Yes Checked: 0.98
2019-02-07 13:24:45,429 - INFO - rig - ++++NEW CLF++++ QUICKREAD
2019-02-07 13:24:45,429 - INFO - quickread - Total Yes: 286 | Total No: 6929
2019-02-07 13:24:45,712 - INFO - quickread - 0, 0  475
2019-02-07 13:24:55,942 - INFO - quickread - 120, 128  475
2019-02-07 13:24:59,737 - INFO - quickread - 136, 164  520
2019-02-07 13:25:03,199 - INFO - quickread - 152, 200  631
2019-02-07 13:25:06,658 - INFO - quickread - 156, 236  624
2019-02-07 13:25:10,381 - INFO - quickread - 162, 272  601
2019-02-07 13:25:13,813 - INFO - quickread - 167, 308  574
2019-02-07 13:25:17,236 - INFO - quickread - 181, 344  559
2019-02-07 13:25:20,998 - INFO - quickread - 190, 380  546
2019-02-07 13:25:24,804 - INFO - quickread - 194, 416  525
