2019-01-22 16:52:15,555 - INFO - rig - emf-2.4.1
2019-01-22 16:52:15,646 - INFO - rig - Total Yes: 104 | Total No: 4285
2019-01-22 16:52:15,938 - INFO - fastread - 0, 0
2019-01-22 16:52:16,968 - INFO - fastread - 0, 10
2019-01-22 16:52:17,886 - INFO - fastread - 0, 20
2019-01-22 16:52:18,783 - INFO - fastread - 0, 30
2019-01-22 16:52:19,821 - INFO - fastread - 0, 40
2019-01-22 16:52:20,738 - INFO - fastread - 0, 50
2019-01-22 16:52:21,688 - INFO - fastread - 0, 60
2019-01-22 16:52:22,627 - INFO - fastread - 0, 70
2019-01-22 16:52:23,645 - INFO - fastread - 0, 80
2019-01-22 16:52:24,690 - INFO - fastread - 0, 90
2019-01-22 16:52:25,676 - INFO - fastread - 0, 100
2019-01-22 16:52:26,538 - INFO - fastread - 0, 110
2019-01-22 16:52:27,683 - INFO - fastread - 0, 120
2019-01-22 16:52:28,566 - INFO - fastread - 0, 130
2019-01-22 16:52:29,597 - INFO - fastread - 0, 140
2019-01-22 16:52:30,581 - INFO - fastread - 0, 148
2019-01-22 16:52:31,496 - INFO - fastread - 1, 158
2019-01-22 16:52:32,444 - INFO - fastread - 1, 167
2019-01-22 16:52:33,341 - INFO - fastread - 2, 176
2019-01-22 16:52:34,420 - INFO - fastread - 2, 184
2019-01-22 16:52:35,513 - INFO - fastread - 2, 194
2019-01-22 16:52:36,523 - INFO - fastread - 3, 204
2019-01-22 16:52:37,511 - INFO - fastread - 3, 214
2019-01-22 16:52:38,440 - INFO - fastread - 3, 223
2019-01-22 16:52:39,515 - INFO - fastread - 3, 231
2019-01-22 16:52:40,435 - INFO - fastread - 4, 240
2019-01-22 16:52:41,291 - INFO - fastread - 4, 250
2019-01-22 16:52:42,484 - INFO - fastread - 4, 260
2019-01-22 16:52:43,359 - INFO - fastread - 4, 270
2019-01-22 16:52:44,276 - INFO - fastread - 4, 280
2019-01-22 16:52:45,244 - INFO - fastread - 4, 290
2019-01-22 16:52:46,250 - INFO - fastread - 5, 298
2019-01-22 16:52:47,390 - INFO - fastread - 9, 308
2019-01-22 16:52:48,595 - INFO - fastread - 15, 318
2019-01-22 16:52:49,786 - INFO - fastread - 22, 328
2019-01-22 16:52:51,097 - INFO - fastread - 30, 338
2019-01-22 16:52:52,118 - INFO - fastread - 32, 348
2019-01-22 16:52:53,241 - INFO - fastread - 38, 358
2019-01-22 16:52:54,647 - INFO - fastread - 44, 368
2019-01-22 16:52:55,827 - INFO - fastread - 44, 378
2019-01-22 16:52:56,998 - INFO - fastread - 50, 388
2019-01-22 16:52:58,240 - INFO - fastread - 51, 398
2019-01-22 16:52:59,609 - INFO - fastread - 51, 408
2019-01-22 16:53:00,878 - INFO - fastread - 52, 418
2019-01-22 16:53:02,166 - INFO - fastread - 52, 428
2019-01-22 16:53:03,567 - INFO - fastread - 52, 438
2019-01-22 16:53:04,710 - INFO - fastread - 52, 448
2019-01-22 16:53:05,863 - INFO - fastread - 52, 458
2019-01-22 16:53:07,046 - INFO - fastread - 52, 468
2019-01-22 16:53:08,194 - INFO - fastread - 52, 478
2019-01-22 16:53:09,428 - INFO - fastread - 53, 488
2019-01-22 16:53:10,626 - INFO - fastread - 53, 498
2019-01-22 16:53:11,951 - INFO - fastread - 56, 508
2019-01-22 16:53:13,235 - INFO - fastread - 59, 518
2019-01-22 16:53:14,703 - INFO - fastread - 59, 528
2019-01-22 16:53:16,326 - INFO - fastread - 59, 538
2019-01-22 16:53:17,591 - INFO - fastread - 61, 548
2019-01-22 16:53:18,944 - INFO - fastread - 62, 558
2019-01-22 16:53:20,299 - INFO - fastread - 65, 568
2019-01-22 16:53:21,827 - INFO - fastread - 66, 578
2019-01-22 16:53:23,085 - INFO - fastread - 66, 588
2019-01-22 16:53:24,898 - INFO - fastread - 66, 598
2019-01-22 16:53:26,958 - INFO - fastread - 66, 608
2019-01-22 16:53:28,573 - INFO - fastread - 67, 618
2019-01-22 16:53:30,183 - INFO - fastread - 69, 628
2019-01-22 16:53:31,777 - INFO - fastread - 69, 638
2019-01-22 16:53:33,576 - INFO - fastread - 69, 648
2019-01-22 16:53:35,279 - INFO - fastread - 69, 658
2019-01-22 16:53:37,262 - INFO - fastread - 69, 668
2019-01-22 16:53:38,835 - INFO - fastread - 69, 678
