2019-01-22 16:46:49,064 - INFO - rig - jfreechart-1.0.19
2019-01-22 16:46:49,111 - INFO - rig - Total Yes: 209 | Total No: 4199
2019-01-22 16:46:49,455 - INFO - fastread - 0, 0
2019-01-22 16:46:50,719 - INFO - fastread - 1, 10
2019-01-22 16:46:51,991 - INFO - fastread - 1, 20
2019-01-22 16:46:53,209 - INFO - fastread - 1, 30
2019-01-22 16:46:54,456 - INFO - fastread - 1, 40
2019-01-22 16:46:55,670 - INFO - fastread - 1, 50
2019-01-22 16:46:56,922 - INFO - fastread - 1, 60
2019-01-22 16:46:58,179 - INFO - fastread - 4, 70
2019-01-22 16:46:59,337 - INFO - fastread - 5, 79
2019-01-22 16:47:00,637 - INFO - fastread - 7, 89
2019-01-22 16:47:01,869 - INFO - fastread - 10, 99
2019-01-22 16:47:03,182 - INFO - fastread - 20, 109
2019-01-22 16:47:04,442 - INFO - fastread - 28, 119
2019-01-22 16:47:05,685 - INFO - fastread - 38, 129
2019-01-22 16:47:06,927 - INFO - fastread - 48, 139
2019-01-22 16:47:08,128 - INFO - fastread - 58, 149
2019-01-22 16:47:09,327 - INFO - fastread - 68, 159
2019-01-22 16:47:10,528 - INFO - fastread - 78, 169
2019-01-22 16:47:11,729 - INFO - fastread - 88, 179
2019-01-22 16:47:12,970 - INFO - fastread - 98, 189
2019-01-22 16:47:14,241 - INFO - fastread - 108, 199
2019-01-22 16:47:15,503 - INFO - fastread - 115, 209
2019-01-22 16:47:16,715 - INFO - fastread - 125, 219
2019-01-22 16:47:17,927 - INFO - fastread - 130, 229
2019-01-22 16:47:19,129 - INFO - fastread - 130, 239
2019-01-22 16:47:20,411 - INFO - fastread - 132, 249
2019-01-22 16:47:21,622 - INFO - fastread - 140, 259
2019-01-22 16:47:22,886 - INFO - fastread - 145, 269
2019-01-22 16:47:24,199 - INFO - fastread - 152, 279
2019-01-22 16:47:25,439 - INFO - fastread - 157, 289
2019-01-22 16:47:26,687 - INFO - fastread - 158, 299
2019-01-22 16:47:28,000 - INFO - fastread - 159, 309
2019-01-22 16:47:29,321 - INFO - fastread - 159, 319
2019-01-22 16:47:30,654 - INFO - fastread - 160, 329
2019-01-22 16:47:31,925 - INFO - fastread - 163, 339
2019-01-22 16:47:33,136 - INFO - fastread - 163, 349
2019-01-22 16:47:34,425 - INFO - fastread - 164, 359
2019-01-22 16:47:35,655 - INFO - fastread - 164, 369
2019-01-22 16:47:36,967 - INFO - fastread - 165, 379
2019-01-22 16:47:38,299 - INFO - fastread - 166, 389
2019-01-22 16:47:39,619 - INFO - fastread - 167, 399
2019-01-22 16:47:40,948 - INFO - fastread - 167, 409
2019-01-22 16:47:42,240 - INFO - fastread - 167, 419
2019-01-22 16:47:43,522 - INFO - fastread - 167, 429
2019-01-22 16:47:44,719 - INFO - fastread - 167, 439
2019-01-22 16:47:45,973 - INFO - fastread - 167, 449
2019-01-22 16:47:47,194 - INFO - fastread - 171, 459
2019-01-22 16:47:48,461 - INFO - fastread - 180, 469
2019-01-22 16:47:49,735 - INFO - fastread - 181, 479
2019-01-22 16:47:51,056 - INFO - fastread - 181, 489
2019-01-22 16:47:52,386 - INFO - fastread - 181, 499
2019-01-22 16:47:53,706 - INFO - fastread - 181, 509
2019-01-22 16:47:54,977 - INFO - fastread - 181, 519
2019-01-22 16:47:56,299 - INFO - fastread - 181, 529
2019-01-22 16:47:57,640 - INFO - fastread - 181, 539
2019-01-22 16:47:58,972 - INFO - fastread - 181, 549
2019-01-22 16:48:00,342 - INFO - fastread - 181, 559
2019-01-22 16:48:01,653 - INFO - fastread - 181, 569
2019-01-22 16:48:02,893 - INFO - fastread - 181, 579
2019-01-22 16:48:04,123 - INFO - fastread - 182, 589
2019-01-22 16:48:05,524 - INFO - fastread - 182, 599
2019-01-22 16:48:06,906 - INFO - fastread - 182, 609
2019-01-22 16:48:08,287 - INFO - fastread - 182, 619
2019-01-22 16:48:09,636 - INFO - fastread - 184, 629
2019-01-22 16:48:11,010 - INFO - fastread - 187, 639
2019-01-22 16:48:12,361 - INFO - fastread - 188, 649
2019-01-22 16:48:13,581 - INFO - fastread - 190, 659
2019-01-22 16:48:14,894 - INFO - fastread - 192, 669
2019-01-22 16:48:16,285 - INFO - fastread - 195, 679
2019-01-22 16:48:17,605 - INFO - fastread - 196, 689
2019-01-22 16:48:18,933 - INFO - fastread - 196, 699
2019-01-22 16:48:20,388 - INFO - fastread - 196, 709
2019-01-22 16:48:21,789 - INFO - fastread - 196, 719
2019-01-22 16:48:23,066 - INFO - fastread - 196, 729
2019-01-22 16:48:24,487 - INFO - fastread - 196, 739
2019-01-22 16:48:26,063 - INFO - fastread - 196, 749
2019-01-22 16:48:27,523 - INFO - fastread - 199, 759
