2019-01-22 16:46:49,478 - INFO - rig - sql12
2019-01-22 16:46:49,627 - INFO - rig - Total Yes: 286 | Total No: 6929
2019-01-22 16:46:50,012 - INFO - fastread - 0, 0
2019-01-22 16:46:51,201 - INFO - fastread - 1, 10
2019-01-22 16:46:52,384 - INFO - fastread - 2, 20
2019-01-22 16:46:53,596 - INFO - fastread - 3, 30
2019-01-22 16:46:54,799 - INFO - fastread - 3, 40
2019-01-22 16:46:55,983 - INFO - fastread - 4, 49
2019-01-22 16:46:57,214 - INFO - fastread - 4, 59
2019-01-22 16:46:58,378 - INFO - fastread - 4, 69
2019-01-22 16:46:59,537 - INFO - fastread - 4, 79
2019-01-22 16:47:00,680 - INFO - fastread - 5, 89
2019-01-22 16:47:02,061 - INFO - fastread - 6, 99
2019-01-22 16:47:03,505 - INFO - fastread - 6, 109
2019-01-22 16:47:04,877 - INFO - fastread - 6, 119
2019-01-22 16:47:06,240 - INFO - fastread - 8, 129
2019-01-22 16:47:07,572 - INFO - fastread - 8, 139
2019-01-22 16:47:08,914 - INFO - fastread - 8, 149
2019-01-22 16:47:10,214 - INFO - fastread - 13, 159
2019-01-22 16:47:11,587 - INFO - fastread - 13, 169
2019-01-22 16:47:12,920 - INFO - fastread - 13, 179
2019-01-22 16:47:14,290 - INFO - fastread - 16, 189
2019-01-22 16:47:15,612 - INFO - fastread - 18, 199
2019-01-22 16:47:17,015 - INFO - fastread - 20, 209
2019-01-22 16:47:18,398 - INFO - fastread - 27, 219
2019-01-22 16:47:19,846 - INFO - fastread - 33, 229
2019-01-22 16:47:21,147 - INFO - fastread - 35, 239
2019-01-22 16:47:22,401 - INFO - fastread - 37, 249
2019-01-22 16:47:23,652 - INFO - fastread - 37, 259
2019-01-22 16:47:24,953 - INFO - fastread - 39, 269
2019-01-22 16:47:26,265 - INFO - fastread - 41, 279
2019-01-22 16:47:27,556 - INFO - fastread - 42, 289
2019-01-22 16:47:28,817 - INFO - fastread - 43, 299
2019-01-22 16:47:30,119 - INFO - fastread - 44, 309
2019-01-22 16:47:31,431 - INFO - fastread - 45, 319
2019-01-22 16:47:32,729 - INFO - fastread - 48, 329
2019-01-22 16:47:34,060 - INFO - fastread - 50, 339
2019-01-22 16:47:35,413 - INFO - fastread - 59, 349
2019-01-22 16:47:36,846 - INFO - fastread - 59, 359
2019-01-22 16:47:38,248 - INFO - fastread - 59, 369
2019-01-22 16:47:39,667 - INFO - fastread - 60, 379
2019-01-22 16:47:41,031 - INFO - fastread - 61, 389
2019-01-22 16:47:42,462 - INFO - fastread - 65, 399
2019-01-22 16:47:43,834 - INFO - fastread - 67, 409
2019-01-22 16:47:45,198 - INFO - fastread - 71, 419
2019-01-22 16:47:46,608 - INFO - fastread - 71, 429
2019-01-22 16:47:48,061 - INFO - fastread - 74, 439
2019-01-22 16:47:49,503 - INFO - fastread - 75, 449
2019-01-22 16:47:50,985 - INFO - fastread - 81, 459
2019-01-22 16:47:52,437 - INFO - fastread - 90, 469
2019-01-22 16:47:53,940 - INFO - fastread - 99, 479
2019-01-22 16:47:55,441 - INFO - fastread - 107, 489
2019-01-22 16:47:56,935 - INFO - fastread - 116, 499
2019-01-22 16:47:58,518 - INFO - fastread - 122, 509
2019-01-22 16:48:00,232 - INFO - fastread - 125, 519
2019-01-22 16:48:01,934 - INFO - fastread - 134, 529
2019-01-22 16:48:03,669 - INFO - fastread - 141, 539
2019-01-22 16:48:05,504 - INFO - fastread - 151, 549
2019-01-22 16:48:07,208 - INFO - fastread - 157, 559
2019-01-22 16:48:08,910 - INFO - fastread - 167, 569
2019-01-22 16:48:10,707 - INFO - fastread - 175, 579
2019-01-22 16:48:12,633 - INFO - fastread - 178, 589
2019-01-22 16:48:14,561 - INFO - fastread - 180, 599
2019-01-22 16:48:16,365 - INFO - fastread - 180, 609
2019-01-22 16:48:18,191 - INFO - fastread - 180, 619
2019-01-22 16:48:20,218 - INFO - fastread - 185, 629
2019-01-22 16:48:22,131 - INFO - fastread - 186, 639
2019-01-22 16:48:23,955 - INFO - fastread - 189, 649
2019-01-22 16:48:26,073 - INFO - fastread - 190, 659
2019-01-22 16:48:28,057 - INFO - fastread - 190, 669
2019-01-22 16:48:30,065 - INFO - fastread - 190, 679
2019-01-22 16:48:32,199 - INFO - fastread - 190, 689
2019-01-22 16:48:34,280 - INFO - fastread - 192, 699
2019-01-22 16:48:36,378 - INFO - fastread - 195, 709
2019-01-22 16:48:38,516 - INFO - fastread - 196, 719
2019-01-22 16:48:40,685 - INFO - fastread - 197, 729
2019-01-22 16:48:42,829 - INFO - fastread - 197, 739
