2019-01-22 17:23:05,394 - INFO - rig - columba-1.4-src
2019-01-22 17:23:08,911 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-22 17:23:59,138 - INFO - fastread - 6, 10
2019-01-22 17:23:59,152 - INFO - fastread - 14, 20
2019-01-22 17:23:59,166 - INFO - fastread - 23, 30
2019-01-22 17:23:59,180 - INFO - fastread - 30, 40
2019-01-22 17:23:59,193 - INFO - fastread - 36, 50
2019-01-22 17:23:59,207 - INFO - fastread - 45, 60
2019-01-22 17:23:59,221 - INFO - fastread - 54, 70
2019-01-22 17:23:59,234 - INFO - fastread - 61, 80
2019-01-22 17:23:59,248 - INFO - fastread - 71, 90
2019-01-22 17:23:59,262 - INFO - fastread - 78, 100
2019-01-22 17:23:59,275 - INFO - fastread - 88, 110
2019-01-22 17:23:59,289 - INFO - fastread - 98, 120
2019-01-22 17:23:59,303 - INFO - fastread - 104, 130
2019-01-22 17:23:59,316 - INFO - fastread - 112, 140
2019-01-22 17:23:59,330 - INFO - fastread - 121, 150
2019-01-22 17:23:59,344 - INFO - fastread - 129, 160
2019-01-22 17:23:59,357 - INFO - fastread - 138, 170
2019-01-22 17:23:59,371 - INFO - fastread - 148, 180
2019-01-22 17:23:59,385 - INFO - fastread - 157, 190
2019-01-22 17:23:59,399 - INFO - fastread - 166, 200
2019-01-22 17:23:59,412 - INFO - fastread - 176, 210
2019-01-22 17:23:59,426 - INFO - fastread - 183, 220
2019-01-22 17:23:59,440 - INFO - fastread - 183, 230
2019-01-22 17:23:59,453 - INFO - fastread - 183, 240
2019-01-22 17:23:59,467 - INFO - fastread - 183, 250
2019-01-22 17:23:59,481 - INFO - fastread - 183, 260
2019-01-22 17:23:59,495 - INFO - fastread - 183, 270
2019-01-22 17:23:59,508 - INFO - fastread - 183, 280
2019-01-22 17:23:59,522 - INFO - fastread - 183, 290
2019-01-22 17:23:59,536 - INFO - fastread - 183, 300
2019-01-22 17:23:59,550 - INFO - fastread - 184, 310
2019-01-22 17:23:59,564 - INFO - fastread - 184, 320
2019-01-22 17:23:59,578 - INFO - fastread - 184, 330
2019-01-22 17:23:59,591 - INFO - fastread - 184, 340
2019-01-22 17:23:59,605 - INFO - fastread - 184, 350
2019-01-22 17:23:59,619 - INFO - fastread - 184, 360
2019-01-22 17:23:59,633 - INFO - fastread - 184, 370
2019-01-22 17:23:59,647 - INFO - fastread - 184, 380
2019-01-22 17:23:59,660 - INFO - fastread - 184, 390
2019-01-22 17:23:59,674 - INFO - fastread - 184, 400
2019-01-22 17:23:59,688 - INFO - fastread - 184, 410
2019-01-22 17:23:59,702 - INFO - fastread - 184, 420
2019-01-22 17:23:59,716 - INFO - fastread - 184, 430
2019-01-22 17:23:59,730 - INFO - fastread - 184, 440
2019-01-22 17:23:59,744 - INFO - fastread - 184, 450
2019-01-22 17:23:59,758 - INFO - fastread - 184, 460
2019-01-22 17:23:59,772 - INFO - fastread - 184, 470
2019-01-22 17:23:59,785 - INFO - fastread - 184, 480
2019-01-22 17:23:59,799 - INFO - fastread - 184, 490
2019-01-22 17:23:59,813 - INFO - fastread - 184, 500
2019-01-22 17:23:59,827 - INFO - fastread - 184, 510
2019-01-22 17:23:59,841 - INFO - fastread - 184, 520
2019-01-22 17:23:59,855 - INFO - fastread - 184, 530
2019-01-22 17:23:59,869 - INFO - fastread - 184, 540
2019-01-22 17:23:59,883 - INFO - fastread - 184, 550
2019-01-22 17:23:59,897 - INFO - fastread - 184, 560
2019-01-22 17:23:59,911 - INFO - fastread - 184, 570
2019-01-22 17:23:59,925 - INFO - fastread - 184, 580
2019-01-22 17:23:59,939 - INFO - fastread - 184, 590
2019-01-22 17:23:59,953 - INFO - fastread - 184, 600
2019-01-22 17:23:59,967 - INFO - fastread - 184, 610
2019-01-22 17:23:59,982 - INFO - fastread - 184, 620
2019-01-22 17:23:59,996 - INFO - fastread - 184, 630
2019-01-22 17:24:00,010 - INFO - fastread - 184, 640
2019-01-22 17:24:00,024 - INFO - fastread - 184, 650
2019-01-22 17:24:00,038 - INFO - fastread - 184, 660
2019-01-22 17:24:00,052 - INFO - fastread - 184, 670
2019-01-22 17:24:00,066 - INFO - fastread - 184, 680
2019-01-22 17:24:00,081 - INFO - fastread - 184, 690
2019-01-22 17:24:00,095 - INFO - fastread - 184, 700
2019-01-22 17:24:00,109 - INFO - fastread - 184, 710
2019-01-22 17:24:00,123 - INFO - fastread - 184, 720
2019-01-22 17:24:00,137 - INFO - fastread - 184, 730
2019-01-22 17:24:00,151 - INFO - fastread - 184, 740
2019-01-22 17:24:00,165 - INFO - fastread - 184, 750
2019-01-22 17:24:00,179 - INFO - fastread - 184, 760
2019-01-22 17:24:00,193 - INFO - fastread - 184, 770
2019-01-22 17:24:00,207 - INFO - fastread - 184, 780
2019-01-22 17:24:00,221 - INFO - fastread - 184, 790
2019-01-22 17:24:00,235 - INFO - fastread - 184, 800
2019-01-22 17:24:00,249 - INFO - fastread - 184, 810
2019-01-22 17:24:00,264 - INFO - fastread - 184, 820
2019-01-22 17:24:00,278 - INFO - fastread - 184, 830
2019-01-22 17:24:00,292 - INFO - fastread - 184, 840
2019-01-22 17:24:00,306 - INFO - fastread - 184, 850
2019-01-22 17:24:00,320 - INFO - fastread - 184, 860
