2019-01-22 17:23:08,108 - INFO - rig - emf-2.4.1
2019-01-22 17:23:11,596 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-22 17:24:00,045 - INFO - fastread - 5, 10
2019-01-22 17:24:00,057 - INFO - fastread - 6, 20
2019-01-22 17:24:00,068 - INFO - fastread - 12, 30
2019-01-22 17:24:00,080 - INFO - fastread - 14, 40
2019-01-22 17:24:00,091 - INFO - fastread - 20, 50
2019-01-22 17:24:00,102 - INFO - fastread - 25, 60
2019-01-22 17:24:00,114 - INFO - fastread - 31, 70
2019-01-22 17:24:00,125 - INFO - fastread - 34, 80
2019-01-22 17:24:00,136 - INFO - fastread - 37, 90
2019-01-22 17:24:00,148 - INFO - fastread - 43, 100
2019-01-22 17:24:00,159 - INFO - fastread - 48, 110
2019-01-22 17:24:00,170 - INFO - fastread - 48, 120
2019-01-22 17:24:00,182 - INFO - fastread - 48, 130
2019-01-22 17:24:00,193 - INFO - fastread - 48, 140
2019-01-22 17:24:00,204 - INFO - fastread - 48, 150
2019-01-22 17:24:00,216 - INFO - fastread - 48, 160
2019-01-22 17:24:00,227 - INFO - fastread - 48, 170
2019-01-22 17:24:00,238 - INFO - fastread - 48, 180
2019-01-22 17:24:00,250 - INFO - fastread - 49, 190
2019-01-22 17:24:00,261 - INFO - fastread - 49, 200
2019-01-22 17:24:00,273 - INFO - fastread - 49, 210
2019-01-22 17:24:00,284 - INFO - fastread - 49, 220
2019-01-22 17:24:00,295 - INFO - fastread - 49, 230
2019-01-22 17:24:00,307 - INFO - fastread - 49, 240
2019-01-22 17:24:00,318 - INFO - fastread - 50, 250
2019-01-22 17:24:00,330 - INFO - fastread - 50, 260
2019-01-22 17:24:00,341 - INFO - fastread - 50, 270
2019-01-22 17:24:00,352 - INFO - fastread - 51, 280
2019-01-22 17:24:00,364 - INFO - fastread - 51, 290
2019-01-22 17:24:00,375 - INFO - fastread - 51, 300
2019-01-22 17:24:00,387 - INFO - fastread - 51, 310
2019-01-22 17:24:00,398 - INFO - fastread - 51, 320
2019-01-22 17:24:00,410 - INFO - fastread - 51, 330
2019-01-22 17:24:00,421 - INFO - fastread - 51, 340
2019-01-22 17:24:00,432 - INFO - fastread - 52, 350
2019-01-22 17:24:00,444 - INFO - fastread - 52, 360
2019-01-22 17:24:00,455 - INFO - fastread - 52, 370
2019-01-22 17:24:00,467 - INFO - fastread - 52, 380
2019-01-22 17:24:00,478 - INFO - fastread - 52, 390
2019-01-22 17:24:00,490 - INFO - fastread - 52, 400
2019-01-22 17:24:00,501 - INFO - fastread - 52, 410
2019-01-22 17:24:00,513 - INFO - fastread - 52, 420
2019-01-22 17:24:00,524 - INFO - fastread - 52, 430
2019-01-22 17:24:00,536 - INFO - fastread - 52, 440
2019-01-22 17:24:00,547 - INFO - fastread - 52, 450
2019-01-22 17:24:00,559 - INFO - fastread - 52, 460
2019-01-22 17:24:00,570 - INFO - fastread - 52, 470
2019-01-22 17:24:00,582 - INFO - fastread - 52, 480
2019-01-22 17:24:00,593 - INFO - fastread - 52, 490
2019-01-22 17:24:00,605 - INFO - fastread - 52, 500
2019-01-22 17:24:00,616 - INFO - fastread - 52, 510
2019-01-22 17:24:00,628 - INFO - fastread - 52, 520
2019-01-22 17:24:00,639 - INFO - fastread - 53, 530
2019-01-22 17:24:00,651 - INFO - fastread - 53, 540
2019-01-22 17:24:00,662 - INFO - fastread - 53, 550
2019-01-22 17:24:00,674 - INFO - fastread - 53, 560
2019-01-22 17:24:00,685 - INFO - fastread - 53, 570
2019-01-22 17:24:00,697 - INFO - fastread - 53, 580
2019-01-22 17:24:00,709 - INFO - fastread - 53, 590
2019-01-22 17:24:00,720 - INFO - fastread - 53, 600
2019-01-22 17:24:00,732 - INFO - fastread - 53, 610
2019-01-22 17:24:00,743 - INFO - fastread - 53, 620
2019-01-22 17:24:00,755 - INFO - fastread - 53, 630
2019-01-22 17:24:00,767 - INFO - fastread - 54, 640
2019-01-22 17:24:00,778 - INFO - fastread - 54, 650
2019-01-22 17:24:00,790 - INFO - fastread - 54, 660
2019-01-22 17:24:00,801 - INFO - fastread - 54, 670
2019-01-22 17:24:00,813 - INFO - fastread - 54, 680
2019-01-22 17:24:00,825 - INFO - fastread - 54, 690
2019-01-22 17:24:00,836 - INFO - fastread - 54, 700
2019-01-22 17:24:00,848 - INFO - fastread - 54, 710
2019-01-22 17:24:00,860 - INFO - fastread - 54, 720
2019-01-22 17:24:00,871 - INFO - fastread - 55, 730
2019-01-22 17:24:00,883 - INFO - fastread - 55, 740
2019-01-22 17:24:00,895 - INFO - fastread - 55, 750
2019-01-22 17:24:00,906 - INFO - fastread - 55, 760
2019-01-22 17:24:00,918 - INFO - fastread - 55, 770
2019-01-22 17:24:00,930 - INFO - fastread - 55, 780
2019-01-22 17:24:00,941 - INFO - fastread - 55, 790
2019-01-22 17:24:00,953 - INFO - fastread - 55, 800
2019-01-22 17:24:00,965 - INFO - fastread - 55, 810
2019-01-22 17:24:00,976 - INFO - fastread - 55, 820
2019-01-22 17:24:00,988 - INFO - fastread - 56, 830
2019-01-22 17:24:01,000 - INFO - fastread - 56, 840
2019-01-22 17:24:01,012 - INFO - fastread - 56, 850
2019-01-22 17:24:01,023 - INFO - fastread - 57, 860
2019-01-22 17:24:01,035 - INFO - fastread - 57, 870
2019-01-22 17:24:01,047 - INFO - fastread - 57, 880
2019-01-22 17:24:01,058 - INFO - fastread - 57, 890
2019-01-22 17:24:01,070 - INFO - fastread - 57, 900
2019-01-22 17:24:01,082 - INFO - fastread - 58, 910
2019-01-22 17:24:01,094 - INFO - fastread - 58, 920
2019-01-22 17:24:01,105 - INFO - fastread - 58, 930
2019-01-22 17:24:01,117 - INFO - fastread - 58, 940
2019-01-22 17:24:01,129 - INFO - fastread - 58, 950
2019-01-22 17:24:01,141 - INFO - fastread - 58, 960
2019-01-22 17:24:01,152 - INFO - fastread - 58, 970
2019-01-22 17:24:01,164 - INFO - fastread - 58, 980
2019-01-22 17:24:01,176 - INFO - fastread - 59, 990
2019-01-22 17:24:01,188 - INFO - fastread - 59, 1000
2019-01-22 17:24:01,200 - INFO - fastread - 59, 1010
2019-01-22 17:24:01,211 - INFO - fastread - 59, 1020
2019-01-22 17:24:01,223 - INFO - fastread - 59, 1030
2019-01-22 17:24:01,235 - INFO - fastread - 59, 1040
2019-01-22 17:24:01,247 - INFO - fastread - 59, 1050
2019-01-22 17:24:01,259 - INFO - fastread - 59, 1060
2019-01-22 17:24:01,270 - INFO - fastread - 59, 1070
2019-01-22 17:24:01,282 - INFO - fastread - 59, 1080
2019-01-22 17:24:01,294 - INFO - fastread - 60, 1090
2019-01-22 17:24:01,306 - INFO - fastread - 60, 1100
2019-01-22 17:24:01,318 - INFO - fastread - 61, 1110
2019-01-22 17:24:01,330 - INFO - fastread - 61, 1120
2019-01-22 17:24:01,342 - INFO - fastread - 61, 1130
2019-01-22 17:24:01,353 - INFO - fastread - 61, 1140
2019-01-22 17:24:01,365 - INFO - fastread - 62, 1150
2019-01-22 17:24:01,377 - INFO - fastread - 62, 1160
2019-01-22 17:24:01,389 - INFO - fastread - 62, 1170
2019-01-22 17:24:01,401 - INFO - fastread - 62, 1180
2019-01-22 17:24:01,413 - INFO - fastread - 62, 1190
2019-01-22 17:24:01,425 - INFO - fastread - 63, 1200
2019-01-22 17:24:01,437 - INFO - fastread - 63, 1210
2019-01-22 17:24:01,449 - INFO - fastread - 64, 1220
2019-01-22 17:24:01,461 - INFO - fastread - 64, 1230
2019-01-22 17:24:01,473 - INFO - fastread - 65, 1240
2019-01-22 17:24:01,484 - INFO - fastread - 65, 1250
2019-01-22 17:24:01,496 - INFO - fastread - 65, 1260
2019-01-22 17:24:01,508 - INFO - fastread - 65, 1270
2019-01-22 17:24:01,520 - INFO - fastread - 65, 1280
2019-01-22 17:24:01,532 - INFO - fastread - 65, 1290
2019-01-22 17:24:01,544 - INFO - fastread - 65, 1300
2019-01-22 17:24:01,556 - INFO - fastread - 65, 1310
2019-01-22 17:24:01,568 - INFO - fastread - 65, 1320
2019-01-22 17:24:01,580 - INFO - fastread - 65, 1330
2019-01-22 17:24:01,592 - INFO - fastread - 65, 1340
2019-01-22 17:24:01,604 - INFO - fastread - 65, 1350
2019-01-22 17:24:01,616 - INFO - fastread - 65, 1360
2019-01-22 17:24:01,628 - INFO - fastread - 65, 1370
2019-01-22 17:24:01,640 - INFO - fastread - 65, 1380
2019-01-22 17:24:01,652 - INFO - fastread - 65, 1390
2019-01-22 17:24:01,664 - INFO - fastread - 65, 1400
2019-01-22 17:24:01,676 - INFO - fastread - 65, 1410
2019-01-22 17:24:01,688 - INFO - fastread - 65, 1420
2019-01-22 17:24:01,700 - INFO - fastread - 65, 1430
2019-01-22 17:24:01,712 - INFO - fastread - 65, 1440
2019-01-22 17:24:01,724 - INFO - fastread - 65, 1450
2019-01-22 17:24:01,736 - INFO - fastread - 66, 1460
2019-01-22 17:24:01,748 - INFO - fastread - 66, 1470
2019-01-22 17:24:01,760 - INFO - fastread - 66, 1480
2019-01-22 17:24:01,772 - INFO - fastread - 66, 1490
2019-01-22 17:24:01,784 - INFO - fastread - 66, 1500
2019-01-22 17:24:01,797 - INFO - fastread - 66, 1510
2019-01-22 17:24:01,809 - INFO - fastread - 66, 1520
2019-01-22 17:24:01,822 - INFO - fastread - 66, 1530
2019-01-22 17:24:01,835 - INFO - fastread - 66, 1540
2019-01-22 17:24:01,848 - INFO - fastread - 66, 1550
2019-01-22 17:24:01,860 - INFO - fastread - 66, 1560
2019-01-22 17:24:01,873 - INFO - fastread - 66, 1570
2019-01-22 17:24:01,885 - INFO - fastread - 66, 1580
2019-01-22 17:24:01,898 - INFO - fastread - 66, 1590
2019-01-22 17:24:01,911 - INFO - fastread - 66, 1600
2019-01-22 17:24:01,923 - INFO - fastread - 66, 1610
2019-01-22 17:24:01,936 - INFO - fastread - 67, 1620
2019-01-22 17:24:01,949 - INFO - fastread - 67, 1630
2019-01-22 17:24:01,961 - INFO - fastread - 67, 1640
2019-01-22 17:24:01,974 - INFO - fastread - 67, 1650
2019-01-22 17:24:01,987 - INFO - fastread - 67, 1660
2019-01-22 17:24:01,999 - INFO - fastread - 67, 1670
2019-01-22 17:24:02,012 - INFO - fastread - 67, 1680
2019-01-22 17:24:02,025 - INFO - fastread - 67, 1690
2019-01-22 17:24:02,038 - INFO - fastread - 67, 1700
2019-01-22 17:24:02,050 - INFO - fastread - 67, 1710
2019-01-22 17:24:02,062 - INFO - fastread - 67, 1720
2019-01-22 17:24:02,074 - INFO - fastread - 67, 1730
2019-01-22 17:24:02,087 - INFO - fastread - 67, 1740
2019-01-22 17:24:02,099 - INFO - fastread - 67, 1750
2019-01-22 17:24:02,111 - INFO - fastread - 67, 1760
