2019-01-22 17:23:07,734 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-22 17:23:11,129 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-22 17:24:00,244 - INFO - fastread - 8, 10
2019-01-22 17:24:00,255 - INFO - fastread - 16, 20
2019-01-22 17:24:00,265 - INFO - fastread - 23, 30
2019-01-22 17:24:00,276 - INFO - fastread - 33, 40
2019-01-22 17:24:00,286 - INFO - fastread - 43, 50
2019-01-22 17:24:00,297 - INFO - fastread - 51, 60
2019-01-22 17:24:00,307 - INFO - fastread - 58, 70
2019-01-22 17:24:00,318 - INFO - fastread - 66, 80
2019-01-22 17:24:00,328 - INFO - fastread - 75, 90
2019-01-22 17:24:00,339 - INFO - fastread - 84, 100
2019-01-22 17:24:00,349 - INFO - fastread - 90, 110
2019-01-22 17:24:00,360 - INFO - fastread - 98, 120
2019-01-22 17:24:00,370 - INFO - fastread - 107, 130
2019-01-22 17:24:00,381 - INFO - fastread - 116, 140
2019-01-22 17:24:00,391 - INFO - fastread - 125, 150
2019-01-22 17:24:00,402 - INFO - fastread - 133, 160
2019-01-22 17:24:00,412 - INFO - fastread - 142, 170
2019-01-22 17:24:00,423 - INFO - fastread - 147, 180
2019-01-22 17:24:00,433 - INFO - fastread - 157, 190
2019-01-22 17:24:00,444 - INFO - fastread - 166, 200
2019-01-22 17:24:00,455 - INFO - fastread - 175, 210
2019-01-22 17:24:00,465 - INFO - fastread - 185, 220
2019-01-22 17:24:00,476 - INFO - fastread - 195, 230
2019-01-22 17:24:00,486 - INFO - fastread - 205, 240
2019-01-22 17:24:00,497 - INFO - fastread - 214, 250
2019-01-22 17:24:00,507 - INFO - fastread - 220, 260
2019-01-22 17:24:00,518 - INFO - fastread - 228, 270
2019-01-22 17:24:00,529 - INFO - fastread - 237, 280
2019-01-22 17:24:00,539 - INFO - fastread - 246, 290
2019-01-22 17:24:00,550 - INFO - fastread - 256, 300
2019-01-22 17:24:00,561 - INFO - fastread - 262, 310
2019-01-22 17:24:00,571 - INFO - fastread - 270, 320
2019-01-22 17:24:00,582 - INFO - fastread - 279, 330
2019-01-22 17:24:00,593 - INFO - fastread - 289, 340
2019-01-22 17:24:00,603 - INFO - fastread - 298, 350
2019-01-22 17:24:00,614 - INFO - fastread - 307, 360
2019-01-22 17:24:00,625 - INFO - fastread - 315, 370
2019-01-22 17:24:00,636 - INFO - fastread - 325, 380
2019-01-22 17:24:00,646 - INFO - fastread - 335, 390
2019-01-22 17:24:00,657 - INFO - fastread - 342, 400
2019-01-22 17:24:00,668 - INFO - fastread - 347, 410
2019-01-22 17:24:00,679 - INFO - fastread - 348, 420
2019-01-22 17:24:00,689 - INFO - fastread - 350, 430
2019-01-22 17:24:00,700 - INFO - fastread - 351, 440
2019-01-22 17:24:00,711 - INFO - fastread - 351, 450
2019-01-22 17:24:00,722 - INFO - fastread - 351, 460
2019-01-22 17:24:00,732 - INFO - fastread - 351, 470
2019-01-22 17:24:00,743 - INFO - fastread - 351, 480
