2019-01-22 17:23:05,907 - INFO - rig - jEdit-4.2
2019-01-22 17:23:09,330 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-22 17:24:01,012 - INFO - fastread - 8, 10
2019-01-22 17:24:01,028 - INFO - fastread - 15, 20
2019-01-22 17:24:01,043 - INFO - fastread - 22, 30
2019-01-22 17:24:01,059 - INFO - fastread - 26, 40
2019-01-22 17:24:01,075 - INFO - fastread - 34, 50
2019-01-22 17:24:01,090 - INFO - fastread - 40, 60
2019-01-22 17:24:01,106 - INFO - fastread - 46, 70
2019-01-22 17:24:01,121 - INFO - fastread - 51, 80
2019-01-22 17:24:01,137 - INFO - fastread - 60, 90
2019-01-22 17:24:01,153 - INFO - fastread - 68, 100
2019-01-22 17:24:01,168 - INFO - fastread - 73, 110
2019-01-22 17:24:01,184 - INFO - fastread - 77, 120
2019-01-22 17:24:01,199 - INFO - fastread - 81, 130
2019-01-22 17:24:01,215 - INFO - fastread - 81, 140
2019-01-22 17:24:01,231 - INFO - fastread - 81, 150
2019-01-22 17:24:01,246 - INFO - fastread - 81, 160
2019-01-22 17:24:01,262 - INFO - fastread - 81, 170
2019-01-22 17:24:01,278 - INFO - fastread - 81, 180
2019-01-22 17:24:01,293 - INFO - fastread - 81, 190
2019-01-22 17:24:01,309 - INFO - fastread - 81, 200
2019-01-22 17:24:01,324 - INFO - fastread - 81, 210
2019-01-22 17:24:01,340 - INFO - fastread - 81, 220
2019-01-22 17:24:01,356 - INFO - fastread - 81, 230
2019-01-22 17:24:01,371 - INFO - fastread - 82, 240
2019-01-22 17:24:01,387 - INFO - fastread - 82, 250
2019-01-22 17:24:01,403 - INFO - fastread - 82, 260
2019-01-22 17:24:01,419 - INFO - fastread - 83, 270
2019-01-22 17:24:01,434 - INFO - fastread - 83, 280
2019-01-22 17:24:01,450 - INFO - fastread - 84, 290
2019-01-22 17:24:01,466 - INFO - fastread - 84, 300
2019-01-22 17:24:01,481 - INFO - fastread - 84, 310
2019-01-22 17:24:01,497 - INFO - fastread - 84, 320
2019-01-22 17:24:01,513 - INFO - fastread - 84, 330
2019-01-22 17:24:01,529 - INFO - fastread - 84, 340
2019-01-22 17:24:01,544 - INFO - fastread - 84, 350
2019-01-22 17:24:01,560 - INFO - fastread - 84, 360
2019-01-22 17:24:01,576 - INFO - fastread - 84, 370
2019-01-22 17:24:01,592 - INFO - fastread - 84, 380
2019-01-22 17:24:01,607 - INFO - fastread - 84, 390
2019-01-22 17:24:01,623 - INFO - fastread - 84, 400
2019-01-22 17:24:01,639 - INFO - fastread - 84, 410
2019-01-22 17:24:01,655 - INFO - fastread - 84, 420
2019-01-22 17:24:01,670 - INFO - fastread - 84, 430
2019-01-22 17:24:01,686 - INFO - fastread - 84, 440
2019-01-22 17:24:01,702 - INFO - fastread - 84, 450
2019-01-22 17:24:01,718 - INFO - fastread - 84, 460
2019-01-22 17:24:01,734 - INFO - fastread - 84, 470
2019-01-22 17:24:01,749 - INFO - fastread - 84, 480
2019-01-22 17:24:01,765 - INFO - fastread - 84, 490
2019-01-22 17:24:01,781 - INFO - fastread - 84, 500
2019-01-22 17:24:01,797 - INFO - fastread - 84, 510
2019-01-22 17:24:01,813 - INFO - fastread - 84, 520
2019-01-22 17:24:01,828 - INFO - fastread - 84, 530
2019-01-22 17:24:01,844 - INFO - fastread - 85, 540
2019-01-22 17:24:01,860 - INFO - fastread - 85, 550
2019-01-22 17:24:01,876 - INFO - fastread - 85, 560
2019-01-22 17:24:01,891 - INFO - fastread - 85, 570
2019-01-22 17:24:01,907 - INFO - fastread - 85, 580
2019-01-22 17:24:01,923 - INFO - fastread - 85, 590
2019-01-22 17:24:01,939 - INFO - fastread - 85, 600
2019-01-22 17:24:01,955 - INFO - fastread - 87, 610
2019-01-22 17:24:01,971 - INFO - fastread - 87, 620
2019-01-22 17:24:01,986 - INFO - fastread - 87, 630
2019-01-22 17:24:02,002 - INFO - fastread - 87, 640
2019-01-22 17:24:02,018 - INFO - fastread - 87, 650
2019-01-22 17:24:02,034 - INFO - fastread - 87, 660
2019-01-22 17:24:02,050 - INFO - fastread - 88, 670
2019-01-22 17:24:02,066 - INFO - fastread - 88, 680
2019-01-22 17:24:02,082 - INFO - fastread - 88, 690
2019-01-22 17:24:02,097 - INFO - fastread - 88, 700
2019-01-22 17:24:02,113 - INFO - fastread - 88, 710
2019-01-22 17:24:02,129 - INFO - fastread - 88, 720
2019-01-22 17:24:02,145 - INFO - fastread - 88, 730
2019-01-22 17:24:02,161 - INFO - fastread - 88, 740
2019-01-22 17:24:02,177 - INFO - fastread - 89, 750
2019-01-22 17:24:02,193 - INFO - fastread - 89, 760
2019-01-22 17:24:02,209 - INFO - fastread - 89, 770
2019-01-22 17:24:02,225 - INFO - fastread - 89, 780
2019-01-22 17:24:02,241 - INFO - fastread - 89, 790
2019-01-22 17:24:02,257 - INFO - fastread - 89, 800
2019-01-22 17:24:02,273 - INFO - fastread - 89, 810
2019-01-22 17:24:02,289 - INFO - fastread - 89, 820
2019-01-22 17:24:02,305 - INFO - fastread - 89, 830
2019-01-22 17:24:02,321 - INFO - fastread - 90, 840
2019-01-22 17:24:02,337 - INFO - fastread - 90, 850
2019-01-22 17:24:02,353 - INFO - fastread - 90, 860
2019-01-22 17:24:02,369 - INFO - fastread - 90, 870
2019-01-22 17:24:02,385 - INFO - fastread - 90, 880
