2019-01-22 18:11:22,428 - INFO - rig - apache-ant-1.7.0
2019-01-22 18:11:23,325 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-22 18:16:25,233 - INFO - fastread - 0, 10
2019-01-22 18:16:25,248 - INFO - fastread - 2, 20
2019-01-22 18:16:25,248 - INFO - fastread - 2, 30
2019-01-22 18:16:25,248 - INFO - fastread - 3, 40
2019-01-22 18:16:25,264 - INFO - fastread - 4, 50
2019-01-22 18:16:25,264 - INFO - fastread - 4, 60
2019-01-22 18:16:25,264 - INFO - fastread - 5, 70
2019-01-22 18:16:25,264 - INFO - fastread - 6, 80
2019-01-22 18:16:25,279 - INFO - fastread - 6, 90
2019-01-22 18:16:25,286 - INFO - fastread - 7, 100
2019-01-22 18:16:25,286 - INFO - fastread - 9, 110
2019-01-22 18:16:25,286 - INFO - fastread - 10, 120
2019-01-22 18:16:25,286 - INFO - fastread - 11, 130
2019-01-22 18:16:25,286 - INFO - fastread - 11, 140
2019-01-22 18:16:25,302 - INFO - fastread - 11, 150
2019-01-22 18:16:25,302 - INFO - fastread - 11, 160
2019-01-22 18:16:25,302 - INFO - fastread - 11, 170
2019-01-22 18:16:25,302 - INFO - fastread - 12, 180
2019-01-22 18:16:25,302 - INFO - fastread - 12, 190
2019-01-22 18:16:25,317 - INFO - fastread - 12, 200
2019-01-22 18:16:25,317 - INFO - fastread - 12, 210
2019-01-22 18:16:25,317 - INFO - fastread - 12, 220
2019-01-22 18:16:25,317 - INFO - fastread - 12, 230
2019-01-22 18:16:25,317 - INFO - fastread - 12, 240
2019-01-22 18:16:25,333 - INFO - fastread - 13, 250
2019-01-22 18:16:25,333 - INFO - fastread - 13, 260
2019-01-22 18:16:25,333 - INFO - fastread - 13, 270
2019-01-22 18:16:25,333 - INFO - fastread - 13, 280
2019-01-22 18:16:25,348 - INFO - fastread - 13, 290
2019-01-22 18:16:25,348 - INFO - fastread - 13, 300
2019-01-22 18:16:25,348 - INFO - fastread - 13, 310
2019-01-22 18:16:25,348 - INFO - fastread - 13, 320
2019-01-22 18:16:25,364 - INFO - fastread - 13, 330
2019-01-22 18:16:25,364 - INFO - fastread - 13, 340
2019-01-22 18:16:25,364 - INFO - fastread - 14, 350
2019-01-22 18:16:25,364 - INFO - fastread - 14, 360
2019-01-22 18:16:25,380 - INFO - fastread - 14, 370
2019-01-22 18:16:25,380 - INFO - fastread - 14, 380
2019-01-22 18:16:25,386 - INFO - fastread - 14, 390
2019-01-22 18:16:25,386 - INFO - fastread - 14, 400
2019-01-22 18:16:25,386 - INFO - fastread - 14, 410
2019-01-22 18:16:25,386 - INFO - fastread - 15, 420
2019-01-22 18:16:25,402 - INFO - fastread - 16, 430
2019-01-22 18:16:25,402 - INFO - fastread - 16, 440
2019-01-22 18:16:25,402 - INFO - fastread - 16, 450
2019-01-22 18:16:25,402 - INFO - fastread - 16, 460
2019-01-22 18:16:25,417 - INFO - fastread - 16, 470
2019-01-22 18:16:25,417 - INFO - fastread - 16, 480
2019-01-22 18:16:25,417 - INFO - fastread - 16, 490
2019-01-22 18:16:25,417 - INFO - fastread - 16, 500
2019-01-22 18:16:25,433 - INFO - fastread - 16, 510
2019-01-22 18:16:25,433 - INFO - fastread - 16, 520
2019-01-22 18:16:25,433 - INFO - fastread - 16, 530
2019-01-22 18:16:25,449 - INFO - fastread - 16, 540
2019-01-22 18:16:25,449 - INFO - fastread - 16, 550
2019-01-22 18:16:25,449 - INFO - fastread - 16, 560
2019-01-22 18:16:25,449 - INFO - fastread - 16, 570
2019-01-22 18:16:25,464 - INFO - fastread - 16, 580
2019-01-22 18:16:25,464 - INFO - fastread - 16, 590
2019-01-22 18:16:25,464 - INFO - fastread - 16, 600
2019-01-22 18:16:25,480 - INFO - fastread - 16, 610
2019-01-22 18:16:25,480 - INFO - fastread - 17, 620
2019-01-22 18:16:25,486 - INFO - fastread - 17, 630
2019-01-22 18:16:25,486 - INFO - fastread - 17, 640
2019-01-22 18:16:25,486 - INFO - fastread - 17, 650
2019-01-22 18:16:25,486 - INFO - fastread - 17, 660
2019-01-22 18:16:25,502 - INFO - fastread - 17, 670
2019-01-22 18:16:25,502 - INFO - fastread - 17, 680
2019-01-22 18:16:25,502 - INFO - fastread - 17, 690
2019-01-22 18:16:25,502 - INFO - fastread - 17, 700
2019-01-22 18:16:25,518 - INFO - fastread - 17, 710
2019-01-22 18:16:25,518 - INFO - fastread - 17, 720
2019-01-22 18:16:25,518 - INFO - fastread - 17, 730
2019-01-22 18:16:25,518 - INFO - fastread - 17, 740
2019-01-22 18:16:25,533 - INFO - fastread - 17, 750
2019-01-22 18:16:25,533 - INFO - fastread - 17, 760
2019-01-22 18:16:25,533 - INFO - fastread - 18, 770
2019-01-22 18:16:25,533 - INFO - fastread - 18, 780
2019-01-22 18:16:25,549 - INFO - fastread - 18, 790
2019-01-22 18:16:25,549 - INFO - fastread - 19, 800
2019-01-22 18:16:25,549 - INFO - fastread - 19, 810
2019-01-22 18:16:25,549 - INFO - fastread - 19, 820
2019-01-22 18:16:25,565 - INFO - fastread - 19, 830
2019-01-22 18:16:25,565 - INFO - fastread - 20, 840
2019-01-22 18:16:25,565 - INFO - fastread - 20, 850
2019-01-22 18:16:25,565 - INFO - fastread - 20, 860
2019-01-22 18:16:25,565 - INFO - fastread - 20, 870
2019-01-22 18:16:25,580 - INFO - fastread - 20, 880
2019-01-22 18:16:25,580 - INFO - fastread - 20, 890
2019-01-22 18:16:25,580 - INFO - fastread - 20, 900
2019-01-22 18:16:25,587 - INFO - fastread - 21, 910
2019-01-22 18:16:25,587 - INFO - fastread - 21, 920
2019-01-22 18:16:25,587 - INFO - fastread - 22, 930
2019-01-22 18:16:25,587 - INFO - fastread - 22, 940
