2019-01-22 18:16:56,817 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-22 18:16:58,691 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-22 18:18:01,033 - INFO - fastread - 8, 10
2019-01-22 18:18:01,049 - INFO - fastread - 15, 20
2019-01-22 18:18:01,049 - INFO - fastread - 22, 30
2019-01-22 18:18:01,049 - INFO - fastread - 30, 40
2019-01-22 18:18:01,049 - INFO - fastread - 39, 50
2019-01-22 18:18:01,065 - INFO - fastread - 45, 60
2019-01-22 18:18:01,065 - INFO - fastread - 47, 70
2019-01-22 18:18:01,065 - INFO - fastread - 52, 80
2019-01-22 18:18:01,065 - INFO - fastread - 56, 90
2019-01-22 18:18:01,078 - INFO - fastread - 58, 100
2019-01-22 18:18:01,082 - INFO - fastread - 63, 110
2019-01-22 18:18:01,085 - INFO - fastread - 67, 120
2019-01-22 18:18:01,085 - INFO - fastread - 69, 130
2019-01-22 18:18:01,085 - INFO - fastread - 72, 140
2019-01-22 18:18:01,085 - INFO - fastread - 74, 150
2019-01-22 18:18:01,085 - INFO - fastread - 76, 160
2019-01-22 18:18:01,085 - INFO - fastread - 77, 170
2019-01-22 18:18:01,101 - INFO - fastread - 77, 180
2019-01-22 18:18:01,101 - INFO - fastread - 78, 190
2019-01-22 18:18:01,101 - INFO - fastread - 78, 200
2019-01-22 18:18:01,101 - INFO - fastread - 80, 210
2019-01-22 18:18:01,101 - INFO - fastread - 81, 220
2019-01-22 18:18:01,101 - INFO - fastread - 82, 230
2019-01-22 18:18:01,116 - INFO - fastread - 87, 240
2019-01-22 18:18:01,116 - INFO - fastread - 87, 250
2019-01-22 18:18:01,116 - INFO - fastread - 88, 260
2019-01-22 18:18:01,116 - INFO - fastread - 93, 270
2019-01-22 18:18:01,116 - INFO - fastread - 93, 280
2019-01-22 18:18:01,116 - INFO - fastread - 98, 290
2019-01-22 18:18:01,134 - INFO - fastread - 101, 300
2019-01-22 18:18:01,134 - INFO - fastread - 102, 310
2019-01-22 18:18:01,134 - INFO - fastread - 102, 320
2019-01-22 18:18:01,134 - INFO - fastread - 102, 330
2019-01-22 18:18:01,134 - INFO - fastread - 103, 340
2019-01-22 18:18:01,134 - INFO - fastread - 103, 350
2019-01-22 18:18:01,149 - INFO - fastread - 104, 360
2019-01-22 18:18:01,149 - INFO - fastread - 105, 370
2019-01-22 18:18:01,149 - INFO - fastread - 105, 380
2019-01-22 18:18:01,149 - INFO - fastread - 106, 390
2019-01-22 18:18:01,149 - INFO - fastread - 109, 400
2019-01-22 18:18:01,165 - INFO - fastread - 110, 410
2019-01-22 18:18:01,165 - INFO - fastread - 111, 420
2019-01-22 18:18:01,165 - INFO - fastread - 113, 430
2019-01-22 18:18:01,165 - INFO - fastread - 113, 440
2019-01-22 18:18:01,165 - INFO - fastread - 113, 450
2019-01-22 18:18:01,181 - INFO - fastread - 113, 460
2019-01-22 18:18:01,181 - INFO - fastread - 116, 470
2019-01-22 18:18:01,181 - INFO - fastread - 116, 480
2019-01-22 18:18:01,181 - INFO - fastread - 120, 490
2019-01-22 18:18:01,181 - INFO - fastread - 122, 500
2019-01-22 18:18:01,181 - INFO - fastread - 122, 510
2019-01-22 18:18:01,196 - INFO - fastread - 122, 520
2019-01-22 18:18:01,196 - INFO - fastread - 125, 530
2019-01-22 18:18:01,196 - INFO - fastread - 127, 540
2019-01-22 18:18:01,196 - INFO - fastread - 130, 550
2019-01-22 18:18:01,196 - INFO - fastread - 132, 560
2019-01-22 18:18:01,196 - INFO - fastread - 135, 570
2019-01-22 18:18:01,212 - INFO - fastread - 137, 580
2019-01-22 18:18:01,212 - INFO - fastread - 137, 590
2019-01-22 18:18:01,212 - INFO - fastread - 139, 600
2019-01-22 18:18:01,212 - INFO - fastread - 141, 610
2019-01-22 18:18:01,212 - INFO - fastread - 142, 620
2019-01-22 18:18:01,212 - INFO - fastread - 143, 630
2019-01-22 18:18:01,228 - INFO - fastread - 143, 640
2019-01-22 18:18:01,234 - INFO - fastread - 144, 650
2019-01-22 18:18:01,234 - INFO - fastread - 148, 660
2019-01-22 18:18:01,234 - INFO - fastread - 150, 670
2019-01-22 18:18:01,234 - INFO - fastread - 151, 680
2019-01-22 18:18:01,234 - INFO - fastread - 153, 690
2019-01-22 18:18:01,234 - INFO - fastread - 155, 700
2019-01-22 18:18:01,234 - INFO - fastread - 157, 710
2019-01-22 18:18:01,250 - INFO - fastread - 157, 720
2019-01-22 18:18:01,250 - INFO - fastread - 159, 730
2019-01-22 18:18:01,250 - INFO - fastread - 161, 740
2019-01-22 18:18:01,250 - INFO - fastread - 163, 750
2019-01-22 18:18:01,250 - INFO - fastread - 164, 760
2019-01-22 18:18:01,250 - INFO - fastread - 165, 770
2019-01-22 18:18:01,265 - INFO - fastread - 166, 780
2019-01-22 18:18:01,265 - INFO - fastread - 167, 790
2019-01-22 18:18:01,265 - INFO - fastread - 167, 800
2019-01-22 18:18:01,265 - INFO - fastread - 169, 810
2019-01-22 18:18:01,265 - INFO - fastread - 172, 820
2019-01-22 18:18:01,265 - INFO - fastread - 172, 830
2019-01-22 18:18:01,281 - INFO - fastread - 175, 840
2019-01-22 18:18:01,281 - INFO - fastread - 176, 850
2019-01-22 18:18:01,281 - INFO - fastread - 177, 860
2019-01-22 18:18:01,281 - INFO - fastread - 177, 870
2019-01-22 18:18:01,281 - INFO - fastread - 180, 880
2019-01-22 18:18:01,281 - INFO - fastread - 180, 890
2019-01-22 18:18:01,281 - INFO - fastread - 181, 900
2019-01-22 18:18:01,296 - INFO - fastread - 182, 910
2019-01-22 18:18:01,296 - INFO - fastread - 182, 920
