2019-01-22 17:30:59,307 - INFO - rig - apache-ant-1.7.0
2019-01-22 17:31:02,808 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-22 17:31:03,110 - INFO - fastread - 1, 10
2019-01-22 17:31:03,122 - INFO - fastread - 4, 20
2019-01-22 17:31:03,133 - INFO - fastread - 6, 30
2019-01-22 17:31:03,144 - INFO - fastread - 12, 40
2019-01-22 17:31:03,156 - INFO - fastread - 16, 50
2019-01-22 17:31:03,167 - INFO - fastread - 17, 60
2019-01-22 17:31:03,179 - INFO - fastread - 19, 70
2019-01-22 17:31:03,190 - INFO - fastread - 21, 80
2019-01-22 17:31:03,202 - INFO - fastread - 23, 90
2019-01-22 17:31:03,213 - INFO - fastread - 23, 100
2019-01-22 17:31:03,224 - INFO - fastread - 23, 110
2019-01-22 17:31:03,236 - INFO - fastread - 23, 120
2019-01-22 17:31:03,248 - INFO - fastread - 23, 130
2019-01-22 17:31:03,259 - INFO - fastread - 23, 140
2019-01-22 17:31:03,270 - INFO - fastread - 23, 150
2019-01-22 17:31:03,282 - INFO - fastread - 23, 160
2019-01-22 17:31:03,293 - INFO - fastread - 23, 170
2019-01-22 17:31:03,305 - INFO - fastread - 23, 180
2019-01-22 17:31:03,316 - INFO - fastread - 23, 190
2019-01-22 17:31:03,328 - INFO - fastread - 23, 200
2019-01-22 17:31:03,339 - INFO - fastread - 25, 210
2019-01-22 17:31:03,351 - INFO - fastread - 28, 220
2019-01-22 17:31:03,362 - INFO - fastread - 28, 230
2019-01-22 17:31:03,375 - INFO - fastread - 29, 240
2019-01-22 17:31:03,386 - INFO - fastread - 29, 250
2019-01-22 17:31:03,398 - INFO - fastread - 30, 260
2019-01-22 17:31:03,410 - INFO - fastread - 30, 270
2019-01-22 17:31:03,422 - INFO - fastread - 32, 280
2019-01-22 17:31:03,433 - INFO - fastread - 32, 290
2019-01-22 17:31:03,445 - INFO - fastread - 32, 300
2019-01-22 17:31:03,457 - INFO - fastread - 33, 310
2019-01-22 17:31:03,468 - INFO - fastread - 33, 320
2019-01-22 17:31:03,480 - INFO - fastread - 33, 330
2019-01-22 17:31:03,491 - INFO - fastread - 33, 340
2019-01-22 17:31:03,503 - INFO - fastread - 37, 350
2019-01-22 17:31:03,515 - INFO - fastread - 37, 360
2019-01-22 17:31:03,526 - INFO - fastread - 38, 370
2019-01-22 17:31:03,538 - INFO - fastread - 38, 380
2019-01-22 17:31:03,549 - INFO - fastread - 39, 390
2019-01-22 17:31:03,561 - INFO - fastread - 39, 400
2019-01-22 17:31:03,573 - INFO - fastread - 39, 410
2019-01-22 17:31:03,585 - INFO - fastread - 39, 420
2019-01-22 17:31:03,597 - INFO - fastread - 40, 430
2019-01-22 17:31:03,608 - INFO - fastread - 41, 440
2019-01-22 17:31:03,620 - INFO - fastread - 42, 450
2019-01-22 17:31:03,632 - INFO - fastread - 45, 460
2019-01-22 17:31:03,643 - INFO - fastread - 47, 470
2019-01-22 17:31:03,655 - INFO - fastread - 47, 480
2019-01-22 17:31:03,667 - INFO - fastread - 49, 490
2019-01-22 17:31:03,678 - INFO - fastread - 52, 500
2019-01-22 17:31:03,690 - INFO - fastread - 53, 510
2019-01-22 17:31:03,702 - INFO - fastread - 53, 520
2019-01-22 17:31:03,713 - INFO - fastread - 54, 530
2019-01-22 17:31:03,725 - INFO - fastread - 54, 540
2019-01-22 17:31:03,737 - INFO - fastread - 54, 550
2019-01-22 17:31:03,749 - INFO - fastread - 54, 560
2019-01-22 17:31:03,760 - INFO - fastread - 54, 570
2019-01-22 17:31:03,772 - INFO - fastread - 54, 580
2019-01-22 17:31:03,784 - INFO - fastread - 54, 590
