2019-01-22 17:30:58,924 - INFO - rig - jEdit-4.2
2019-01-22 17:31:02,420 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-22 17:31:02,782 - INFO - fastread - 7, 10
2019-01-22 17:31:02,798 - INFO - fastread - 12, 20
2019-01-22 17:31:02,815 - INFO - fastread - 16, 30
2019-01-22 17:31:02,831 - INFO - fastread - 19, 40
2019-01-22 17:31:02,847 - INFO - fastread - 25, 50
2019-01-22 17:31:02,863 - INFO - fastread - 29, 60
2019-01-22 17:31:02,879 - INFO - fastread - 33, 70
2019-01-22 17:31:02,895 - INFO - fastread - 35, 80
2019-01-22 17:31:02,912 - INFO - fastread - 39, 90
2019-01-22 17:31:02,928 - INFO - fastread - 42, 100
2019-01-22 17:31:02,944 - INFO - fastread - 46, 110
2019-01-22 17:31:02,960 - INFO - fastread - 49, 120
2019-01-22 17:31:02,976 - INFO - fastread - 50, 130
2019-01-22 17:31:02,993 - INFO - fastread - 52, 140
2019-01-22 17:31:03,010 - INFO - fastread - 53, 150
2019-01-22 17:31:03,030 - INFO - fastread - 53, 160
2019-01-22 17:31:03,047 - INFO - fastread - 53, 170
2019-01-22 17:31:03,063 - INFO - fastread - 54, 180
2019-01-22 17:31:03,079 - INFO - fastread - 54, 190
2019-01-22 17:31:03,096 - INFO - fastread - 57, 200
2019-01-22 17:31:03,112 - INFO - fastread - 59, 210
2019-01-22 17:31:03,129 - INFO - fastread - 59, 220
2019-01-22 17:31:03,145 - INFO - fastread - 59, 230
2019-01-22 17:31:03,161 - INFO - fastread - 59, 240
2019-01-22 17:31:03,178 - INFO - fastread - 59, 250
2019-01-22 17:31:03,194 - INFO - fastread - 61, 260
2019-01-22 17:31:03,210 - INFO - fastread - 62, 270
2019-01-22 17:31:03,227 - INFO - fastread - 64, 280
2019-01-22 17:31:03,243 - INFO - fastread - 64, 290
2019-01-22 17:31:03,259 - INFO - fastread - 66, 300
2019-01-22 17:31:03,276 - INFO - fastread - 67, 310
2019-01-22 17:31:03,292 - INFO - fastread - 68, 320
2019-01-22 17:31:03,308 - INFO - fastread - 68, 330
2019-01-22 17:31:03,325 - INFO - fastread - 69, 340
2019-01-22 17:31:03,341 - INFO - fastread - 72, 350
2019-01-22 17:31:03,358 - INFO - fastread - 73, 360
2019-01-22 17:31:03,374 - INFO - fastread - 74, 370
2019-01-22 17:31:03,390 - INFO - fastread - 76, 380
2019-01-22 17:31:03,407 - INFO - fastread - 81, 390
2019-01-22 17:31:03,423 - INFO - fastread - 81, 400
2019-01-22 17:31:03,440 - INFO - fastread - 84, 410
2019-01-22 17:31:03,456 - INFO - fastread - 87, 420
2019-01-22 17:31:03,473 - INFO - fastread - 89, 430
2019-01-22 17:31:03,489 - INFO - fastread - 90, 440
2019-01-22 17:31:03,506 - INFO - fastread - 92, 450
2019-01-22 17:31:03,522 - INFO - fastread - 92, 460
2019-01-22 17:31:03,539 - INFO - fastread - 93, 470
2019-01-22 17:31:03,555 - INFO - fastread - 93, 480
2019-01-22 17:31:03,572 - INFO - fastread - 94, 490
2019-01-22 17:31:03,588 - INFO - fastread - 94, 500
2019-01-22 17:31:03,605 - INFO - fastread - 95, 510
2019-01-22 17:31:03,621 - INFO - fastread - 97, 520
2019-01-22 17:31:03,638 - INFO - fastread - 99, 530
2019-01-22 17:31:03,655 - INFO - fastread - 101, 540
2019-01-22 17:31:03,671 - INFO - fastread - 102, 550
2019-01-22 17:31:03,688 - INFO - fastread - 102, 560
2019-01-22 17:31:03,704 - INFO - fastread - 103, 570
2019-01-22 17:31:03,721 - INFO - fastread - 103, 580
2019-01-22 17:31:03,738 - INFO - fastread - 104, 590
2019-01-22 17:31:03,754 - INFO - fastread - 104, 600
2019-01-22 17:31:03,771 - INFO - fastread - 104, 610
2019-01-22 17:31:03,788 - INFO - fastread - 105, 620
2019-01-22 17:31:03,805 - INFO - fastread - 105, 630
2019-01-22 17:31:03,822 - INFO - fastread - 108, 640
2019-01-22 17:31:03,839 - INFO - fastread - 108, 650
2019-01-22 17:31:03,855 - INFO - fastread - 108, 660
2019-01-22 17:31:03,872 - INFO - fastread - 109, 670
2019-01-22 17:31:03,889 - INFO - fastread - 111, 680
2019-01-22 17:31:03,906 - INFO - fastread - 113, 690
