2019-01-22 17:30:59,428 - INFO - rig - sql12
2019-01-22 17:31:02,905 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-22 17:31:03,231 - INFO - fastread - 3, 10
2019-01-22 17:31:03,245 - INFO - fastread - 3, 20
2019-01-22 17:31:03,259 - INFO - fastread - 3, 30
2019-01-22 17:31:03,273 - INFO - fastread - 3, 40
2019-01-22 17:31:03,286 - INFO - fastread - 3, 50
2019-01-22 17:31:03,300 - INFO - fastread - 6, 60
2019-01-22 17:31:03,314 - INFO - fastread - 7, 70
2019-01-22 17:31:03,327 - INFO - fastread - 7, 80
2019-01-22 17:31:03,341 - INFO - fastread - 8, 90
2019-01-22 17:31:03,355 - INFO - fastread - 8, 100
2019-01-22 17:31:03,368 - INFO - fastread - 9, 110
2019-01-22 17:31:03,382 - INFO - fastread - 9, 120
2019-01-22 17:31:03,396 - INFO - fastread - 9, 130
2019-01-22 17:31:03,409 - INFO - fastread - 10, 140
2019-01-22 17:31:03,423 - INFO - fastread - 10, 150
2019-01-22 17:31:03,437 - INFO - fastread - 10, 160
2019-01-22 17:31:03,450 - INFO - fastread - 10, 170
2019-01-22 17:31:03,464 - INFO - fastread - 10, 180
2019-01-22 17:31:03,478 - INFO - fastread - 11, 190
2019-01-22 17:31:03,491 - INFO - fastread - 11, 200
2019-01-22 17:31:03,505 - INFO - fastread - 11, 210
2019-01-22 17:31:03,519 - INFO - fastread - 11, 220
2019-01-22 17:31:03,533 - INFO - fastread - 12, 230
2019-01-22 17:31:03,546 - INFO - fastread - 12, 240
2019-01-22 17:31:03,560 - INFO - fastread - 12, 250
2019-01-22 17:31:03,574 - INFO - fastread - 12, 260
2019-01-22 17:31:03,588 - INFO - fastread - 12, 270
2019-01-22 17:31:03,601 - INFO - fastread - 14, 280
2019-01-22 17:31:03,615 - INFO - fastread - 17, 290
2019-01-22 17:31:03,629 - INFO - fastread - 17, 300
2019-01-22 17:31:03,643 - INFO - fastread - 19, 310
2019-01-22 17:31:03,657 - INFO - fastread - 19, 320
2019-01-22 17:31:03,670 - INFO - fastread - 19, 330
2019-01-22 17:31:03,684 - INFO - fastread - 19, 340
2019-01-22 17:31:03,698 - INFO - fastread - 22, 350
2019-01-22 17:31:03,712 - INFO - fastread - 24, 360
2019-01-22 17:31:03,726 - INFO - fastread - 26, 370
2019-01-22 17:31:03,740 - INFO - fastread - 26, 380
2019-01-22 17:31:03,753 - INFO - fastread - 26, 390
2019-01-22 17:31:03,767 - INFO - fastread - 26, 400
2019-01-22 17:31:03,782 - INFO - fastread - 26, 410
2019-01-22 17:31:03,796 - INFO - fastread - 28, 420
2019-01-22 17:31:03,810 - INFO - fastread - 29, 430
