2019-01-22 16:42:58,031 - INFO - rig - apache-ant-1.7.0
2019-01-22 16:43:01,427 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-22 17:07:27,670 - INFO - fastread - 7, 10
2019-01-22 17:07:27,683 - INFO - fastread - 15, 20
2019-01-22 17:07:27,693 - INFO - fastread - 22, 30
2019-01-22 17:07:27,704 - INFO - fastread - 26, 40
2019-01-22 17:07:27,715 - INFO - fastread - 32, 50
2019-01-22 17:07:27,726 - INFO - fastread - 39, 60
2019-01-22 17:07:27,737 - INFO - fastread - 45, 70
2019-01-22 17:07:27,748 - INFO - fastread - 49, 80
2019-01-22 17:07:27,759 - INFO - fastread - 52, 90
2019-01-22 17:07:27,770 - INFO - fastread - 53, 100
2019-01-22 17:07:27,781 - INFO - fastread - 57, 110
2019-01-22 17:07:27,792 - INFO - fastread - 61, 120
2019-01-22 17:07:27,803 - INFO - fastread - 64, 130
2019-01-22 17:07:27,814 - INFO - fastread - 65, 140
2019-01-22 17:07:27,825 - INFO - fastread - 65, 150
2019-01-22 17:07:27,836 - INFO - fastread - 67, 160
2019-01-22 17:07:27,847 - INFO - fastread - 69, 170
2019-01-22 17:07:27,858 - INFO - fastread - 72, 180
2019-01-22 17:07:27,869 - INFO - fastread - 74, 190
2019-01-22 17:07:27,879 - INFO - fastread - 76, 200
2019-01-22 17:07:27,890 - INFO - fastread - 76, 210
2019-01-22 17:07:27,901 - INFO - fastread - 77, 220
2019-01-22 17:07:27,912 - INFO - fastread - 80, 230
2019-01-22 17:07:27,923 - INFO - fastread - 83, 240
2019-01-22 17:07:27,934 - INFO - fastread - 84, 250
2019-01-22 17:07:27,945 - INFO - fastread - 84, 260
2019-01-22 17:07:27,956 - INFO - fastread - 86, 270
2019-01-22 17:07:27,967 - INFO - fastread - 86, 280
2019-01-22 17:07:27,978 - INFO - fastread - 87, 290
2019-01-22 17:07:27,989 - INFO - fastread - 88, 300
2019-01-22 17:07:28,000 - INFO - fastread - 89, 310
2019-01-22 17:07:28,012 - INFO - fastread - 91, 320
2019-01-22 17:07:28,023 - INFO - fastread - 92, 330
2019-01-22 17:07:28,034 - INFO - fastread - 93, 340
2019-01-22 17:07:28,045 - INFO - fastread - 93, 350
2019-01-22 17:07:28,056 - INFO - fastread - 93, 360
2019-01-22 17:07:28,067 - INFO - fastread - 94, 370
2019-01-22 17:07:28,078 - INFO - fastread - 94, 380
2019-01-22 17:07:28,089 - INFO - fastread - 94, 390
2019-01-22 17:07:28,100 - INFO - fastread - 94, 400
2019-01-22 17:07:28,111 - INFO - fastread - 94, 410
2019-01-22 17:07:28,122 - INFO - fastread - 94, 420
2019-01-22 17:07:28,133 - INFO - fastread - 95, 430
2019-01-22 17:07:28,144 - INFO - fastread - 95, 440
2019-01-22 17:07:28,155 - INFO - fastread - 95, 450
2019-01-22 17:07:28,166 - INFO - fastread - 95, 460
2019-01-22 17:07:28,177 - INFO - fastread - 96, 470
2019-01-22 17:07:28,188 - INFO - fastread - 96, 480
2019-01-22 17:07:28,199 - INFO - fastread - 96, 490
2019-01-22 17:07:28,211 - INFO - fastread - 100, 500
2019-01-22 17:07:28,222 - INFO - fastread - 100, 510
2019-01-22 17:07:28,233 - INFO - fastread - 101, 520
2019-01-22 17:07:28,244 - INFO - fastread - 101, 530
2019-01-22 17:07:28,255 - INFO - fastread - 101, 540
2019-01-22 17:07:28,266 - INFO - fastread - 101, 550
2019-01-22 17:07:28,277 - INFO - fastread - 101, 560
2019-01-22 17:07:28,289 - INFO - fastread - 101, 570
2019-01-22 17:07:28,300 - INFO - fastread - 101, 580
2019-01-22 17:07:28,311 - INFO - fastread - 101, 590
2019-01-22 17:07:28,322 - INFO - fastread - 102, 600
2019-01-22 17:07:28,333 - INFO - fastread - 102, 610
2019-01-22 17:07:28,344 - INFO - fastread - 102, 620
2019-01-22 17:07:28,356 - INFO - fastread - 103, 630
2019-01-22 17:07:28,367 - INFO - fastread - 103, 640
2019-01-22 17:07:28,378 - INFO - fastread - 103, 650
2019-01-22 17:07:28,389 - INFO - fastread - 103, 660
2019-01-22 17:07:28,400 - INFO - fastread - 103, 670
2019-01-22 17:07:28,412 - INFO - fastread - 103, 680
2019-01-22 17:07:28,423 - INFO - fastread - 103, 690
2019-01-22 17:07:28,434 - INFO - fastread - 104, 700
2019-01-22 17:07:28,445 - INFO - fastread - 104, 710
2019-01-22 17:07:28,456 - INFO - fastread - 105, 720
2019-01-22 17:07:28,468 - INFO - fastread - 105, 730
2019-01-22 17:07:28,479 - INFO - fastread - 105, 740
2019-01-22 17:07:28,490 - INFO - fastread - 105, 750
2019-01-22 17:07:28,501 - INFO - fastread - 105, 760
2019-01-22 17:07:28,513 - INFO - fastread - 105, 770
2019-01-22 17:07:28,524 - INFO - fastread - 105, 780
2019-01-22 17:07:28,535 - INFO - fastread - 105, 790
2019-01-22 17:07:28,546 - INFO - fastread - 105, 800
2019-01-22 17:07:28,558 - INFO - fastread - 105, 810
2019-01-22 17:07:28,569 - INFO - fastread - 105, 820
2019-01-22 17:07:28,580 - INFO - fastread - 105, 830
2019-01-22 17:07:28,592 - INFO - fastread - 105, 840
2019-01-22 17:07:28,603 - INFO - fastread - 105, 850
2019-01-22 17:07:28,614 - INFO - fastread - 105, 860
2019-01-22 17:07:28,625 - INFO - fastread - 105, 870
2019-01-22 17:07:28,637 - INFO - fastread - 105, 880
2019-01-22 17:07:28,648 - INFO - fastread - 105, 890
2019-01-22 17:07:28,659 - INFO - fastread - 106, 900
2019-01-22 17:07:28,671 - INFO - fastread - 108, 910
2019-01-22 17:07:28,682 - INFO - fastread - 108, 920
2019-01-22 17:07:28,693 - INFO - fastread - 108, 930
2019-01-22 17:07:28,705 - INFO - fastread - 109, 940
2019-01-22 17:07:28,716 - INFO - fastread - 109, 950
2019-01-22 17:07:28,727 - INFO - fastread - 109, 960
2019-01-22 17:07:28,739 - INFO - fastread - 110, 970
2019-01-22 17:07:28,750 - INFO - fastread - 110, 980
2019-01-22 17:07:28,761 - INFO - fastread - 110, 990
2019-01-22 17:07:28,773 - INFO - fastread - 110, 1000
2019-01-22 17:07:28,784 - INFO - fastread - 110, 1010
2019-01-22 17:07:28,796 - INFO - fastread - 110, 1020
2019-01-22 17:07:28,807 - INFO - fastread - 110, 1030
2019-01-22 17:07:28,818 - INFO - fastread - 110, 1040
2019-01-22 17:07:28,830 - INFO - fastread - 110, 1050
2019-01-22 17:07:28,841 - INFO - fastread - 110, 1060
2019-01-22 17:07:28,853 - INFO - fastread - 110, 1070
2019-01-22 17:07:28,864 - INFO - fastread - 111, 1080
2019-01-22 17:07:28,875 - INFO - fastread - 111, 1090
2019-01-22 17:07:28,887 - INFO - fastread - 111, 1100
2019-01-22 17:07:28,898 - INFO - fastread - 112, 1110
2019-01-22 17:07:28,910 - INFO - fastread - 112, 1120
2019-01-22 17:07:28,921 - INFO - fastread - 112, 1130
2019-01-22 17:07:28,933 - INFO - fastread - 113, 1140
2019-01-22 17:07:28,944 - INFO - fastread - 113, 1150
2019-01-22 17:07:28,955 - INFO - fastread - 113, 1160
2019-01-22 17:07:28,967 - INFO - fastread - 113, 1170
2019-01-22 17:07:28,978 - INFO - fastread - 113, 1180
2019-01-22 17:07:28,990 - INFO - fastread - 113, 1190
2019-01-22 17:07:29,001 - INFO - fastread - 113, 1200
2019-01-22 17:07:29,013 - INFO - fastread - 113, 1210
2019-01-22 17:07:29,024 - INFO - fastread - 113, 1220
2019-01-22 17:07:29,036 - INFO - fastread - 113, 1230
2019-01-22 17:07:29,047 - INFO - fastread - 113, 1240
2019-01-22 17:07:29,059 - INFO - fastread - 113, 1250
2019-01-22 17:07:29,070 - INFO - fastread - 113, 1260
2019-01-22 17:07:29,082 - INFO - fastread - 113, 1270
2019-01-22 17:07:29,093 - INFO - fastread - 113, 1280
2019-01-22 17:07:29,105 - INFO - fastread - 114, 1290
2019-01-22 17:07:29,116 - INFO - fastread - 114, 1300
2019-01-22 17:07:29,128 - INFO - fastread - 114, 1310
2019-01-22 17:07:29,139 - INFO - fastread - 114, 1320
2019-01-22 17:07:29,151 - INFO - fastread - 114, 1330
2019-01-22 17:07:29,162 - INFO - fastread - 114, 1340
2019-01-22 17:07:29,174 - INFO - fastread - 114, 1350
2019-01-22 17:07:29,185 - INFO - fastread - 114, 1360
2019-01-22 17:07:29,197 - INFO - fastread - 115, 1370
2019-01-22 17:07:29,209 - INFO - fastread - 115, 1380
2019-01-22 17:07:29,220 - INFO - fastread - 115, 1390
2019-01-22 17:07:29,232 - INFO - fastread - 115, 1400
2019-01-22 17:07:29,243 - INFO - fastread - 115, 1410
2019-01-22 17:07:29,255 - INFO - fastread - 115, 1420
2019-01-22 17:07:29,266 - INFO - fastread - 115, 1430
2019-01-22 17:07:29,278 - INFO - fastread - 115, 1440
2019-01-22 17:07:29,290 - INFO - fastread - 115, 1450
2019-01-22 17:07:29,301 - INFO - fastread - 115, 1460
2019-01-22 17:07:29,313 - INFO - fastread - 115, 1470
2019-01-22 17:07:29,324 - INFO - fastread - 115, 1480
2019-01-22 17:07:29,336 - INFO - fastread - 115, 1490
2019-01-22 17:07:29,348 - INFO - fastread - 115, 1500
2019-01-22 17:07:29,359 - INFO - fastread - 115, 1510
2019-01-22 17:07:29,371 - INFO - fastread - 115, 1520
2019-01-22 17:07:29,383 - INFO - fastread - 115, 1530
2019-01-22 17:07:29,394 - INFO - fastread - 115, 1540
2019-01-22 17:07:29,406 - INFO - fastread - 115, 1550
2019-01-22 17:07:29,417 - INFO - fastread - 115, 1560
2019-01-22 17:07:29,429 - INFO - fastread - 115, 1570
2019-01-22 17:07:29,441 - INFO - fastread - 115, 1580
2019-01-22 17:07:29,452 - INFO - fastread - 115, 1590
2019-01-22 17:07:29,464 - INFO - fastread - 115, 1600
2019-01-22 17:07:29,476 - INFO - fastread - 115, 1610
2019-01-22 17:07:29,487 - INFO - fastread - 115, 1620
2019-01-22 17:07:29,499 - INFO - fastread - 115, 1630
2019-01-22 17:07:29,511 - INFO - fastread - 115, 1640
2019-01-22 17:07:29,522 - INFO - fastread - 115, 1650
2019-01-22 17:07:29,534 - INFO - fastread - 117, 1660
2019-01-22 17:07:29,546 - INFO - fastread - 117, 1670
2019-01-22 17:07:29,558 - INFO - fastread - 117, 1680
2019-01-22 17:07:29,569 - INFO - fastread - 117, 1690
2019-01-22 17:07:29,581 - INFO - fastread - 117, 1700
2019-01-22 17:07:29,593 - INFO - fastread - 117, 1710
2019-01-22 17:07:29,604 - INFO - fastread - 117, 1720
2019-01-22 17:07:29,616 - INFO - fastread - 117, 1730
2019-01-22 17:07:29,628 - INFO - fastread - 119, 1740
2019-01-22 17:07:29,640 - INFO - fastread - 120, 1750
2019-01-22 17:07:29,651 - INFO - fastread - 120, 1760
2019-01-22 17:07:29,663 - INFO - fastread - 120, 1770
2019-01-22 17:07:29,675 - INFO - fastread - 120, 1780
2019-01-22 17:07:29,686 - INFO - fastread - 120, 1790
2019-01-22 17:07:29,698 - INFO - fastread - 120, 1800
2019-01-22 17:07:29,710 - INFO - fastread - 121, 1810
2019-01-22 17:07:29,722 - INFO - fastread - 121, 1820
2019-01-22 17:07:29,733 - INFO - fastread - 121, 1830
2019-01-22 17:07:29,745 - INFO - fastread - 121, 1840
2019-01-22 17:07:29,757 - INFO - fastread - 121, 1850
2019-01-22 17:07:29,769 - INFO - fastread - 122, 1860
2019-01-22 17:07:29,780 - INFO - fastread - 122, 1870
2019-01-22 17:07:29,792 - INFO - fastread - 122, 1880
2019-01-22 17:07:29,804 - INFO - fastread - 122, 1890
2019-01-22 17:07:29,816 - INFO - fastread - 122, 1900
2019-01-22 17:07:29,828 - INFO - fastread - 122, 1910
2019-01-22 17:07:29,840 - INFO - fastread - 122, 1920
2019-01-22 17:07:29,852 - INFO - fastread - 122, 1930
2019-01-22 17:07:29,863 - INFO - fastread - 122, 1940
2019-01-22 17:07:29,875 - INFO - fastread - 122, 1950
2019-01-22 17:07:29,887 - INFO - fastread - 122, 1960
2019-01-22 17:07:29,899 - INFO - fastread - 124, 1970
