2019-01-22 16:42:59,107 - INFO - rig - apache-jmeter-2.10
2019-01-22 16:43:02,646 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-01-22 17:05:02,235 - INFO - fastread - 6, 10
2019-01-22 17:05:02,250 - INFO - fastread - 10, 20
2019-01-22 17:05:02,263 - INFO - fastread - 10, 30
2019-01-22 17:05:02,277 - INFO - fastread - 12, 40
2019-01-22 17:05:02,291 - INFO - fastread - 22, 50
2019-01-22 17:05:02,305 - INFO - fastread - 32, 60
2019-01-22 17:05:02,319 - INFO - fastread - 40, 70
2019-01-22 17:05:02,332 - INFO - fastread - 50, 80
2019-01-22 17:05:02,346 - INFO - fastread - 60, 90
2019-01-22 17:05:02,359 - INFO - fastread - 70, 100
2019-01-22 17:05:02,373 - INFO - fastread - 80, 110
2019-01-22 17:05:02,386 - INFO - fastread - 89, 120
2019-01-22 17:05:02,400 - INFO - fastread - 99, 130
2019-01-22 17:05:02,413 - INFO - fastread - 109, 140
2019-01-22 17:05:02,427 - INFO - fastread - 119, 150
2019-01-22 17:05:02,440 - INFO - fastread - 129, 160
2019-01-22 17:05:02,454 - INFO - fastread - 139, 170
2019-01-22 17:05:02,467 - INFO - fastread - 148, 180
2019-01-22 17:05:02,481 - INFO - fastread - 157, 190
2019-01-22 17:05:02,494 - INFO - fastread - 167, 200
2019-01-22 17:05:02,508 - INFO - fastread - 177, 210
2019-01-22 17:05:02,521 - INFO - fastread - 186, 220
2019-01-22 17:05:02,535 - INFO - fastread - 196, 230
2019-01-22 17:05:02,548 - INFO - fastread - 203, 240
2019-01-22 17:05:02,562 - INFO - fastread - 211, 250
2019-01-22 17:05:02,576 - INFO - fastread - 218, 260
2019-01-22 17:05:02,589 - INFO - fastread - 228, 270
2019-01-22 17:05:02,603 - INFO - fastread - 238, 280
2019-01-22 17:05:02,616 - INFO - fastread - 248, 290
2019-01-22 17:05:02,630 - INFO - fastread - 258, 300
2019-01-22 17:05:02,643 - INFO - fastread - 263, 310
2019-01-22 17:05:02,657 - INFO - fastread - 269, 320
2019-01-22 17:05:02,671 - INFO - fastread - 272, 330
2019-01-22 17:05:02,684 - INFO - fastread - 275, 340
2019-01-22 17:05:02,698 - INFO - fastread - 280, 350
2019-01-22 17:05:02,711 - INFO - fastread - 280, 360
2019-01-22 17:05:02,725 - INFO - fastread - 280, 370
2019-01-22 17:05:02,739 - INFO - fastread - 280, 380
