2019-01-22 16:42:59,304 - INFO - rig - argouml
2019-01-22 16:43:02,802 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-01-22 16:57:31,812 - INFO - fastread - 6, 10
2019-01-22 16:57:31,829 - INFO - fastread - 10, 20
2019-01-22 16:57:31,844 - INFO - fastread - 19, 30
2019-01-22 16:57:31,860 - INFO - fastread - 25, 40
2019-01-22 16:57:31,875 - INFO - fastread - 32, 50
2019-01-22 16:57:31,890 - INFO - fastread - 36, 60
2019-01-22 16:57:31,905 - INFO - fastread - 42, 70
2019-01-22 16:57:31,920 - INFO - fastread - 48, 80
2019-01-22 16:57:31,936 - INFO - fastread - 55, 90
2019-01-22 16:57:31,951 - INFO - fastread - 64, 100
2019-01-22 16:57:31,966 - INFO - fastread - 74, 110
2019-01-22 16:57:31,981 - INFO - fastread - 83, 120
2019-01-22 16:57:31,997 - INFO - fastread - 84, 130
2019-01-22 16:57:32,012 - INFO - fastread - 91, 140
2019-01-22 16:57:32,027 - INFO - fastread - 94, 150
2019-01-22 16:57:32,042 - INFO - fastread - 103, 160
2019-01-22 16:57:32,057 - INFO - fastread - 112, 170
2019-01-22 16:57:32,072 - INFO - fastread - 121, 180
2019-01-22 16:57:32,088 - INFO - fastread - 126, 190
2019-01-22 16:57:32,103 - INFO - fastread - 131, 200
2019-01-22 16:57:32,118 - INFO - fastread - 140, 210
2019-01-22 16:57:32,134 - INFO - fastread - 146, 220
2019-01-22 16:57:32,149 - INFO - fastread - 153, 230
2019-01-22 16:57:32,165 - INFO - fastread - 160, 240
2019-01-22 16:57:32,180 - INFO - fastread - 167, 250
2019-01-22 16:57:32,195 - INFO - fastread - 174, 260
2019-01-22 16:57:32,211 - INFO - fastread - 181, 270
2019-01-22 16:57:32,226 - INFO - fastread - 189, 280
2019-01-22 16:57:32,241 - INFO - fastread - 199, 290
2019-01-22 16:57:32,257 - INFO - fastread - 208, 300
2019-01-22 16:57:32,272 - INFO - fastread - 216, 310
2019-01-22 16:57:32,287 - INFO - fastread - 224, 320
2019-01-22 16:57:32,303 - INFO - fastread - 233, 330
2019-01-22 16:57:32,318 - INFO - fastread - 242, 340
2019-01-22 16:57:32,334 - INFO - fastread - 251, 350
2019-01-22 16:57:32,349 - INFO - fastread - 257, 360
2019-01-22 16:57:32,365 - INFO - fastread - 266, 370
2019-01-22 16:57:32,380 - INFO - fastread - 273, 380
2019-01-22 16:57:32,396 - INFO - fastread - 283, 390
2019-01-22 16:57:32,411 - INFO - fastread - 293, 400
2019-01-22 16:57:32,426 - INFO - fastread - 300, 410
2019-01-22 16:57:32,442 - INFO - fastread - 309, 420
2019-01-22 16:57:32,457 - INFO - fastread - 315, 430
2019-01-22 16:57:32,473 - INFO - fastread - 325, 440
2019-01-22 16:57:32,489 - INFO - fastread - 335, 450
2019-01-22 16:57:32,504 - INFO - fastread - 343, 460
2019-01-22 16:57:32,520 - INFO - fastread - 351, 470
2019-01-22 16:57:32,535 - INFO - fastread - 359, 480
2019-01-22 16:57:32,551 - INFO - fastread - 366, 490
2019-01-22 16:57:32,566 - INFO - fastread - 376, 500
2019-01-22 16:57:32,582 - INFO - fastread - 386, 510
2019-01-22 16:57:32,598 - INFO - fastread - 396, 520
2019-01-22 16:57:32,614 - INFO - fastread - 404, 530
2019-01-22 16:57:32,629 - INFO - fastread - 408, 540
2019-01-22 16:57:32,645 - INFO - fastread - 418, 550
2019-01-22 16:57:32,661 - INFO - fastread - 425, 560
2019-01-22 16:57:32,677 - INFO - fastread - 433, 570
2019-01-22 16:57:32,692 - INFO - fastread - 441, 580
2019-01-22 16:57:32,708 - INFO - fastread - 451, 590
2019-01-22 16:57:32,724 - INFO - fastread - 458, 600
2019-01-22 16:57:32,740 - INFO - fastread - 466, 610
2019-01-22 16:57:32,756 - INFO - fastread - 476, 620
2019-01-22 16:57:32,771 - INFO - fastread - 485, 630
2019-01-22 16:57:32,787 - INFO - fastread - 494, 640
2019-01-22 16:57:32,803 - INFO - fastread - 503, 650
2019-01-22 16:57:32,819 - INFO - fastread - 511, 660
2019-01-22 16:57:32,835 - INFO - fastread - 521, 670
2019-01-22 16:57:32,851 - INFO - fastread - 529, 680
2019-01-22 16:57:32,866 - INFO - fastread - 537, 690
2019-01-22 16:57:32,882 - INFO - fastread - 547, 700
2019-01-22 16:57:32,898 - INFO - fastread - 557, 710
2019-01-22 16:57:32,914 - INFO - fastread - 566, 720
2019-01-22 16:57:32,929 - INFO - fastread - 574, 730
2019-01-22 16:57:32,945 - INFO - fastread - 582, 740
2019-01-22 16:57:32,961 - INFO - fastread - 591, 750
2019-01-22 16:57:32,977 - INFO - fastread - 600, 760
2019-01-22 16:57:32,993 - INFO - fastread - 608, 770
2019-01-22 16:57:33,009 - INFO - fastread - 617, 780
2019-01-22 16:57:33,025 - INFO - fastread - 626, 790
2019-01-22 16:57:33,041 - INFO - fastread - 635, 800
2019-01-22 16:57:33,057 - INFO - fastread - 644, 810
2019-01-22 16:57:33,073 - INFO - fastread - 653, 820
2019-01-22 16:57:33,089 - INFO - fastread - 662, 830
2019-01-22 16:57:33,105 - INFO - fastread - 671, 840
2019-01-22 16:57:33,120 - INFO - fastread - 679, 850
2019-01-22 16:57:33,136 - INFO - fastread - 686, 860
2019-01-22 16:57:33,152 - INFO - fastread - 696, 870
2019-01-22 16:57:33,168 - INFO - fastread - 704, 880
2019-01-22 16:57:33,184 - INFO - fastread - 714, 890
2019-01-22 16:57:33,200 - INFO - fastread - 724, 900
2019-01-22 16:57:33,216 - INFO - fastread - 734, 910
2019-01-22 16:57:33,232 - INFO - fastread - 744, 920
2019-01-22 16:57:33,248 - INFO - fastread - 754, 930
2019-01-22 16:57:33,264 - INFO - fastread - 763, 940
2019-01-22 16:57:33,279 - INFO - fastread - 769, 950
2019-01-22 16:57:33,296 - INFO - fastread - 778, 960
2019-01-22 16:57:33,312 - INFO - fastread - 786, 970
2019-01-22 16:57:33,328 - INFO - fastread - 793, 980
2019-01-22 16:57:33,344 - INFO - fastread - 803, 990
2019-01-22 16:57:33,360 - INFO - fastread - 812, 1000
2019-01-22 16:57:33,376 - INFO - fastread - 822, 1010
2019-01-22 16:57:33,392 - INFO - fastread - 829, 1020
2019-01-22 16:57:33,408 - INFO - fastread - 839, 1030
2019-01-22 16:57:33,424 - INFO - fastread - 849, 1040
2019-01-22 16:57:33,440 - INFO - fastread - 858, 1050
2019-01-22 16:57:33,456 - INFO - fastread - 867, 1060
2019-01-22 16:57:33,472 - INFO - fastread - 875, 1070
2019-01-22 16:57:33,488 - INFO - fastread - 885, 1080
2019-01-22 16:57:33,504 - INFO - fastread - 894, 1090
2019-01-22 16:57:33,521 - INFO - fastread - 903, 1100
2019-01-22 16:57:33,537 - INFO - fastread - 913, 1110
2019-01-22 16:57:33,553 - INFO - fastread - 922, 1120
2019-01-22 16:57:33,569 - INFO - fastread - 932, 1130
2019-01-22 16:57:33,586 - INFO - fastread - 942, 1140
2019-01-22 16:57:33,602 - INFO - fastread - 952, 1150
2019-01-22 16:57:33,618 - INFO - fastread - 962, 1160
2019-01-22 16:57:33,635 - INFO - fastread - 971, 1170
