2019-01-22 16:42:57,361 - INFO - rig - jfreechart-1.0.19
2019-01-22 16:43:00,783 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-22 17:06:49,937 - INFO - fastread - 10, 10
2019-01-22 17:06:49,950 - INFO - fastread - 19, 20
2019-01-22 17:06:49,962 - INFO - fastread - 27, 30
2019-01-22 17:06:49,973 - INFO - fastread - 37, 40
2019-01-22 17:06:49,984 - INFO - fastread - 46, 50
2019-01-22 17:06:49,995 - INFO - fastread - 54, 60
2019-01-22 17:06:50,006 - INFO - fastread - 61, 70
2019-01-22 17:06:50,017 - INFO - fastread - 66, 80
2019-01-22 17:06:50,028 - INFO - fastread - 72, 90
2019-01-22 17:06:50,039 - INFO - fastread - 77, 100
2019-01-22 17:06:50,050 - INFO - fastread - 79, 110
2019-01-22 17:06:50,061 - INFO - fastread - 84, 120
2019-01-22 17:06:50,072 - INFO - fastread - 92, 130
2019-01-22 17:06:50,083 - INFO - fastread - 100, 140
2019-01-22 17:06:50,094 - INFO - fastread - 102, 150
2019-01-22 17:06:50,105 - INFO - fastread - 103, 160
2019-01-22 17:06:50,116 - INFO - fastread - 106, 170
2019-01-22 17:06:50,127 - INFO - fastread - 109, 180
2019-01-22 17:06:50,138 - INFO - fastread - 114, 190
2019-01-22 17:06:50,149 - INFO - fastread - 118, 200
2019-01-22 17:06:50,160 - INFO - fastread - 119, 210
2019-01-22 17:06:50,171 - INFO - fastread - 121, 220
2019-01-22 17:06:50,182 - INFO - fastread - 122, 230
2019-01-22 17:06:50,193 - INFO - fastread - 123, 240
2019-01-22 17:06:50,204 - INFO - fastread - 123, 250
2019-01-22 17:06:50,215 - INFO - fastread - 123, 260
2019-01-22 17:06:50,226 - INFO - fastread - 123, 270
2019-01-22 17:06:50,237 - INFO - fastread - 123, 280
2019-01-22 17:06:50,248 - INFO - fastread - 123, 290
2019-01-22 17:06:50,259 - INFO - fastread - 123, 300
2019-01-22 17:06:50,270 - INFO - fastread - 126, 310
2019-01-22 17:06:50,281 - INFO - fastread - 126, 320
2019-01-22 17:06:50,292 - INFO - fastread - 126, 330
2019-01-22 17:06:50,303 - INFO - fastread - 126, 340
2019-01-22 17:06:50,314 - INFO - fastread - 126, 350
2019-01-22 17:06:50,326 - INFO - fastread - 126, 360
2019-01-22 17:06:50,337 - INFO - fastread - 126, 370
2019-01-22 17:06:50,348 - INFO - fastread - 126, 380
2019-01-22 17:06:50,359 - INFO - fastread - 126, 390
2019-01-22 17:06:50,370 - INFO - fastread - 126, 400
2019-01-22 17:06:50,381 - INFO - fastread - 126, 410
2019-01-22 17:06:50,392 - INFO - fastread - 126, 420
2019-01-22 17:06:50,403 - INFO - fastread - 126, 430
2019-01-22 17:06:50,414 - INFO - fastread - 126, 440
2019-01-22 17:06:50,426 - INFO - fastread - 127, 450
2019-01-22 17:06:50,437 - INFO - fastread - 127, 460
2019-01-22 17:06:50,448 - INFO - fastread - 127, 470
2019-01-22 17:06:50,459 - INFO - fastread - 127, 480
2019-01-22 17:06:50,470 - INFO - fastread - 127, 490
2019-01-22 17:06:50,481 - INFO - fastread - 127, 500
2019-01-22 17:06:50,492 - INFO - fastread - 127, 510
2019-01-22 17:06:50,504 - INFO - fastread - 127, 520
2019-01-22 17:06:50,515 - INFO - fastread - 127, 530
2019-01-22 17:06:50,526 - INFO - fastread - 127, 540
2019-01-22 17:06:50,537 - INFO - fastread - 127, 550
2019-01-22 17:06:50,548 - INFO - fastread - 127, 560
2019-01-22 17:06:50,559 - INFO - fastread - 127, 570
2019-01-22 17:06:50,570 - INFO - fastread - 127, 580
2019-01-22 17:06:50,582 - INFO - fastread - 127, 590
2019-01-22 17:06:50,593 - INFO - fastread - 127, 600
2019-01-22 17:06:50,604 - INFO - fastread - 127, 610
2019-01-22 17:06:50,615 - INFO - fastread - 127, 620
2019-01-22 17:06:50,626 - INFO - fastread - 127, 630
2019-01-22 17:06:50,638 - INFO - fastread - 127, 640
2019-01-22 17:06:50,649 - INFO - fastread - 127, 650
2019-01-22 17:06:50,660 - INFO - fastread - 127, 660
2019-01-22 17:06:50,671 - INFO - fastread - 127, 670
2019-01-22 17:06:50,683 - INFO - fastread - 127, 680
2019-01-22 17:06:50,694 - INFO - fastread - 127, 690
2019-01-22 17:06:50,705 - INFO - fastread - 127, 700
2019-01-22 17:06:50,716 - INFO - fastread - 127, 710
2019-01-22 17:06:50,728 - INFO - fastread - 127, 720
2019-01-22 17:06:50,739 - INFO - fastread - 127, 730
2019-01-22 17:06:50,750 - INFO - fastread - 127, 740
2019-01-22 17:06:50,761 - INFO - fastread - 127, 750
2019-01-22 17:06:50,773 - INFO - fastread - 127, 760
2019-01-22 17:06:50,784 - INFO - fastread - 127, 770
2019-01-22 17:06:50,796 - INFO - fastread - 127, 780
2019-01-22 17:06:50,807 - INFO - fastread - 127, 790
2019-01-22 17:06:50,818 - INFO - fastread - 128, 800
2019-01-22 17:06:50,830 - INFO - fastread - 128, 810
2019-01-22 17:06:50,841 - INFO - fastread - 128, 820
2019-01-22 17:06:50,852 - INFO - fastread - 128, 830
2019-01-22 17:06:50,864 - INFO - fastread - 128, 840
2019-01-22 17:06:50,875 - INFO - fastread - 129, 850
2019-01-22 17:06:50,886 - INFO - fastread - 129, 860
2019-01-22 17:06:50,898 - INFO - fastread - 129, 870
2019-01-22 17:06:50,909 - INFO - fastread - 129, 880
2019-01-22 17:06:50,920 - INFO - fastread - 129, 890
2019-01-22 17:06:50,932 - INFO - fastread - 129, 900
2019-01-22 17:06:50,943 - INFO - fastread - 129, 910
2019-01-22 17:06:50,955 - INFO - fastread - 129, 920
2019-01-22 17:06:50,966 - INFO - fastread - 129, 930
2019-01-22 17:06:50,977 - INFO - fastread - 129, 940
2019-01-22 17:06:50,989 - INFO - fastread - 129, 950
2019-01-22 17:06:51,000 - INFO - fastread - 129, 960
2019-01-22 17:06:51,011 - INFO - fastread - 129, 970
2019-01-22 17:06:51,023 - INFO - fastread - 129, 980
2019-01-22 17:06:51,034 - INFO - fastread - 129, 990
2019-01-22 17:06:51,046 - INFO - fastread - 129, 1000
2019-01-22 17:06:51,057 - INFO - fastread - 129, 1010
2019-01-22 17:06:51,069 - INFO - fastread - 129, 1020
2019-01-22 17:06:51,080 - INFO - fastread - 129, 1030
2019-01-22 17:06:51,091 - INFO - fastread - 129, 1040
2019-01-22 17:06:51,103 - INFO - fastread - 129, 1050
2019-01-22 17:06:51,114 - INFO - fastread - 129, 1060
2019-01-22 17:06:51,126 - INFO - fastread - 129, 1070
2019-01-22 17:06:51,137 - INFO - fastread - 129, 1080
2019-01-22 17:06:51,149 - INFO - fastread - 129, 1090
2019-01-22 17:06:51,160 - INFO - fastread - 129, 1100
2019-01-22 17:06:51,172 - INFO - fastread - 129, 1110
2019-01-22 17:06:51,183 - INFO - fastread - 130, 1120
2019-01-22 17:06:51,195 - INFO - fastread - 130, 1130
2019-01-22 17:06:51,206 - INFO - fastread - 130, 1140
2019-01-22 17:06:51,218 - INFO - fastread - 130, 1150
2019-01-22 17:06:51,229 - INFO - fastread - 130, 1160
2019-01-22 17:06:51,241 - INFO - fastread - 130, 1170
2019-01-22 17:06:51,252 - INFO - fastread - 130, 1180
2019-01-22 17:06:51,264 - INFO - fastread - 130, 1190
2019-01-22 17:06:51,275 - INFO - fastread - 130, 1200
2019-01-22 17:06:51,287 - INFO - fastread - 130, 1210
2019-01-22 17:06:51,298 - INFO - fastread - 130, 1220
2019-01-22 17:06:51,310 - INFO - fastread - 130, 1230
2019-01-22 17:06:51,321 - INFO - fastread - 130, 1240
2019-01-22 17:06:51,333 - INFO - fastread - 130, 1250
2019-01-22 17:06:51,345 - INFO - fastread - 130, 1260
2019-01-22 17:06:51,356 - INFO - fastread - 130, 1270
2019-01-22 17:06:51,368 - INFO - fastread - 130, 1280
2019-01-22 17:06:51,379 - INFO - fastread - 130, 1290
2019-01-22 17:06:51,391 - INFO - fastread - 130, 1300
2019-01-22 17:06:51,402 - INFO - fastread - 130, 1310
2019-01-22 17:06:51,414 - INFO - fastread - 130, 1320
2019-01-22 17:06:51,426 - INFO - fastread - 130, 1330
2019-01-22 17:06:51,437 - INFO - fastread - 130, 1340
2019-01-22 17:06:51,449 - INFO - fastread - 130, 1350
2019-01-22 17:06:51,460 - INFO - fastread - 130, 1360
2019-01-22 17:06:51,472 - INFO - fastread - 130, 1370
2019-01-22 17:06:51,484 - INFO - fastread - 130, 1380
2019-01-22 17:06:51,495 - INFO - fastread - 134, 1390
2019-01-22 17:06:51,507 - INFO - fastread - 134, 1400
2019-01-22 17:06:51,518 - INFO - fastread - 134, 1410
2019-01-22 17:06:51,530 - INFO - fastread - 134, 1420
