2019-01-24 14:46:06,420 - INFO - rig - apache-ant-1.7.0
2019-01-24 14:46:06,520 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-24 14:46:06,520 - INFO - fastread - Total Yes: 66 | Total No: 1983
2019-01-24 14:46:06,881 - INFO - fastread - 0, 0
2019-01-24 14:46:08,166 - INFO - fastread - 1, 10
2019-01-24 14:46:09,401 - INFO - fastread - 1, 20
2019-01-24 14:46:10,676 - INFO - fastread - 2, 30
2019-01-24 14:46:11,933 - INFO - fastread - 2, 40
2019-01-24 14:46:13,179 - INFO - fastread - 2, 49
2019-01-24 14:46:14,394 - INFO - fastread - 2, 59
2019-01-24 14:46:15,588 - INFO - fastread - 3, 69
2019-01-24 14:46:16,762 - INFO - fastread - 3, 79
2019-01-24 14:46:17,884 - INFO - fastread - 6, 89
2019-01-24 14:46:19,217 - INFO - fastread - 11, 99
2019-01-24 14:46:20,614 - INFO - fastread - 14, 109
2019-01-24 14:46:21,948 - INFO - fastread - 16, 119
2019-01-24 14:46:23,280 - INFO - fastread - 16, 129
2019-01-24 14:46:24,597 - INFO - fastread - 20, 139
2019-01-24 14:46:25,928 - INFO - fastread - 23, 149
2019-01-24 14:46:27,261 - INFO - fastread - 29, 159
2019-01-24 14:46:28,527 - INFO - fastread - 31, 169
2019-01-24 14:46:29,791 - INFO - fastread - 33, 179
2019-01-24 14:46:31,013 - INFO - fastread - 37, 189
2019-01-24 14:46:32,274 - INFO - fastread - 37, 199
2019-01-24 14:46:33,551 - INFO - fastread - 38, 209
2019-01-24 14:46:34,895 - INFO - fastread - 38, 219
2019-01-24 14:46:36,179 - INFO - fastread - 39, 229
2019-01-24 14:46:37,432 - INFO - fastread - 39, 239
2019-01-24 14:46:38,734 - INFO - fastread - 40, 249
2019-01-24 14:46:40,000 - INFO - fastread - 41, 259
2019-01-24 14:46:41,254 - INFO - fastread - 41, 269
2019-01-24 14:46:42,527 - INFO - fastread - 42, 279
2019-01-24 14:46:43,951 - INFO - fastread - 43, 289
2019-01-24 14:46:45,245 - INFO - fastread - 45, 299
2019-01-24 14:46:46,529 - INFO - fastread - 45, 309
2019-01-24 14:46:47,783 - INFO - fastread - 45, 319
2019-01-24 14:46:49,087 - INFO - fastread - 45, 329
2019-01-24 14:46:50,430 - INFO - fastread - 46, 339
2019-01-24 14:46:51,734 - INFO - fastread - 46, 349
2019-01-24 14:46:52,998 - INFO - fastread - 48, 359
2019-01-24 14:46:54,251 - INFO - fastread - 48, 369
2019-01-24 14:46:55,575 - INFO - fastread - 49, 379
2019-01-24 14:46:56,878 - INFO - fastread - 49, 389
2019-01-24 14:46:58,162 - INFO - fastread - 49, 399
2019-01-24 14:46:59,639 - INFO - fastread - 49, 409
2019-01-24 14:47:01,022 - INFO - fastread - 49, 419
2019-01-24 14:47:02,387 - INFO - fastread - 50, 429
2019-01-24 14:47:03,710 - INFO - fastread - 51, 439
2019-01-24 14:47:05,001 - INFO - fastread - 51, 449
2019-01-24 14:47:06,298 - INFO - fastread - 51, 459
2019-01-24 14:47:07,671 - INFO - fastread - 53, 469
2019-01-24 14:47:09,014 - INFO - fastread - 53, 479
2019-01-24 14:47:10,348 - INFO - fastread - 53, 489
2019-01-24 14:47:11,701 - INFO - fastread - 54, 499
2019-01-24 14:47:13,094 - INFO - fastread - 55, 509
2019-01-24 14:47:14,467 - INFO - fastread - 55, 519
2019-01-24 14:47:15,940 - INFO - fastread - 56, 529
2019-01-24 14:47:17,226 - INFO - fastread - 57, 539
2019-01-24 14:47:18,518 - INFO - fastread - 57, 549
2019-01-24 14:47:19,912 - INFO - fastread - 57, 559
2019-01-24 14:47:21,327 - INFO - fastread - 57, 569
2019-01-24 14:47:22,671 - INFO - fastread - 57, 579
2019-01-24 14:47:24,066 - INFO - fastread - 58, 589
2019-01-24 14:47:25,469 - INFO - fastread - 58, 599
2019-01-24 14:47:26,751 - INFO - fastread - 58, 609
2019-01-24 14:47:28,073 - INFO - fastread - 58, 619
