2019-01-24 14:49:12,305 - INFO - rig - emf-2.4.1
2019-01-24 14:49:12,436 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-24 14:49:12,436 - INFO - fastread - Total Yes: 52 | Total No: 2142
2019-01-24 14:49:12,791 - INFO - fastread - 0, 0
2019-01-24 14:49:13,841 - INFO - fastread - 0, 10
2019-01-24 14:49:14,889 - INFO - fastread - 0, 20
2019-01-24 14:49:15,952 - INFO - fastread - 0, 30
2019-01-24 14:49:17,043 - INFO - fastread - 0, 40
2019-01-24 14:49:18,103 - INFO - fastread - 0, 50
2019-01-24 14:49:19,205 - INFO - fastread - 0, 59
2019-01-24 14:49:20,296 - INFO - fastread - 0, 69
2019-01-24 14:49:21,347 - INFO - fastread - 1, 79
2019-01-24 14:49:22,439 - INFO - fastread - 3, 88
2019-01-24 14:49:23,550 - INFO - fastread - 4, 98
2019-01-24 14:49:24,530 - INFO - fastread - 4, 107
2019-01-24 14:49:25,591 - INFO - fastread - 4, 117
2019-01-24 14:49:26,692 - INFO - fastread - 4, 127
2019-01-24 14:49:27,753 - INFO - fastread - 4, 137
2019-01-24 14:49:28,814 - INFO - fastread - 5, 147
2019-01-24 14:49:29,924 - INFO - fastread - 7, 157
2019-01-24 14:49:31,257 - INFO - fastread - 16, 167
2019-01-24 14:49:32,469 - INFO - fastread - 19, 177
2019-01-24 14:49:33,591 - INFO - fastread - 22, 187
2019-01-24 14:49:34,824 - INFO - fastread - 30, 197
2019-01-24 14:49:35,974 - INFO - fastread - 30, 207
2019-01-24 14:49:37,125 - INFO - fastread - 30, 217
2019-01-24 14:49:38,205 - INFO - fastread - 32, 227
2019-01-24 14:49:39,346 - INFO - fastread - 32, 237
2019-01-24 14:49:40,468 - INFO - fastread - 32, 247
2019-01-24 14:49:41,518 - INFO - fastread - 32, 257
2019-01-24 14:49:42,669 - INFO - fastread - 32, 267
2019-01-24 14:49:43,688 - INFO - fastread - 33, 277
2019-01-24 14:49:44,850 - INFO - fastread - 34, 287
2019-01-24 14:49:45,849 - INFO - fastread - 34, 297
2019-01-24 14:49:47,083 - INFO - fastread - 35, 307
2019-01-24 14:49:48,192 - INFO - fastread - 35, 317
2019-01-24 14:49:49,245 - INFO - fastread - 35, 327
2019-01-24 14:49:50,385 - INFO - fastread - 36, 337
2019-01-24 14:49:51,478 - INFO - fastread - 36, 347
2019-01-24 14:49:52,560 - INFO - fastread - 36, 357
2019-01-24 14:49:53,436 - INFO - fastread - 36, 367
2019-01-24 14:49:54,419 - INFO - fastread - 36, 377
2019-01-24 14:49:55,359 - INFO - fastread - 37, 387
2019-01-24 14:49:56,569 - INFO - fastread - 37, 397
2019-01-24 14:49:57,549 - INFO - fastread - 37, 407
2019-01-24 14:49:58,661 - INFO - fastread - 37, 417
2019-01-24 14:49:59,683 - INFO - fastread - 37, 427
2019-01-24 14:50:00,864 - INFO - fastread - 37, 437
2019-01-24 14:50:01,845 - INFO - fastread - 37, 447
2019-01-24 14:50:02,927 - INFO - fastread - 37, 457
2019-01-24 14:50:03,816 - INFO - fastread - 37, 467
2019-01-24 14:50:05,019 - INFO - fastread - 37, 477
2019-01-24 14:50:05,969 - INFO - fastread - 38, 487
