2019-01-24 14:00:33,612 - INFO - rig - jEdit-4.2
2019-01-24 14:00:33,766 - INFO - fastread - Total Yes: 128 | Total No: 5033
2019-01-24 14:00:33,882 - INFO - fastread - 5, 10
2019-01-24 14:00:33,882 - INFO - fastread - 15, 20
2019-01-24 14:00:33,882 - INFO - fastread - 23, 30
2019-01-24 14:00:33,882 - INFO - fastread - 29, 40
2019-01-24 14:00:33,882 - INFO - fastread - 35, 50
2019-01-24 14:00:33,882 - INFO - fastread - 40, 60
2019-01-24 14:00:33,882 - INFO - fastread - 48, 70
2019-01-24 14:00:33,897 - INFO - fastread - 52, 80
2019-01-24 14:00:33,897 - INFO - fastread - 54, 90
2019-01-24 14:00:33,897 - INFO - fastread - 54, 100
2019-01-24 14:00:33,897 - INFO - fastread - 54, 110
2019-01-24 14:00:33,913 - INFO - fastread - 54, 120
2019-01-24 14:00:33,913 - INFO - fastread - 54, 130
2019-01-24 14:00:33,913 - INFO - fastread - 54, 140
2019-01-24 14:00:33,929 - INFO - fastread - 54, 150
2019-01-24 14:00:33,929 - INFO - fastread - 54, 160
2019-01-24 14:00:33,929 - INFO - fastread - 54, 170
2019-01-24 14:00:33,935 - INFO - fastread - 54, 180
2019-01-24 14:00:33,937 - INFO - fastread - 54, 190
2019-01-24 14:00:33,937 - INFO - fastread - 54, 200
2019-01-24 14:00:33,937 - INFO - fastread - 54, 210
2019-01-24 14:00:33,945 - INFO - fastread - 54, 220
2019-01-24 14:00:33,947 - INFO - fastread - 54, 230
2019-01-24 14:00:33,947 - INFO - fastread - 54, 240
2019-01-24 14:00:33,947 - INFO - fastread - 54, 250
2019-01-24 14:00:33,947 - INFO - fastread - 54, 260
2019-01-24 14:00:33,955 - INFO - fastread - 54, 270
2019-01-24 14:00:33,957 - INFO - fastread - 54, 280
2019-01-24 14:00:33,957 - INFO - fastread - 54, 290
2019-01-24 14:00:33,957 - INFO - fastread - 54, 300
2019-01-24 14:00:33,965 - INFO - fastread - 54, 310
2019-01-24 14:00:33,967 - INFO - fastread - 54, 320
2019-01-24 14:00:33,967 - INFO - fastread - 54, 330
2019-01-24 14:00:33,967 - INFO - fastread - 54, 340
2019-01-24 14:00:33,967 - INFO - fastread - 54, 350
2019-01-24 14:00:33,975 - INFO - fastread - 54, 360
2019-01-24 14:00:33,977 - INFO - fastread - 54, 370
2019-01-24 14:00:33,977 - INFO - fastread - 54, 380
2019-01-24 14:00:33,977 - INFO - fastread - 54, 390
2019-01-24 14:00:33,986 - INFO - fastread - 54, 400
2019-01-24 14:00:33,988 - INFO - fastread - 54, 410
2019-01-24 14:00:33,988 - INFO - fastread - 54, 420
2019-01-24 14:00:33,988 - INFO - fastread - 54, 430
2019-01-24 14:00:33,998 - INFO - fastread - 55, 440
2019-01-24 14:00:33,998 - INFO - fastread - 56, 450
2019-01-24 14:00:33,998 - INFO - fastread - 56, 460
2019-01-24 14:00:34,006 - INFO - fastread - 56, 470
2019-01-24 14:00:34,008 - INFO - fastread - 57, 480
2019-01-24 14:00:34,008 - INFO - fastread - 57, 490
2019-01-24 14:00:34,008 - INFO - fastread - 57, 500
2019-01-24 14:00:34,016 - INFO - fastread - 57, 510
2019-01-24 14:00:34,018 - INFO - fastread - 58, 520
2019-01-24 14:00:34,018 - INFO - fastread - 58, 530
2019-01-24 14:00:34,018 - INFO - fastread - 58, 540
2019-01-24 14:00:34,026 - INFO - fastread - 58, 550
2019-01-24 14:00:34,028 - INFO - fastread - 58, 560
2019-01-24 14:00:34,028 - INFO - fastread - 58, 570
2019-01-24 14:00:34,028 - INFO - fastread - 58, 580
2019-01-24 14:00:34,038 - INFO - fastread - 58, 590
2019-01-24 14:00:34,038 - INFO - fastread - 58, 600
2019-01-24 14:00:34,046 - INFO - fastread - 58, 610
2019-01-24 14:00:34,048 - INFO - fastread - 59, 620
2019-01-24 14:00:34,048 - INFO - fastread - 59, 630
2019-01-24 14:00:34,048 - INFO - fastread - 59, 640
2019-01-24 14:00:34,058 - INFO - fastread - 59, 650
2019-01-24 14:00:34,066 - INFO - fastread - 59, 660
2019-01-24 14:00:34,068 - INFO - fastread - 59, 670
2019-01-24 14:00:34,068 - INFO - fastread - 59, 680
2019-01-24 14:00:34,078 - INFO - fastread - 60, 690
2019-01-24 14:00:34,078 - INFO - fastread - 60, 700
2019-01-24 14:00:34,086 - INFO - fastread - 60, 710
2019-01-24 14:00:34,088 - INFO - fastread - 60, 720
2019-01-24 14:00:34,088 - INFO - fastread - 61, 730
2019-01-24 14:00:34,098 - INFO - fastread - 63, 740
2019-01-24 14:00:34,098 - INFO - fastread - 63, 750
2019-01-24 14:00:34,108 - INFO - fastread - 63, 760
2019-01-24 14:00:34,108 - INFO - fastread - 63, 770
2019-01-24 14:00:34,118 - INFO - fastread - 63, 780
2019-01-24 14:00:34,118 - INFO - fastread - 63, 790
2019-01-24 14:00:34,128 - INFO - fastread - 63, 800
2019-01-24 14:00:34,128 - INFO - fastread - 64, 810
2019-01-24 14:00:34,138 - INFO - fastread - 64, 820
2019-01-24 14:00:34,138 - INFO - fastread - 64, 830
2019-01-24 14:00:34,148 - INFO - fastread - 64, 840
2019-01-24 14:00:34,148 - INFO - fastread - 64, 850
2019-01-24 14:00:34,159 - INFO - fastread - 64, 860
2019-01-24 14:00:34,159 - INFO - fastread - 64, 870
2019-01-24 14:00:34,169 - INFO - fastread - 64, 880
2019-01-24 14:00:34,169 - INFO - fastread - 64, 890
2019-01-24 14:00:34,179 - INFO - fastread - 64, 900
2019-01-24 14:00:34,187 - INFO - fastread - 64, 910
2019-01-24 14:00:34,189 - INFO - fastread - 64, 920
2019-01-24 14:00:34,199 - INFO - fastread - 64, 930
2019-01-24 14:00:34,199 - INFO - fastread - 64, 940
2019-01-24 14:00:34,209 - INFO - fastread - 64, 950
2019-01-24 14:00:34,209 - INFO - fastread - 65, 960
2019-01-24 14:00:34,217 - INFO - fastread - 65, 970
2019-01-24 14:00:34,219 - INFO - fastread - 65, 980
2019-01-24 14:00:34,219 - INFO - fastread - 65, 990
2019-01-24 14:00:34,229 - INFO - fastread - 66, 1000
2019-01-24 14:00:34,229 - INFO - fastread - 66, 1010
2019-01-24 14:00:34,239 - INFO - fastread - 66, 1020
2019-01-24 14:00:34,239 - INFO - fastread - 66, 1030
2019-01-24 14:00:34,249 - INFO - fastread - 66, 1040
2019-01-24 14:00:34,249 - INFO - fastread - 66, 1050
2019-01-24 14:00:34,259 - INFO - fastread - 66, 1060
2019-01-24 14:00:34,259 - INFO - fastread - 66, 1070
2019-01-24 14:00:34,269 - INFO - fastread - 66, 1080
2019-01-24 14:00:34,269 - INFO - fastread - 67, 1090
2019-01-24 14:00:34,278 - INFO - fastread - 67, 1100
2019-01-24 14:00:34,280 - INFO - fastread - 68, 1110
2019-01-24 14:00:34,280 - INFO - fastread - 68, 1120
2019-01-24 14:00:34,288 - INFO - fastread - 68, 1130
2019-01-24 14:00:34,291 - INFO - fastread - 68, 1140
2019-01-24 14:00:34,295 - INFO - fastread - 68, 1150
2019-01-24 14:00:34,300 - INFO - fastread - 68, 1160
2019-01-24 14:00:34,306 - INFO - fastread - 68, 1170
2019-01-24 14:00:34,311 - INFO - fastread - 68, 1180
2019-01-24 14:00:34,312 - INFO - fastread - 69, 1190
2019-01-24 14:00:34,320 - INFO - fastread - 69, 1200
2019-01-24 14:00:34,320 - INFO - fastread - 69, 1210
2019-01-24 14:00:34,330 - INFO - fastread - 69, 1220
2019-01-24 14:00:34,338 - INFO - fastread - 69, 1230
2019-01-24 14:00:34,340 - INFO - fastread - 69, 1240
2019-01-24 14:00:34,340 - INFO - fastread - 69, 1250
2019-01-24 14:00:34,350 - INFO - fastread - 70, 1260
2019-01-24 14:00:34,350 - INFO - fastread - 71, 1270
2019-01-24 14:00:34,360 - INFO - fastread - 72, 1280
2019-01-24 14:00:34,360 - INFO - fastread - 72, 1290
2019-01-24 14:00:34,368 - INFO - fastread - 73, 1300
2019-01-24 14:00:34,370 - INFO - fastread - 73, 1310
2019-01-24 14:00:34,370 - INFO - fastread - 73, 1320
