2019-01-24 14:00:33,550 - INFO - rig - jfreechart-1.0.19
2019-01-24 14:00:33,650 - INFO - fastread - Total Yes: 104 | Total No: 2100
2019-01-24 14:00:33,697 - INFO - fastread - 10, 10
2019-01-24 14:00:33,697 - INFO - fastread - 18, 20
2019-01-24 14:00:33,697 - INFO - fastread - 27, 30
2019-01-24 14:00:33,712 - INFO - fastread - 37, 40
2019-01-24 14:00:33,712 - INFO - fastread - 45, 50
2019-01-24 14:00:33,712 - INFO - fastread - 55, 60
2019-01-24 14:00:33,712 - INFO - fastread - 64, 70
2019-01-24 14:00:33,712 - INFO - fastread - 72, 80
2019-01-24 14:00:33,728 - INFO - fastread - 82, 90
2019-01-24 14:00:33,728 - INFO - fastread - 91, 100
2019-01-24 14:00:33,735 - INFO - fastread - 93, 110
2019-01-24 14:00:33,735 - INFO - fastread - 93, 120
2019-01-24 14:00:33,735 - INFO - fastread - 93, 130
2019-01-24 14:00:33,735 - INFO - fastread - 93, 140
2019-01-24 14:00:33,735 - INFO - fastread - 93, 150
2019-01-24 14:00:33,735 - INFO - fastread - 93, 160
2019-01-24 14:00:33,735 - INFO - fastread - 93, 170
2019-01-24 14:00:33,750 - INFO - fastread - 93, 180
2019-01-24 14:00:33,750 - INFO - fastread - 93, 190
2019-01-24 14:00:33,750 - INFO - fastread - 93, 200
2019-01-24 14:00:33,750 - INFO - fastread - 93, 210
2019-01-24 14:00:33,750 - INFO - fastread - 94, 220
2019-01-24 14:00:33,750 - INFO - fastread - 94, 230
2019-01-24 14:00:33,766 - INFO - fastread - 94, 240
2019-01-24 14:00:33,766 - INFO - fastread - 94, 250
2019-01-24 14:00:33,766 - INFO - fastread - 94, 260
2019-01-24 14:00:33,766 - INFO - fastread - 94, 270
2019-01-24 14:00:33,766 - INFO - fastread - 94, 280
2019-01-24 14:00:33,782 - INFO - fastread - 94, 290
2019-01-24 14:00:33,782 - INFO - fastread - 94, 300
2019-01-24 14:00:33,782 - INFO - fastread - 94, 310
2019-01-24 14:00:33,782 - INFO - fastread - 94, 320
2019-01-24 14:00:33,782 - INFO - fastread - 94, 330
2019-01-24 14:00:33,797 - INFO - fastread - 94, 340
2019-01-24 14:00:33,797 - INFO - fastread - 94, 350
2019-01-24 14:00:33,797 - INFO - fastread - 94, 360
2019-01-24 14:00:33,797 - INFO - fastread - 94, 370
