2019-01-24 13:54:18,714 - INFO - rig - apache-ant-1.7.0
2019-01-24 13:54:18,832 - INFO - fastread - Total Yes: 65 | Total No: 1984
2019-01-24 13:54:19,158 - INFO - fastread - 7, 10
2019-01-24 13:54:19,158 - INFO - fastread - 9, 20
2019-01-24 13:54:19,158 - INFO - fastread - 9, 30
2019-01-24 13:54:19,158 - INFO - fastread - 9, 40
2019-01-24 13:54:19,166 - INFO - fastread - 9, 50
2019-01-24 13:54:19,168 - INFO - fastread - 9, 60
2019-01-24 13:54:19,168 - INFO - fastread - 9, 70
2019-01-24 13:54:19,176 - INFO - fastread - 9, 80
2019-01-24 13:54:19,178 - INFO - fastread - 9, 90
2019-01-24 13:54:19,178 - INFO - fastread - 9, 100
2019-01-24 13:54:19,178 - INFO - fastread - 10, 110
2019-01-24 13:54:19,188 - INFO - fastread - 10, 120
2019-01-24 13:54:19,188 - INFO - fastread - 10, 130
2019-01-24 13:54:19,188 - INFO - fastread - 10, 140
2019-01-24 13:54:19,188 - INFO - fastread - 10, 150
2019-01-24 13:54:19,196 - INFO - fastread - 12, 160
2019-01-24 13:54:19,198 - INFO - fastread - 12, 170
2019-01-24 13:54:19,198 - INFO - fastread - 12, 180
2019-01-24 13:54:19,198 - INFO - fastread - 12, 190
2019-01-24 13:54:19,206 - INFO - fastread - 12, 200
2019-01-24 13:54:19,208 - INFO - fastread - 13, 210
2019-01-24 13:54:19,208 - INFO - fastread - 14, 220
2019-01-24 13:54:19,208 - INFO - fastread - 14, 230
2019-01-24 13:54:19,216 - INFO - fastread - 14, 240
2019-01-24 13:54:19,218 - INFO - fastread - 14, 250
2019-01-24 13:54:19,218 - INFO - fastread - 15, 260
2019-01-24 13:54:19,218 - INFO - fastread - 17, 270
2019-01-24 13:54:19,218 - INFO - fastread - 17, 280
2019-01-24 13:54:19,228 - INFO - fastread - 17, 290
2019-01-24 13:54:19,228 - INFO - fastread - 17, 300
2019-01-24 13:54:19,228 - INFO - fastread - 17, 310
2019-01-24 13:54:19,236 - INFO - fastread - 17, 320
2019-01-24 13:54:19,238 - INFO - fastread - 17, 330
2019-01-24 13:54:19,238 - INFO - fastread - 17, 340
