2019-01-24 13:54:18,634 - INFO - rig - jEdit-4.2
2019-01-24 13:54:18,834 - INFO - fastread - Total Yes: 128 | Total No: 5033
2019-01-24 13:54:20,569 - INFO - fastread - 9, 10
2019-01-24 13:54:20,571 - INFO - fastread - 14, 20
2019-01-24 13:54:20,571 - INFO - fastread - 18, 30
2019-01-24 13:54:20,579 - INFO - fastread - 18, 40
2019-01-24 13:54:20,581 - INFO - fastread - 19, 50
2019-01-24 13:54:20,581 - INFO - fastread - 19, 60
2019-01-24 13:54:20,589 - INFO - fastread - 19, 70
2019-01-24 13:54:20,591 - INFO - fastread - 19, 80
2019-01-24 13:54:20,591 - INFO - fastread - 19, 90
2019-01-24 13:54:20,601 - INFO - fastread - 19, 100
2019-01-24 13:54:20,601 - INFO - fastread - 19, 110
2019-01-24 13:54:20,601 - INFO - fastread - 19, 120
2019-01-24 13:54:20,621 - INFO - fastread - 19, 130
2019-01-24 13:54:20,621 - INFO - fastread - 19, 140
2019-01-24 13:54:20,629 - INFO - fastread - 19, 150
2019-01-24 13:54:20,631 - INFO - fastread - 19, 160
2019-01-24 13:54:20,640 - INFO - fastread - 19, 170
2019-01-24 13:54:20,642 - INFO - fastread - 19, 180
2019-01-24 13:54:20,642 - INFO - fastread - 20, 190
2019-01-24 13:54:20,650 - INFO - fastread - 20, 200
2019-01-24 13:54:20,652 - INFO - fastread - 20, 210
2019-01-24 13:54:20,652 - INFO - fastread - 20, 220
2019-01-24 13:54:20,662 - INFO - fastread - 20, 230
2019-01-24 13:54:20,662 - INFO - fastread - 21, 240
2019-01-24 13:54:20,670 - INFO - fastread - 21, 250
2019-01-24 13:54:20,672 - INFO - fastread - 22, 260
2019-01-24 13:54:20,672 - INFO - fastread - 22, 270
2019-01-24 13:54:20,682 - INFO - fastread - 22, 280
2019-01-24 13:54:20,682 - INFO - fastread - 22, 290
2019-01-24 13:54:20,690 - INFO - fastread - 22, 300
2019-01-24 13:54:20,692 - INFO - fastread - 22, 310
2019-01-24 13:54:20,700 - INFO - fastread - 22, 320
2019-01-24 13:54:20,702 - INFO - fastread - 22, 330
2019-01-24 13:54:20,702 - INFO - fastread - 22, 340
2019-01-24 13:54:20,712 - INFO - fastread - 23, 350
2019-01-24 13:54:20,712 - INFO - fastread - 23, 360
2019-01-24 13:54:20,722 - INFO - fastread - 23, 370
2019-01-24 13:54:20,722 - INFO - fastread - 23, 380
2019-01-24 13:54:20,730 - INFO - fastread - 23, 390
2019-01-24 13:54:20,732 - INFO - fastread - 23, 400
2019-01-24 13:54:20,742 - INFO - fastread - 23, 410
2019-01-24 13:54:20,742 - INFO - fastread - 24, 420
2019-01-24 13:54:20,750 - INFO - fastread - 24, 430
2019-01-24 13:54:20,752 - INFO - fastread - 25, 440
2019-01-24 13:54:20,752 - INFO - fastread - 25, 450
2019-01-24 13:54:20,762 - INFO - fastread - 25, 460
2019-01-24 13:54:20,762 - INFO - fastread - 25, 470
2019-01-24 13:54:20,770 - INFO - fastread - 25, 480
2019-01-24 13:54:20,772 - INFO - fastread - 25, 490
2019-01-24 13:54:20,772 - INFO - fastread - 25, 500
