2019-01-24 14:02:34,560 - INFO - rig - argouml
2019-01-24 14:02:34,822 - INFO - fastread - Total Yes: 706 | Total No: 4020
2019-01-24 14:02:34,852 - INFO - fastread - 10, 10
2019-01-24 14:02:34,852 - INFO - fastread - 20, 20
2019-01-24 14:02:34,852 - INFO - fastread - 30, 30
2019-01-24 14:02:34,860 - INFO - fastread - 39, 40
2019-01-24 14:02:34,862 - INFO - fastread - 49, 50
2019-01-24 14:02:34,862 - INFO - fastread - 58, 60
2019-01-24 14:02:34,862 - INFO - fastread - 68, 70
2019-01-24 14:02:34,862 - INFO - fastread - 78, 80
2019-01-24 14:02:34,870 - INFO - fastread - 88, 90
2019-01-24 14:02:34,872 - INFO - fastread - 98, 100
2019-01-24 14:02:34,872 - INFO - fastread - 108, 110
2019-01-24 14:02:34,872 - INFO - fastread - 118, 120
2019-01-24 14:02:34,880 - INFO - fastread - 128, 130
2019-01-24 14:02:34,882 - INFO - fastread - 138, 140
2019-01-24 14:02:34,882 - INFO - fastread - 148, 150
2019-01-24 14:02:34,882 - INFO - fastread - 156, 160
2019-01-24 14:02:34,890 - INFO - fastread - 163, 170
2019-01-24 14:02:34,892 - INFO - fastread - 169, 180
2019-01-24 14:02:34,892 - INFO - fastread - 178, 190
2019-01-24 14:02:34,902 - INFO - fastread - 188, 200
2019-01-24 14:02:34,902 - INFO - fastread - 197, 210
2019-01-24 14:02:34,902 - INFO - fastread - 207, 220
2019-01-24 14:02:34,913 - INFO - fastread - 213, 230
2019-01-24 14:02:34,913 - INFO - fastread - 221, 240
2019-01-24 14:02:34,921 - INFO - fastread - 231, 250
2019-01-24 14:02:34,923 - INFO - fastread - 237, 260
2019-01-24 14:02:34,923 - INFO - fastread - 245, 270
2019-01-24 14:02:34,931 - INFO - fastread - 255, 280
2019-01-24 14:02:34,933 - INFO - fastread - 265, 290
2019-01-24 14:02:34,933 - INFO - fastread - 272, 300
2019-01-24 14:02:34,941 - INFO - fastread - 281, 310
2019-01-24 14:02:34,943 - INFO - fastread - 288, 320
2019-01-24 14:02:34,943 - INFO - fastread - 294, 330
2019-01-24 14:02:34,953 - INFO - fastread - 301, 340
2019-01-24 14:02:34,953 - INFO - fastread - 311, 350
2019-01-24 14:02:34,961 - INFO - fastread - 320, 360
2019-01-24 14:02:34,963 - INFO - fastread - 328, 370
2019-01-24 14:02:34,963 - INFO - fastread - 330, 380
2019-01-24 14:02:34,973 - INFO - fastread - 334, 390
2019-01-24 14:02:34,973 - INFO - fastread - 340, 400
2019-01-24 14:02:34,981 - INFO - fastread - 349, 410
2019-01-24 14:02:34,983 - INFO - fastread - 357, 420
2019-01-24 14:02:34,991 - INFO - fastread - 364, 430
2019-01-24 14:02:34,993 - INFO - fastread - 370, 440
2019-01-24 14:02:35,001 - INFO - fastread - 376, 450
2019-01-24 14:02:35,003 - INFO - fastread - 383, 460
2019-01-24 14:02:35,003 - INFO - fastread - 389, 470
2019-01-24 14:02:35,011 - INFO - fastread - 392, 480
2019-01-24 14:02:35,013 - INFO - fastread - 397, 490
2019-01-24 14:02:35,013 - INFO - fastread - 405, 500
2019-01-24 14:02:35,013 - INFO - fastread - 413, 510
2019-01-24 14:02:35,022 - INFO - fastread - 420, 520
2019-01-24 14:02:35,024 - INFO - fastread - 423, 530
2019-01-24 14:02:35,024 - INFO - fastread - 427, 540
2019-01-24 14:02:35,024 - INFO - fastread - 431, 550
2019-01-24 14:02:35,024 - INFO - fastread - 437, 560
2019-01-24 14:02:35,034 - INFO - fastread - 441, 570
2019-01-24 14:02:35,034 - INFO - fastread - 443, 580
2019-01-24 14:02:35,034 - INFO - fastread - 447, 590
2019-01-24 14:02:35,034 - INFO - fastread - 450, 600
2019-01-24 14:02:35,042 - INFO - fastread - 455, 610
2019-01-24 14:02:35,044 - INFO - fastread - 460, 620
2019-01-24 14:02:35,044 - INFO - fastread - 464, 630
2019-01-24 14:02:35,044 - INFO - fastread - 470, 640
2019-01-24 14:02:35,052 - INFO - fastread - 478, 650
2019-01-24 14:02:35,054 - INFO - fastread - 482, 660
2019-01-24 14:02:35,054 - INFO - fastread - 486, 670
2019-01-24 14:02:35,064 - INFO - fastread - 491, 680
2019-01-24 14:02:35,064 - INFO - fastread - 493, 690
2019-01-24 14:02:35,072 - INFO - fastread - 499, 700
2019-01-24 14:02:35,074 - INFO - fastread - 501, 710
2019-01-24 14:02:35,074 - INFO - fastread - 501, 720
2019-01-24 14:02:35,084 - INFO - fastread - 504, 730
2019-01-24 14:02:35,084 - INFO - fastread - 507, 740
2019-01-24 14:02:35,084 - INFO - fastread - 515, 750
2019-01-24 14:02:35,094 - INFO - fastread - 519, 760
2019-01-24 14:02:35,094 - INFO - fastread - 522, 770
2019-01-24 14:02:35,104 - INFO - fastread - 524, 780
2019-01-24 14:02:35,104 - INFO - fastread - 528, 790
2019-01-24 14:02:35,112 - INFO - fastread - 529, 800
2019-01-24 14:02:35,114 - INFO - fastread - 530, 810
2019-01-24 14:02:35,114 - INFO - fastread - 536, 820
2019-01-24 14:02:35,124 - INFO - fastread - 539, 830
2019-01-24 14:02:35,124 - INFO - fastread - 542, 840
2019-01-24 14:02:35,134 - INFO - fastread - 546, 850
2019-01-24 14:02:35,134 - INFO - fastread - 549, 860
2019-01-24 14:02:35,142 - INFO - fastread - 551, 870
2019-01-24 14:02:35,144 - INFO - fastread - 554, 880
2019-01-24 14:02:35,144 - INFO - fastread - 554, 890
2019-01-24 14:02:35,155 - INFO - fastread - 557, 900
2019-01-24 14:02:35,155 - INFO - fastread - 559, 910
2019-01-24 14:02:35,163 - INFO - fastread - 562, 920
2019-01-24 14:02:35,165 - INFO - fastread - 564, 930
2019-01-24 14:02:35,165 - INFO - fastread - 566, 940
2019-01-24 14:02:35,165 - INFO - fastread - 569, 950
2019-01-24 14:02:35,165 - INFO - fastread - 570, 960
2019-01-24 14:02:35,173 - INFO - fastread - 572, 970
2019-01-24 14:02:35,175 - INFO - fastread - 575, 980
2019-01-24 14:02:35,175 - INFO - fastread - 575, 990
2019-01-24 14:02:35,183 - INFO - fastread - 576, 1000
2019-01-24 14:02:35,185 - INFO - fastread - 581, 1010
2019-01-24 14:02:35,185 - INFO - fastread - 582, 1020
2019-01-24 14:02:35,195 - INFO - fastread - 583, 1030
2019-01-24 14:02:35,195 - INFO - fastread - 583, 1040
2019-01-24 14:02:35,203 - INFO - fastread - 585, 1050
2019-01-24 14:02:35,205 - INFO - fastread - 587, 1060
2019-01-24 14:02:35,205 - INFO - fastread - 587, 1070
2019-01-24 14:02:35,205 - INFO - fastread - 588, 1080
2019-01-24 14:02:35,205 - INFO - fastread - 589, 1090
2019-01-24 14:02:35,215 - INFO - fastread - 591, 1100
2019-01-24 14:02:35,215 - INFO - fastread - 591, 1110
2019-01-24 14:02:35,215 - INFO - fastread - 593, 1120
2019-01-24 14:02:35,223 - INFO - fastread - 595, 1130
2019-01-24 14:02:35,225 - INFO - fastread - 599, 1140
2019-01-24 14:02:35,225 - INFO - fastread - 601, 1150
2019-01-24 14:02:35,225 - INFO - fastread - 603, 1160
2019-01-24 14:02:35,225 - INFO - fastread - 604, 1170
2019-01-24 14:02:35,233 - INFO - fastread - 608, 1180
2019-01-24 14:02:35,235 - INFO - fastread - 609, 1190
2019-01-24 14:02:35,235 - INFO - fastread - 610, 1200
2019-01-24 14:02:35,235 - INFO - fastread - 612, 1210
2019-01-24 14:02:35,243 - INFO - fastread - 613, 1220
2019-01-24 14:02:35,245 - INFO - fastread - 614, 1230
2019-01-24 14:02:35,245 - INFO - fastread - 616, 1240
2019-01-24 14:02:35,245 - INFO - fastread - 617, 1250
2019-01-24 14:02:35,245 - INFO - fastread - 617, 1260
2019-01-24 14:02:35,253 - INFO - fastread - 618, 1270
2019-01-24 14:02:35,255 - INFO - fastread - 619, 1280
2019-01-24 14:02:35,255 - INFO - fastread - 620, 1290
2019-01-24 14:02:35,255 - INFO - fastread - 622, 1300
2019-01-24 14:02:35,255 - INFO - fastread - 626, 1310
