2019-01-24 14:02:33,406 - INFO - rig - jfreechart-1.0.19
2019-01-24 14:02:33,507 - INFO - fastread - Total Yes: 105 | Total No: 2099
2019-01-24 14:02:33,538 - INFO - fastread - 10, 10
2019-01-24 14:02:33,538 - INFO - fastread - 20, 20
2019-01-24 14:02:33,538 - INFO - fastread - 30, 30
2019-01-24 14:02:33,538 - INFO - fastread - 39, 40
2019-01-24 14:02:33,538 - INFO - fastread - 47, 50
2019-01-24 14:02:33,553 - INFO - fastread - 51, 60
2019-01-24 14:02:33,553 - INFO - fastread - 53, 70
2019-01-24 14:02:33,553 - INFO - fastread - 57, 80
2019-01-24 14:02:33,553 - INFO - fastread - 58, 90
2019-01-24 14:02:33,553 - INFO - fastread - 60, 100
2019-01-24 14:02:33,569 - INFO - fastread - 63, 110
2019-01-24 14:02:33,569 - INFO - fastread - 64, 120
2019-01-24 14:02:33,569 - INFO - fastread - 67, 130
2019-01-24 14:02:33,569 - INFO - fastread - 69, 140
2019-01-24 14:02:33,569 - INFO - fastread - 69, 150
2019-01-24 14:02:33,569 - INFO - fastread - 69, 160
2019-01-24 14:02:33,569 - INFO - fastread - 69, 170
2019-01-24 14:02:33,585 - INFO - fastread - 71, 180
2019-01-24 14:02:33,585 - INFO - fastread - 73, 190
2019-01-24 14:02:33,585 - INFO - fastread - 73, 200
2019-01-24 14:02:33,591 - INFO - fastread - 73, 210
2019-01-24 14:02:33,591 - INFO - fastread - 73, 220
2019-01-24 14:02:33,591 - INFO - fastread - 74, 230
2019-01-24 14:02:33,591 - INFO - fastread - 74, 240
2019-01-24 14:02:33,591 - INFO - fastread - 74, 250
2019-01-24 14:02:33,591 - INFO - fastread - 74, 260
2019-01-24 14:02:33,591 - INFO - fastread - 74, 270
2019-01-24 14:02:33,591 - INFO - fastread - 74, 280
2019-01-24 14:02:33,607 - INFO - fastread - 74, 290
2019-01-24 14:02:33,607 - INFO - fastread - 74, 300
2019-01-24 14:02:33,607 - INFO - fastread - 74, 310
2019-01-24 14:02:33,607 - INFO - fastread - 74, 320
2019-01-24 14:02:33,607 - INFO - fastread - 74, 330
2019-01-24 14:02:33,622 - INFO - fastread - 74, 340
2019-01-24 14:02:33,622 - INFO - fastread - 74, 350
2019-01-24 14:02:33,622 - INFO - fastread - 74, 360
2019-01-24 14:02:33,622 - INFO - fastread - 74, 370
2019-01-24 14:02:33,622 - INFO - fastread - 74, 380
2019-01-24 14:02:33,622 - INFO - fastread - 74, 390
2019-01-24 14:02:33,622 - INFO - fastread - 74, 400
2019-01-24 14:02:33,622 - INFO - fastread - 74, 410
2019-01-24 14:02:33,638 - INFO - fastread - 75, 420
2019-01-24 14:02:33,638 - INFO - fastread - 75, 430
2019-01-24 14:02:33,638 - INFO - fastread - 75, 440
2019-01-24 14:02:33,638 - INFO - fastread - 75, 450
2019-01-24 14:02:33,638 - INFO - fastread - 77, 460
2019-01-24 14:02:33,654 - INFO - fastread - 77, 470
2019-01-24 14:02:33,654 - INFO - fastread - 77, 480
2019-01-24 14:02:33,654 - INFO - fastread - 77, 490
2019-01-24 14:02:33,654 - INFO - fastread - 78, 500
2019-01-24 14:02:33,669 - INFO - fastread - 78, 510
2019-01-24 14:02:33,669 - INFO - fastread - 79, 520
2019-01-24 14:02:33,669 - INFO - fastread - 81, 530
2019-01-24 14:02:33,669 - INFO - fastread - 81, 540
2019-01-24 14:02:33,669 - INFO - fastread - 81, 550
