2019-01-24 14:02:33,985 - INFO - rig - sql12
2019-01-24 14:02:34,187 - INFO - fastread - Total Yes: 143 | Total No: 3464
2019-01-24 14:02:34,217 - INFO - fastread - 4, 10
2019-01-24 14:02:34,217 - INFO - fastread - 5, 20
2019-01-24 14:02:34,227 - INFO - fastread - 12, 30
2019-01-24 14:02:34,227 - INFO - fastread - 16, 40
2019-01-24 14:02:34,235 - INFO - fastread - 16, 50
2019-01-24 14:02:34,237 - INFO - fastread - 18, 60
2019-01-24 14:02:34,237 - INFO - fastread - 25, 70
2019-01-24 14:02:34,245 - INFO - fastread - 27, 80
2019-01-24 14:02:34,247 - INFO - fastread - 27, 90
2019-01-24 14:02:34,247 - INFO - fastread - 28, 100
2019-01-24 14:02:34,247 - INFO - fastread - 30, 110
2019-01-24 14:02:34,255 - INFO - fastread - 31, 120
2019-01-24 14:02:34,257 - INFO - fastread - 34, 130
2019-01-24 14:02:34,257 - INFO - fastread - 34, 140
2019-01-24 14:02:34,257 - INFO - fastread - 34, 150
2019-01-24 14:02:34,257 - INFO - fastread - 36, 160
2019-01-24 14:02:34,265 - INFO - fastread - 37, 170
2019-01-24 14:02:34,267 - INFO - fastread - 39, 180
2019-01-24 14:02:34,267 - INFO - fastread - 39, 190
2019-01-24 14:02:34,267 - INFO - fastread - 41, 200
2019-01-24 14:02:34,267 - INFO - fastread - 43, 210
2019-01-24 14:02:34,275 - INFO - fastread - 43, 220
2019-01-24 14:02:34,277 - INFO - fastread - 43, 230
2019-01-24 14:02:34,277 - INFO - fastread - 43, 240
2019-01-24 14:02:34,277 - INFO - fastread - 43, 250
2019-01-24 14:02:34,285 - INFO - fastread - 44, 260
2019-01-24 14:02:34,289 - INFO - fastread - 44, 270
2019-01-24 14:02:34,293 - INFO - fastread - 44, 280
2019-01-24 14:02:34,298 - INFO - fastread - 45, 290
2019-01-24 14:02:34,300 - INFO - fastread - 46, 300
2019-01-24 14:02:34,304 - INFO - fastread - 47, 310
2019-01-24 14:02:34,308 - INFO - fastread - 48, 320
2019-01-24 14:02:34,309 - INFO - fastread - 50, 330
2019-01-24 14:02:34,309 - INFO - fastread - 50, 340
2019-01-24 14:02:34,318 - INFO - fastread - 50, 350
2019-01-24 14:02:34,318 - INFO - fastread - 52, 360
2019-01-24 14:02:34,318 - INFO - fastread - 52, 370
2019-01-24 14:02:34,328 - INFO - fastread - 52, 380
2019-01-24 14:02:34,328 - INFO - fastread - 55, 390
2019-01-24 14:02:34,336 - INFO - fastread - 55, 400
2019-01-24 14:02:34,338 - INFO - fastread - 56, 410
2019-01-24 14:02:34,338 - INFO - fastread - 60, 420
2019-01-24 14:02:34,346 - INFO - fastread - 60, 430
2019-01-24 14:02:34,348 - INFO - fastread - 60, 440
2019-01-24 14:02:34,348 - INFO - fastread - 60, 450
2019-01-24 14:02:34,356 - INFO - fastread - 61, 460
2019-01-24 14:02:34,358 - INFO - fastread - 61, 470
2019-01-24 14:02:34,358 - INFO - fastread - 61, 480
2019-01-24 14:02:34,358 - INFO - fastread - 61, 490
2019-01-24 14:02:34,358 - INFO - fastread - 64, 500
2019-01-24 14:02:34,368 - INFO - fastread - 65, 510
2019-01-24 14:02:34,368 - INFO - fastread - 65, 520
2019-01-24 14:02:34,368 - INFO - fastread - 66, 530
2019-01-24 14:02:34,378 - INFO - fastread - 66, 540
2019-01-24 14:02:34,378 - INFO - fastread - 66, 550
