2019-01-25 12:03:44,330 - INFO - rig - argouml
2019-01-25 12:03:54,295 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:03:54,295 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-01-25 12:03:54,902 - INFO - fastread - 0, 0
2019-01-25 12:05:40,401 - INFO - fastread - 559, 668
2019-01-25 12:05:44,563 - INFO - fastread - 567, 678
2019-01-25 12:05:49,633 - INFO - fastread - 575, 688
2019-01-25 12:05:55,842 - INFO - fastread - 584, 698
2019-01-25 12:06:01,305 - INFO - fastread - 587, 708
2019-01-25 12:06:08,391 - INFO - fastread - 588, 718
2019-01-25 12:06:14,864 - INFO - fastread - 597, 728
2019-01-25 12:06:22,836 - INFO - fastread - 607, 738
2019-01-25 12:06:29,571 - INFO - fastread - 616, 748
2019-01-25 12:06:37,334 - INFO - fastread - 625, 758
2019-01-25 12:06:44,990 - INFO - fastread - 634, 768
2019-01-25 12:06:51,056 - INFO - fastread - 641, 778
2019-01-25 12:06:57,504 - INFO - fastread - 650, 788
2019-01-25 12:07:06,061 - INFO - fastread - 652, 798
2019-01-25 12:07:12,343 - INFO - fastread - 661, 808
2019-01-25 12:07:18,748 - INFO - fastread - 670, 818
2019-01-25 12:07:24,088 - INFO - fastread - 679, 828
2019-01-25 12:07:29,884 - INFO - fastread - 687, 838
2019-01-25 12:07:35,879 - INFO - fastread - 693, 848
2019-01-25 12:07:41,500 - INFO - fastread - 699, 858
2019-01-25 12:07:47,508 - INFO - fastread - 709, 868
2019-01-25 12:07:53,323 - INFO - fastread - 715, 878
2019-01-25 12:07:59,243 - INFO - fastread - 721, 888
2019-01-25 12:08:05,009 - INFO - fastread - 727, 898
2019-01-25 12:08:11,191 - INFO - fastread - 735, 908
2019-01-25 12:08:18,182 - INFO - fastread - 740, 918
2019-01-25 12:08:25,967 - INFO - fastread - 750, 928
2019-01-25 12:08:32,707 - INFO - fastread - 759, 938
2019-01-25 12:08:39,644 - INFO - fastread - 768, 948
2019-01-25 12:08:45,574 - INFO - fastread - 776, 958
2019-01-25 12:08:51,231 - INFO - fastread - 783, 968
2019-01-25 12:08:56,956 - INFO - fastread - 791, 978
2019-01-25 12:09:02,864 - INFO - fastread - 799, 988
2019-01-25 12:09:08,802 - INFO - fastread - 808, 998
2019-01-25 12:09:14,883 - INFO - fastread - 817, 1008
2019-01-25 12:09:21,112 - INFO - fastread - 824, 1018
2019-01-25 12:09:27,179 - INFO - fastread - 832, 1028
2019-01-25 12:09:33,652 - INFO - fastread - 842, 1038
2019-01-25 12:09:40,330 - INFO - fastread - 852, 1048
2019-01-25 12:09:46,782 - INFO - fastread - 862, 1058
