2019-01-25 12:03:43,745 - INFO - rig - jruby-1.4.0
2019-01-25 12:03:52,111 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:03:52,111 - INFO - fastread - Total Yes: 622 | Total No: 4275
2019-01-25 12:03:52,526 - INFO - fastread - 0, 0
2019-01-25 12:04:25,977 - INFO - fastread - 198, 206
2019-01-25 12:04:27,921 - INFO - fastread - 198, 216
2019-01-25 12:04:29,842 - INFO - fastread - 207, 226
2019-01-25 12:04:31,714 - INFO - fastread - 214, 236
2019-01-25 12:04:33,572 - INFO - fastread - 220, 246
2019-01-25 12:04:35,444 - INFO - fastread - 225, 256
2019-01-25 12:04:37,335 - INFO - fastread - 231, 266
2019-01-25 12:04:39,236 - INFO - fastread - 239, 276
2019-01-25 12:04:41,127 - INFO - fastread - 247, 286
2019-01-25 12:04:43,066 - INFO - fastread - 255, 296
2019-01-25 12:04:45,019 - INFO - fastread - 260, 306
2019-01-25 12:04:47,001 - INFO - fastread - 270, 316
2019-01-25 12:04:49,002 - INFO - fastread - 280, 326
2019-01-25 12:04:51,003 - INFO - fastread - 290, 336
2019-01-25 12:04:52,953 - INFO - fastread - 300, 346
2019-01-25 12:04:54,902 - INFO - fastread - 308, 356
2019-01-25 12:04:56,946 - INFO - fastread - 311, 366
2019-01-25 12:04:58,978 - INFO - fastread - 319, 376
2019-01-25 12:05:01,048 - INFO - fastread - 329, 386
2019-01-25 12:05:03,091 - INFO - fastread - 339, 396
2019-01-25 12:05:05,161 - INFO - fastread - 347, 406
2019-01-25 12:05:07,226 - INFO - fastread - 354, 416
2019-01-25 12:05:09,276 - INFO - fastread - 362, 426
2019-01-25 12:05:11,327 - INFO - fastread - 372, 436
2019-01-25 12:05:13,419 - INFO - fastread - 378, 446
2019-01-25 12:05:15,458 - INFO - fastread - 386, 456
2019-01-25 12:05:17,604 - INFO - fastread - 391, 466
2019-01-25 12:05:19,705 - INFO - fastread - 398, 476
2019-01-25 12:05:21,808 - INFO - fastread - 404, 486
2019-01-25 12:05:23,930 - INFO - fastread - 410, 496
2019-01-25 12:05:26,224 - INFO - fastread - 418, 506
2019-01-25 12:05:28,457 - INFO - fastread - 427, 516
2019-01-25 12:05:30,690 - INFO - fastread - 432, 526
2019-01-25 12:05:32,923 - INFO - fastread - 440, 536
2019-01-25 12:05:35,096 - INFO - fastread - 450, 546
2019-01-25 12:05:37,310 - INFO - fastread - 457, 556
2019-01-25 12:05:39,603 - INFO - fastread - 467, 566
2019-01-25 12:05:41,897 - INFO - fastread - 471, 576
2019-01-25 12:05:44,311 - INFO - fastread - 477, 586
2019-01-25 12:05:46,735 - INFO - fastread - 484, 596
2019-01-25 12:05:49,623 - INFO - fastread - 492, 606
2019-01-25 12:05:52,811 - INFO - fastread - 501, 616
2019-01-25 12:05:55,690 - INFO - fastread - 507, 626
2019-01-25 12:05:58,543 - INFO - fastread - 511, 636
2019-01-25 12:06:01,433 - INFO - fastread - 519, 646
2019-01-25 12:06:04,475 - INFO - fastread - 526, 656
2019-01-25 12:06:07,416 - INFO - fastread - 530, 666
2019-01-25 12:06:12,212 - INFO - fastread - 535, 676
2019-01-25 12:06:14,904 - INFO - fastread - 537, 686
2019-01-25 12:06:18,068 - INFO - fastread - 542, 696
2019-01-25 12:06:21,886 - INFO - fastread - 547, 706
2019-01-25 12:06:24,941 - INFO - fastread - 549, 716
2019-01-25 12:06:28,885 - INFO - fastread - 553, 726
2019-01-25 12:06:32,966 - INFO - fastread - 553, 736
2019-01-25 12:06:36,547 - INFO - fastread - 554, 746
2019-01-25 12:06:40,308 - INFO - fastread - 558, 756
2019-01-25 12:06:44,466 - INFO - fastread - 560, 766
2019-01-25 12:06:48,103 - INFO - fastread - 561, 776
2019-01-25 12:06:51,469 - INFO - fastread - 562, 786
2019-01-25 12:06:54,485 - INFO - fastread - 566, 796
