2019-01-25 19:57:43,865 - INFO - rig - jEdit-4.2
2019-01-25 19:57:50,068 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 19:57:50,068 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-25 19:57:50,559 - INFO - fastread - 0, 0
2019-01-25 19:57:52,021 - INFO - fastread - 8, 9
2019-01-25 19:57:55,556 - INFO - fastread - 11, 29
2019-01-25 19:57:59,323 - INFO - fastread - 19, 49
2019-01-25 19:58:02,890 - INFO - fastread - 32, 69
2019-01-25 19:58:06,409 - INFO - fastread - 40, 89
2019-01-25 19:58:09,846 - INFO - fastread - 50, 109
2019-01-25 19:58:13,403 - INFO - fastread - 58, 129
2019-01-25 19:58:17,102 - INFO - fastread - 65, 149
2019-01-25 19:58:21,032 - INFO - fastread - 77, 169
2019-01-25 19:58:24,908 - INFO - fastread - 89, 189
2019-01-25 19:58:28,611 - INFO - fastread - 96, 209
2019-01-25 19:58:32,247 - INFO - fastread - 106, 229
2019-01-25 19:58:35,773 - INFO - fastread - 117, 249
2019-01-25 19:58:39,408 - INFO - fastread - 127, 269
2019-01-25 19:58:43,142 - INFO - fastread - 136, 289
2019-01-25 19:58:47,060 - INFO - fastread - 141, 309
2019-01-25 19:58:51,129 - INFO - fastread - 146, 329
2019-01-25 19:58:55,123 - INFO - fastread - 152, 349
2019-01-25 19:58:59,196 - INFO - fastread - 156, 369
2019-01-25 19:59:03,086 - INFO - fastread - 161, 389
2019-01-25 19:59:07,005 - INFO - fastread - 164, 409
2019-01-25 19:59:10,930 - INFO - fastread - 166, 429
2019-01-25 19:59:14,793 - INFO - fastread - 167, 449
2019-01-25 19:59:18,700 - INFO - fastread - 168, 469
2019-01-25 19:59:22,803 - INFO - fastread - 173, 489
2019-01-25 19:59:26,932 - INFO - fastread - 180, 509
2019-01-25 19:59:31,089 - INFO - fastread - 184, 529
2019-01-25 19:59:35,247 - INFO - fastread - 185, 549
2019-01-25 19:59:39,243 - INFO - fastread - 187, 569
2019-01-25 19:59:43,348 - INFO - fastread - 192, 589
2019-01-25 19:59:47,635 - INFO - fastread - 196, 609
2019-01-25 19:59:52,055 - INFO - fastread - 198, 629
2019-01-25 19:59:56,874 - INFO - fastread - 200, 649
2019-01-25 20:00:01,599 - INFO - fastread - 202, 669
2019-01-25 20:00:06,148 - INFO - fastread - 204, 689
2019-01-25 20:00:10,559 - INFO - fastread - 206, 709
2019-01-25 20:00:15,031 - INFO - fastread - 208, 729
2019-01-25 20:00:19,703 - INFO - fastread - 209, 749
2019-01-25 20:00:24,372 - INFO - fastread - 212, 769
2019-01-25 20:00:29,234 - INFO - fastread - 214, 789
2019-01-25 20:00:34,140 - INFO - fastread - 215, 809
2019-01-25 20:00:38,759 - INFO - fastread - 216, 829
2019-01-25 20:00:43,381 - INFO - fastread - 218, 849
2019-01-25 20:00:48,442 - INFO - fastread - 218, 869
2019-01-25 20:00:53,417 - INFO - fastread - 218, 889
2019-01-25 20:00:58,364 - INFO - fastread - 218, 909
2019-01-25 20:01:03,851 - INFO - fastread - 218, 929
2019-01-25 20:01:08,908 - INFO - fastread - 218, 949
2019-01-25 20:01:13,777 - INFO - fastread - 220, 969
2019-01-25 20:01:18,837 - INFO - fastread - 220, 989
2019-01-25 20:01:24,081 - INFO - fastread - 222, 1009
2019-01-25 20:01:29,326 - INFO - fastread - 223, 1029
2019-01-25 20:01:34,642 - INFO - fastread - 223, 1049
2019-01-25 20:01:39,910 - INFO - fastread - 223, 1069
2019-01-25 20:01:45,032 - INFO - fastread - 223, 1089
2019-01-25 20:01:50,406 - INFO - fastread - 223, 1109
2019-01-25 20:01:55,861 - INFO - fastread - 223, 1129
2019-01-25 20:02:01,046 - INFO - fastread - 224, 1149
2019-01-25 20:02:06,547 - INFO - fastread - 225, 1169
2019-01-25 20:02:11,757 - INFO - fastread - 225, 1189
2019-01-25 20:02:17,638 - INFO - fastread - 225, 1209
2019-01-25 20:02:23,358 - INFO - fastread - 225, 1229
2019-01-25 20:02:31,331 - INFO - fastread - 225, 1249
2019-01-25 20:02:37,922 - INFO - fastread - 226, 1269
2019-01-25 20:02:44,633 - INFO - fastread - 226, 1289
2019-01-25 20:02:50,872 - INFO - fastread - 226, 1309
2019-01-25 20:02:59,327 - INFO - fastread - 226, 1329
2019-01-25 20:03:06,853 - INFO - fastread - 226, 1349
2019-01-25 20:03:12,591 - INFO - fastread - 226, 1369
2019-01-25 20:03:18,166 - INFO - fastread - 226, 1389
2019-01-25 20:03:23,849 - INFO - fastread - 226, 1409
2019-01-25 20:03:29,835 - INFO - fastread - 226, 1429
2019-01-25 20:03:36,556 - INFO - fastread - 226, 1449
2019-01-25 20:03:43,780 - INFO - fastread - 226, 1469
2019-01-25 20:03:50,001 - INFO - fastread - 226, 1489
2019-01-25 20:03:55,389 - INFO - fastread - 226, 1509
2019-01-25 20:04:00,948 - INFO - fastread - 226, 1529
2019-01-25 20:04:06,667 - INFO - fastread - 226, 1549
2019-01-25 20:04:12,329 - INFO - fastread - 226, 1569
2019-01-25 20:04:17,828 - INFO - fastread - 226, 1589
2019-01-25 20:04:23,629 - INFO - fastread - 230, 1609
2019-01-25 20:04:29,316 - INFO - fastread - 230, 1629
2019-01-27 20:58:01,804 - INFO - rig - jEdit-4.2
2019-01-27 21:03:38,332 - INFO - rig - jEdit-4.2
2019-01-27 21:58:28,812 - INFO - rig - jEdit-4.2
2019-01-27 22:03:27,505 - INFO - rig - jEdit-4.2
