2019-01-25 19:57:44,121 - INFO - rig - sql12
2019-01-25 19:57:50,323 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 19:57:50,323 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-25 19:57:50,865 - INFO - fastread - 0, 0
2019-01-25 19:58:00,858 - INFO - fastread - 59, 63
2019-01-25 19:58:04,792 - INFO - fastread - 60, 83
2019-01-25 19:58:08,510 - INFO - fastread - 63, 103
2019-01-25 19:58:12,474 - INFO - fastread - 65, 123
2019-01-25 19:58:16,466 - INFO - fastread - 69, 143
2019-01-25 19:58:20,706 - INFO - fastread - 74, 163
2019-01-25 19:58:24,918 - INFO - fastread - 80, 183
2019-01-25 19:58:28,956 - INFO - fastread - 84, 203
2019-01-25 19:58:33,237 - INFO - fastread - 88, 223
2019-01-25 19:58:37,363 - INFO - fastread - 101, 243
2019-01-25 19:58:41,643 - INFO - fastread - 113, 263
2019-01-25 19:58:45,939 - INFO - fastread - 123, 283
2019-01-25 19:58:50,289 - INFO - fastread - 131, 303
2019-01-25 19:58:54,675 - INFO - fastread - 142, 323
2019-01-25 19:58:59,208 - INFO - fastread - 149, 343
2019-01-25 19:59:03,738 - INFO - fastread - 152, 363
2019-01-25 19:59:08,325 - INFO - fastread - 159, 383
2019-01-25 19:59:12,844 - INFO - fastread - 159, 403
2019-01-25 19:59:17,354 - INFO - fastread - 163, 423
2019-01-25 19:59:21,947 - INFO - fastread - 166, 443
2019-01-25 19:59:26,656 - INFO - fastread - 167, 463
2019-01-25 19:59:31,546 - INFO - fastread - 174, 483
2019-01-25 19:59:36,343 - INFO - fastread - 180, 503
2019-01-25 19:59:41,147 - INFO - fastread - 191, 523
2019-01-25 19:59:46,142 - INFO - fastread - 203, 543
2019-01-25 19:59:50,851 - INFO - fastread - 210, 563
2019-01-25 19:59:56,214 - INFO - fastread - 216, 583
2019-01-25 20:00:01,945 - INFO - fastread - 216, 603
2019-01-25 20:00:07,103 - INFO - fastread - 218, 623
2019-01-25 20:00:12,193 - INFO - fastread - 222, 643
2019-01-25 20:00:17,907 - INFO - fastread - 224, 663
2019-01-25 20:00:23,439 - INFO - fastread - 224, 683
2019-01-25 20:00:28,732 - INFO - fastread - 225, 703
2019-01-25 20:00:34,434 - INFO - fastread - 226, 723
2019-01-25 20:00:39,856 - INFO - fastread - 228, 743
2019-01-25 20:00:45,626 - INFO - fastread - 228, 763
2019-01-25 20:00:51,115 - INFO - fastread - 229, 783
2019-01-25 20:00:56,966 - INFO - fastread - 230, 803
2019-01-25 20:01:03,383 - INFO - fastread - 233, 823
2019-01-25 20:01:09,373 - INFO - fastread - 236, 843
2019-01-25 20:01:15,714 - INFO - fastread - 236, 863
2019-01-25 20:01:21,654 - INFO - fastread - 237, 883
2019-01-25 20:01:27,951 - INFO - fastread - 238, 903
2019-01-25 20:01:34,447 - INFO - fastread - 238, 923
2019-01-25 20:01:40,900 - INFO - fastread - 238, 943
2019-01-25 20:01:47,194 - INFO - fastread - 238, 963
2019-01-25 20:01:53,867 - INFO - fastread - 238, 983
2019-01-25 20:02:00,428 - INFO - fastread - 238, 1003
2019-01-25 20:02:07,370 - INFO - fastread - 239, 1023
2019-01-25 20:02:13,811 - INFO - fastread - 239, 1043
2019-01-25 20:02:20,915 - INFO - fastread - 240, 1063
2019-01-25 20:02:29,902 - INFO - fastread - 240, 1083
2019-01-25 20:02:39,456 - INFO - fastread - 240, 1103
2019-01-25 20:02:47,767 - INFO - fastread - 241, 1123
2019-01-25 20:02:58,325 - INFO - fastread - 241, 1143
2019-01-25 20:03:07,850 - INFO - fastread - 241, 1163
2019-01-25 20:03:15,623 - INFO - fastread - 241, 1183
2019-01-25 20:03:22,856 - INFO - fastread - 241, 1203
2019-01-25 20:03:30,992 - INFO - fastread - 242, 1223
2019-01-25 20:03:40,159 - INFO - fastread - 244, 1243
2019-01-25 20:03:49,063 - INFO - fastread - 244, 1263
2019-01-25 20:03:56,727 - INFO - fastread - 244, 1283
2019-01-25 20:04:03,896 - INFO - fastread - 244, 1303
2019-01-25 20:04:11,913 - INFO - fastread - 244, 1323
2019-01-25 20:04:19,527 - INFO - fastread - 244, 1343
2019-01-25 20:04:27,243 - INFO - fastread - 244, 1363
2019-01-27 21:04:21,243 - INFO - rig - sql12
