2019-01-25 13:35:20,395 - INFO - rig - apache-jmeter-2.10
2019-01-25 13:35:26,429 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 13:35:26,429 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-01-25 13:35:26,732 - INFO - fastread - 0, 0
2019-01-25 13:35:27,704 - INFO - fastread - 0, 10
2019-01-25 13:35:28,790 - INFO - fastread - 0, 20
2019-01-25 13:35:29,792 - INFO - fastread - 1, 30
2019-01-25 13:35:30,797 - INFO - fastread - 1, 40
2019-01-25 13:35:31,765 - INFO - fastread - 1, 50
2019-01-25 13:35:32,764 - INFO - fastread - 2, 60
2019-01-25 13:35:33,824 - INFO - fastread - 3, 69
2019-01-25 13:35:34,853 - INFO - fastread - 4, 79
2019-01-25 13:35:35,890 - INFO - fastread - 4, 89
2019-01-25 13:35:36,911 - INFO - fastread - 4, 99
2019-01-25 13:35:37,920 - INFO - fastread - 4, 108
2019-01-25 13:35:38,885 - INFO - fastread - 4, 118
2019-01-25 13:35:39,843 - INFO - fastread - 5, 128
2019-01-25 13:35:41,109 - INFO - fastread - 10, 138
2019-01-25 13:35:42,655 - INFO - fastread - 18, 148
2019-01-25 13:35:43,957 - INFO - fastread - 23, 158
2019-01-25 13:35:45,244 - INFO - fastread - 30, 168
2019-01-25 13:35:46,324 - INFO - fastread - 40, 178
2019-01-25 13:35:47,402 - INFO - fastread - 50, 188
2019-01-25 13:35:48,509 - INFO - fastread - 59, 198
2019-01-25 13:35:49,558 - INFO - fastread - 67, 208
2019-01-25 13:35:50,625 - INFO - fastread - 68, 218
2019-01-25 13:35:51,685 - INFO - fastread - 74, 228
2019-01-25 13:35:52,759 - INFO - fastread - 84, 238
2019-01-25 13:35:53,894 - INFO - fastread - 86, 248
2019-01-25 13:35:55,064 - INFO - fastread - 92, 258
2019-01-25 13:35:56,197 - INFO - fastread - 94, 268
2019-01-25 13:35:57,321 - INFO - fastread - 104, 278
2019-01-25 13:35:58,486 - INFO - fastread - 104, 288
2019-01-25 13:35:59,641 - INFO - fastread - 106, 298
2019-01-25 13:36:00,815 - INFO - fastread - 112, 308
2019-01-25 13:36:01,970 - INFO - fastread - 120, 318
2019-01-25 13:36:03,181 - INFO - fastread - 129, 328
2019-01-25 13:36:04,401 - INFO - fastread - 137, 338
2019-01-25 13:36:05,617 - INFO - fastread - 147, 348
2019-01-25 13:36:06,842 - INFO - fastread - 157, 358
2019-01-25 13:36:08,101 - INFO - fastread - 165, 368
2019-01-25 13:36:09,431 - INFO - fastread - 172, 378
2019-01-25 13:36:10,774 - INFO - fastread - 182, 388
2019-01-25 13:36:12,101 - INFO - fastread - 184, 398
2019-01-25 13:36:13,435 - INFO - fastread - 187, 408
