2019-01-25 13:42:34,165 - INFO - rig - emf-2.4.1
2019-01-25 13:42:41,905 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 13:42:41,905 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-25 13:42:42,180 - INFO - fastread - 0, 0
2019-01-25 13:42:43,128 - INFO - fastread - 0, 10
2019-01-25 13:42:44,087 - INFO - fastread - 0, 20
2019-01-25 13:42:45,096 - INFO - fastread - 0, 30
2019-01-25 13:42:46,084 - INFO - fastread - 0, 40
2019-01-25 13:42:47,001 - INFO - fastread - 0, 50
2019-01-25 13:42:47,911 - INFO - fastread - 0, 60
2019-01-25 13:42:48,961 - INFO - fastread - 0, 70
2019-01-25 13:42:49,889 - INFO - fastread - 0, 80
2019-01-25 13:42:50,847 - INFO - fastread - 0, 90
2019-01-25 13:42:51,724 - INFO - fastread - 0, 100
2019-01-25 13:42:52,743 - INFO - fastread - 0, 110
2019-01-25 13:42:53,711 - INFO - fastread - 0, 120
2019-01-25 13:42:54,610 - INFO - fastread - 0, 130
2019-01-25 13:42:55,599 - INFO - fastread - 0, 140
2019-01-25 13:42:56,507 - INFO - fastread - 0, 148
2019-01-25 13:42:57,425 - INFO - fastread - 1, 158
2019-01-25 13:42:58,394 - INFO - fastread - 1, 167
2019-01-25 13:42:59,383 - INFO - fastread - 2, 176
2019-01-25 13:43:00,251 - INFO - fastread - 2, 184
2019-01-25 13:43:01,231 - INFO - fastread - 2, 194
2019-01-25 13:43:02,106 - INFO - fastread - 3, 204
2019-01-25 13:43:03,066 - INFO - fastread - 3, 214
2019-01-25 13:43:04,007 - INFO - fastread - 3, 223
2019-01-25 13:43:04,864 - INFO - fastread - 3, 231
2019-01-25 13:43:05,760 - INFO - fastread - 4, 240
2019-01-25 13:43:06,833 - INFO - fastread - 4, 250
2019-01-25 13:43:07,671 - INFO - fastread - 4, 260
2019-01-25 13:43:08,530 - INFO - fastread - 4, 270
2019-01-25 13:43:09,399 - INFO - fastread - 4, 280
2019-01-25 13:43:10,310 - INFO - fastread - 4, 290
2019-01-25 13:43:11,341 - INFO - fastread - 5, 298
2019-01-25 13:43:12,452 - INFO - fastread - 8, 308
2019-01-25 13:43:13,725 - INFO - fastread - 9, 318
2019-01-25 13:43:14,948 - INFO - fastread - 15, 328
2019-01-25 13:43:16,202 - INFO - fastread - 22, 338
2019-01-25 13:43:17,403 - INFO - fastread - 30, 348
