2019-01-25 13:22:02,333 - INFO - rig - jEdit-4.2
2019-01-25 13:22:09,114 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 13:22:09,115 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-25 13:22:09,501 - INFO - fastread - 0, 0
2019-01-25 13:22:11,187 - INFO - fastread - 1, 10
2019-01-25 13:22:12,684 - INFO - fastread - 2, 20
2019-01-25 13:22:14,050 - INFO - fastread - 2, 30
2019-01-25 13:22:15,840 - INFO - fastread - 2, 40
2019-01-25 13:22:17,288 - INFO - fastread - 2, 50
2019-01-25 13:22:19,533 - INFO - fastread - 3, 60
2019-01-25 13:22:21,335 - INFO - fastread - 5, 70
2019-01-25 13:22:23,120 - INFO - fastread - 5, 80
2019-01-25 13:22:24,619 - INFO - fastread - 10, 90
2019-01-25 13:22:26,214 - INFO - fastread - 19, 100
2019-01-25 13:22:28,021 - INFO - fastread - 27, 110
2019-01-25 13:22:29,698 - INFO - fastread - 35, 120
2019-01-25 13:22:30,911 - INFO - fastread - 38, 130
2019-01-25 13:22:32,177 - INFO - fastread - 45, 140
2019-01-25 13:22:33,622 - INFO - fastread - 50, 150
2019-01-25 13:22:35,017 - INFO - fastread - 55, 160
2019-01-25 13:22:36,371 - INFO - fastread - 61, 170
2019-01-25 13:22:37,796 - INFO - fastread - 66, 180
2019-01-25 13:22:39,438 - INFO - fastread - 70, 190
2019-01-25 13:22:40,821 - INFO - fastread - 72, 200
2019-01-25 13:22:42,185 - INFO - fastread - 77, 210
2019-01-25 13:22:43,654 - INFO - fastread - 79, 220
2019-01-25 13:22:45,041 - INFO - fastread - 83, 230
2019-01-25 13:22:46,632 - INFO - fastread - 86, 240
2019-01-25 13:22:48,517 - INFO - fastread - 89, 250
2019-01-25 13:22:50,105 - INFO - fastread - 95, 260
2019-01-25 13:22:51,672 - INFO - fastread - 97, 270
2019-01-25 13:22:53,269 - INFO - fastread - 103, 280
2019-01-25 13:22:54,916 - INFO - fastread - 108, 290
2019-01-25 13:22:56,561 - INFO - fastread - 110, 300
2019-01-25 13:22:58,260 - INFO - fastread - 112, 310
2019-01-25 13:22:59,731 - INFO - fastread - 113, 320
2019-01-25 13:23:01,208 - INFO - fastread - 115, 330
2019-01-25 13:23:02,750 - INFO - fastread - 116, 340
2019-01-25 13:23:04,268 - INFO - fastread - 118, 350
2019-01-25 13:23:05,832 - INFO - fastread - 119, 360
2019-01-25 13:23:07,561 - INFO - fastread - 121, 370
2019-01-25 13:23:08,994 - INFO - fastread - 124, 380
2019-01-25 13:23:10,687 - INFO - fastread - 124, 390
2019-01-25 13:23:12,333 - INFO - fastread - 129, 400
2019-01-25 13:23:14,281 - INFO - fastread - 129, 410
2019-01-25 13:23:16,025 - INFO - fastread - 131, 420
2019-01-25 13:23:17,643 - INFO - fastread - 133, 430
2019-01-25 13:23:19,186 - INFO - fastread - 133, 440
2019-01-25 13:23:21,078 - INFO - fastread - 138, 450
2019-01-25 13:23:22,813 - INFO - fastread - 140, 460
2019-01-25 13:23:24,604 - INFO - fastread - 143, 470
2019-01-25 13:23:26,117 - INFO - fastread - 145, 480
2019-01-25 13:23:27,675 - INFO - fastread - 145, 490
2019-01-25 13:23:29,201 - INFO - fastread - 151, 500
2019-01-25 13:23:30,819 - INFO - fastread - 152, 510
2019-01-25 13:23:32,436 - INFO - fastread - 154, 520
2019-01-25 13:23:33,890 - INFO - fastread - 159, 530
2019-01-25 13:23:35,349 - INFO - fastread - 162, 540
2019-01-25 13:23:36,993 - INFO - fastread - 164, 550
2019-01-25 13:23:38,540 - INFO - fastread - 166, 560
2019-01-25 13:23:40,421 - INFO - fastread - 167, 570
2019-01-25 13:23:42,275 - INFO - fastread - 169, 580
2019-01-25 13:23:43,822 - INFO - fastread - 172, 590
2019-01-25 13:23:45,441 - INFO - fastread - 176, 600
