2019-01-25 13:22:02,104 - INFO - rig - jfreechart-1.0.19
2019-01-25 13:22:08,666 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 13:22:08,666 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-25 13:22:09,075 - INFO - fastread - 0, 0
2019-01-25 13:22:10,469 - INFO - fastread - 1, 10
2019-01-25 13:22:11,971 - INFO - fastread - 1, 20
2019-01-25 13:22:13,453 - INFO - fastread - 1, 30
2019-01-25 13:22:14,979 - INFO - fastread - 1, 40
2019-01-25 13:22:16,489 - INFO - fastread - 1, 50
2019-01-25 13:22:18,160 - INFO - fastread - 1, 60
2019-01-25 13:22:20,221 - INFO - fastread - 4, 70
2019-01-25 13:22:21,949 - INFO - fastread - 5, 79
2019-01-25 13:22:23,590 - INFO - fastread - 6, 89
2019-01-25 13:22:25,104 - INFO - fastread - 8, 99
2019-01-25 13:22:26,697 - INFO - fastread - 16, 109
2019-01-25 13:22:28,318 - INFO - fastread - 17, 119
2019-01-25 13:22:29,911 - INFO - fastread - 19, 129
2019-01-25 13:22:31,225 - INFO - fastread - 23, 139
2019-01-25 13:22:32,606 - INFO - fastread - 30, 149
2019-01-25 13:22:33,925 - INFO - fastread - 40, 159
2019-01-25 13:22:35,219 - INFO - fastread - 50, 169
2019-01-25 13:22:36,462 - INFO - fastread - 60, 179
2019-01-25 13:22:37,794 - INFO - fastread - 70, 189
2019-01-25 13:22:39,301 - INFO - fastread - 80, 199
2019-01-25 13:22:40,622 - INFO - fastread - 89, 209
2019-01-25 13:22:41,904 - INFO - fastread - 96, 219
2019-01-25 13:22:43,264 - INFO - fastread - 100, 229
2019-01-25 13:22:44,473 - INFO - fastread - 106, 239
2019-01-25 13:22:45,876 - INFO - fastread - 111, 249
2019-01-25 13:22:47,476 - INFO - fastread - 115, 259
2019-01-25 13:22:49,002 - INFO - fastread - 120, 269
2019-01-25 13:22:50,456 - INFO - fastread - 125, 279
2019-01-25 13:22:51,895 - INFO - fastread - 134, 289
2019-01-25 13:22:53,370 - INFO - fastread - 141, 299
2019-01-25 13:22:54,926 - INFO - fastread - 149, 309
2019-01-25 13:22:56,499 - INFO - fastread - 152, 319
2019-01-25 13:22:58,154 - INFO - fastread - 154, 329
2019-01-25 13:22:59,471 - INFO - fastread - 156, 339
2019-01-25 13:23:00,774 - INFO - fastread - 158, 349
2019-01-25 13:23:02,164 - INFO - fastread - 159, 359
2019-01-25 13:23:03,602 - INFO - fastread - 159, 369
2019-01-25 13:23:04,957 - INFO - fastread - 161, 379
2019-01-25 13:23:06,545 - INFO - fastread - 161, 389
2019-01-25 13:23:08,078 - INFO - fastread - 161, 399
2019-01-25 13:23:09,439 - INFO - fastread - 161, 409
2019-01-25 13:23:11,057 - INFO - fastread - 161, 419
2019-01-25 13:23:12,649 - INFO - fastread - 162, 429
2019-01-25 13:23:14,428 - INFO - fastread - 164, 439
2019-01-25 13:23:16,036 - INFO - fastread - 168, 449
2019-01-25 13:23:17,489 - INFO - fastread - 168, 459
2019-01-25 13:23:18,924 - INFO - fastread - 173, 469
2019-01-25 13:23:20,586 - INFO - fastread - 178, 479
2019-01-25 13:23:22,198 - INFO - fastread - 178, 489
2019-01-25 13:23:23,810 - INFO - fastread - 178, 499
2019-01-25 13:23:25,238 - INFO - fastread - 178, 509
2019-01-25 13:23:26,540 - INFO - fastread - 178, 519
2019-01-25 13:23:27,922 - INFO - fastread - 178, 529
2019-01-25 13:23:29,250 - INFO - fastread - 178, 539
2019-01-25 13:23:30,674 - INFO - fastread - 180, 549
2019-01-25 13:23:32,112 - INFO - fastread - 180, 559
2019-01-25 13:23:33,545 - INFO - fastread - 180, 569
2019-01-25 13:23:34,820 - INFO - fastread - 180, 579
2019-01-25 13:23:36,190 - INFO - fastread - 180, 589
2019-01-25 13:23:37,449 - INFO - fastread - 180, 599
2019-01-25 13:23:38,856 - INFO - fastread - 182, 609
2019-01-25 13:23:40,490 - INFO - fastread - 182, 619
2019-01-25 13:23:42,083 - INFO - fastread - 183, 629
2019-01-25 13:23:43,449 - INFO - fastread - 183, 639
2019-01-25 13:23:44,763 - INFO - fastread - 183, 649
2019-01-25 13:23:46,046 - INFO - fastread - 184, 659
2019-01-25 13:23:47,397 - INFO - fastread - 185, 669
2019-01-25 13:23:48,912 - INFO - fastread - 185, 679
2019-01-25 13:23:50,281 - INFO - fastread - 185, 689
2019-01-25 13:23:51,823 - INFO - fastread - 185, 699
2019-01-25 13:23:53,237 - INFO - fastread - 185, 709
2019-01-25 13:23:54,590 - INFO - fastread - 186, 719
