2019-01-25 13:22:02,542 - INFO - rig - sql12
2019-01-25 13:22:09,601 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 13:22:09,602 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-25 13:22:10,140 - INFO - fastread - 0, 0
2019-01-25 13:22:11,774 - INFO - fastread - 1, 10
2019-01-25 13:22:13,260 - INFO - fastread - 2, 20
2019-01-25 13:22:14,794 - INFO - fastread - 3, 30
2019-01-25 13:22:16,501 - INFO - fastread - 3, 40
2019-01-25 13:22:18,062 - INFO - fastread - 4, 49
2019-01-25 13:22:20,135 - INFO - fastread - 4, 59
2019-01-25 13:22:21,877 - INFO - fastread - 4, 69
2019-01-25 13:22:23,417 - INFO - fastread - 4, 79
2019-01-25 13:22:24,703 - INFO - fastread - 5, 89
2019-01-25 13:22:26,441 - INFO - fastread - 6, 99
2019-01-25 13:22:28,288 - INFO - fastread - 7, 109
2019-01-25 13:22:29,941 - INFO - fastread - 9, 119
2019-01-25 13:22:31,346 - INFO - fastread - 9, 129
2019-01-25 13:22:32,823 - INFO - fastread - 11, 139
2019-01-25 13:22:34,388 - INFO - fastread - 14, 149
2019-01-25 13:22:35,904 - INFO - fastread - 17, 159
2019-01-25 13:22:37,483 - INFO - fastread - 22, 169
2019-01-25 13:22:39,362 - INFO - fastread - 29, 179
2019-01-25 13:22:40,864 - INFO - fastread - 31, 189
2019-01-25 13:22:42,225 - INFO - fastread - 33, 199
2019-01-25 13:22:43,674 - INFO - fastread - 33, 209
2019-01-25 13:22:45,051 - INFO - fastread - 33, 219
2019-01-25 13:22:46,543 - INFO - fastread - 34, 229
2019-01-25 13:22:48,427 - INFO - fastread - 34, 239
2019-01-25 13:22:49,984 - INFO - fastread - 34, 249
2019-01-25 13:22:51,501 - INFO - fastread - 34, 259
2019-01-25 13:22:53,027 - INFO - fastread - 37, 269
2019-01-25 13:22:54,593 - INFO - fastread - 37, 279
2019-01-25 13:22:56,106 - INFO - fastread - 39, 289
2019-01-25 13:22:57,773 - INFO - fastread - 41, 299
2019-01-25 13:22:59,143 - INFO - fastread - 43, 309
2019-01-25 13:23:00,471 - INFO - fastread - 45, 319
2019-01-25 13:23:01,997 - INFO - fastread - 45, 329
2019-01-25 13:23:03,501 - INFO - fastread - 45, 339
2019-01-25 13:23:04,942 - INFO - fastread - 48, 349
2019-01-25 13:23:06,607 - INFO - fastread - 50, 359
2019-01-25 13:23:08,175 - INFO - fastread - 54, 369
2019-01-25 13:23:09,626 - INFO - fastread - 55, 379
2019-01-25 13:23:11,357 - INFO - fastread - 57, 389
2019-01-25 13:23:13,410 - INFO - fastread - 60, 399
