2019-01-25 12:46:30,396 - INFO - rig - argouml
2019-01-25 12:46:39,352 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:39,353 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-01-25 12:46:39,936 - INFO - fastread - 0, 0
2019-01-25 12:48:46,775 - INFO - fastread - 584, 689
2019-01-25 12:48:54,113 - INFO - fastread - 584, 699
2019-01-25 12:49:01,510 - INFO - fastread - 584, 709
2019-01-25 12:49:09,023 - INFO - fastread - 584, 719
2019-01-25 12:49:16,633 - INFO - fastread - 584, 729
2019-01-25 12:49:24,284 - INFO - fastread - 584, 739
2019-01-25 12:49:32,010 - INFO - fastread - 584, 749
2019-01-25 12:49:39,743 - INFO - fastread - 584, 759
2019-01-25 12:49:47,523 - INFO - fastread - 584, 769
2019-01-25 12:49:56,682 - INFO - fastread - 584, 779
2019-01-25 12:50:05,894 - INFO - fastread - 584, 789
2019-01-25 12:50:13,900 - INFO - fastread - 584, 799
2019-01-25 12:50:21,959 - INFO - fastread - 584, 809
2019-01-25 12:50:29,997 - INFO - fastread - 584, 819
2019-01-25 12:50:38,046 - INFO - fastread - 584, 829
2019-01-25 12:50:46,181 - INFO - fastread - 584, 839
2019-01-25 12:50:54,445 - INFO - fastread - 584, 849
2019-01-25 12:51:02,749 - INFO - fastread - 584, 859
2019-01-25 12:51:11,011 - INFO - fastread - 584, 869
2019-01-25 12:51:19,337 - INFO - fastread - 584, 879
2019-01-25 12:51:27,835 - INFO - fastread - 584, 889
2019-01-25 12:51:36,379 - INFO - fastread - 584, 899
2019-01-25 12:51:45,070 - INFO - fastread - 584, 909
2019-01-25 12:51:53,811 - INFO - fastread - 584, 919
2019-01-25 12:52:02,517 - INFO - fastread - 584, 929
2019-01-25 12:52:11,198 - INFO - fastread - 584, 939
2019-01-25 12:52:19,973 - INFO - fastread - 584, 949
2019-01-25 12:52:28,896 - INFO - fastread - 584, 959
2019-01-25 12:52:37,736 - INFO - fastread - 584, 969
2019-01-25 12:52:46,734 - INFO - fastread - 584, 979
2019-01-25 12:52:55,743 - INFO - fastread - 584, 989
2019-01-25 12:53:04,789 - INFO - fastread - 584, 999
