2019-01-25 12:46:30,674 - INFO - rig - emf-2.4.1
2019-01-25 12:46:39,201 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:39,202 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-25 12:46:39,756 - INFO - fastread - 0, 0
2019-01-25 12:46:44,024 - INFO - fastread - 10, 23
2019-01-25 12:46:46,267 - INFO - fastread - 15, 33
2019-01-25 12:46:48,529 - INFO - fastread - 16, 43
2019-01-25 12:46:50,829 - INFO - fastread - 19, 53
2019-01-25 12:46:53,143 - INFO - fastread - 19, 63
2019-01-25 12:46:55,466 - INFO - fastread - 19, 73
2019-01-25 12:46:57,834 - INFO - fastread - 19, 83
2019-01-25 12:47:00,220 - INFO - fastread - 19, 93
2019-01-25 12:47:02,635 - INFO - fastread - 24, 103
2019-01-25 12:47:05,064 - INFO - fastread - 24, 113
2019-01-25 12:47:07,511 - INFO - fastread - 24, 123
2019-01-25 12:47:09,983 - INFO - fastread - 24, 133
2019-01-25 12:47:12,488 - INFO - fastread - 24, 143
2019-01-25 12:47:15,032 - INFO - fastread - 24, 153
2019-01-25 12:47:17,588 - INFO - fastread - 24, 163
2019-01-25 12:47:20,155 - INFO - fastread - 24, 173
2019-01-25 12:47:22,769 - INFO - fastread - 24, 183
2019-01-25 12:47:25,387 - INFO - fastread - 24, 193
2019-01-25 12:47:28,035 - INFO - fastread - 24, 203
2019-01-25 12:47:30,706 - INFO - fastread - 24, 213
2019-01-25 12:47:33,395 - INFO - fastread - 24, 223
2019-01-25 12:47:36,114 - INFO - fastread - 24, 233
2019-01-25 12:47:38,850 - INFO - fastread - 24, 243
2019-01-25 12:47:41,618 - INFO - fastread - 24, 253
2019-01-25 12:47:44,405 - INFO - fastread - 24, 263
2019-01-25 12:47:47,198 - INFO - fastread - 24, 273
2019-01-25 12:47:50,029 - INFO - fastread - 24, 283
2019-01-25 12:47:52,882 - INFO - fastread - 24, 293
2019-01-25 12:47:55,765 - INFO - fastread - 24, 303
2019-01-25 12:47:58,680 - INFO - fastread - 24, 313
2019-01-25 12:48:01,622 - INFO - fastread - 24, 323
2019-01-25 12:48:04,587 - INFO - fastread - 24, 333
2019-01-25 12:48:07,559 - INFO - fastread - 24, 343
2019-01-25 12:48:10,554 - INFO - fastread - 24, 353
2019-01-25 12:48:13,594 - INFO - fastread - 24, 363
2019-01-25 12:48:16,654 - INFO - fastread - 24, 373
2019-01-25 12:48:19,763 - INFO - fastread - 24, 383
2019-01-25 12:48:22,914 - INFO - fastread - 24, 393
2019-01-25 12:48:26,124 - INFO - fastread - 24, 403
2019-01-25 12:48:29,315 - INFO - fastread - 27, 413
2019-01-25 12:48:32,576 - INFO - fastread - 27, 423
2019-01-25 12:48:35,877 - INFO - fastread - 27, 433
2019-01-25 12:48:39,211 - INFO - fastread - 27, 443
2019-01-25 12:48:42,569 - INFO - fastread - 27, 453
2019-01-25 12:48:45,961 - INFO - fastread - 27, 463
2019-01-25 12:48:49,230 - INFO - fastread - 28, 473
2019-01-25 12:48:52,554 - INFO - fastread - 29, 483
2019-01-25 12:48:55,917 - INFO - fastread - 29, 493
2019-01-25 12:48:59,302 - INFO - fastread - 29, 503
2019-01-25 12:49:02,793 - INFO - fastread - 29, 513
2019-01-25 12:49:06,270 - INFO - fastread - 29, 523
2019-01-25 12:49:09,885 - INFO - fastread - 29, 533
2019-01-25 12:49:13,443 - INFO - fastread - 29, 543
2019-01-25 12:49:17,194 - INFO - fastread - 29, 553
