2019-01-25 12:46:30,514 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-25 12:46:38,903 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:38,904 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-25 12:46:39,845 - INFO - fastread - 0, 0
2019-01-25 12:47:11,236 - INFO - fastread - 152, 159
2019-01-25 12:47:13,794 - INFO - fastread - 152, 169
2019-01-25 12:47:16,358 - INFO - fastread - 152, 179
2019-01-25 12:47:18,931 - INFO - fastread - 152, 189
2019-01-25 12:47:21,525 - INFO - fastread - 152, 199
2019-01-25 12:47:24,134 - INFO - fastread - 152, 209
2019-01-25 12:47:26,738 - INFO - fastread - 152, 219
2019-01-25 12:47:29,360 - INFO - fastread - 154, 229
2019-01-25 12:47:31,994 - INFO - fastread - 154, 239
2019-01-25 12:47:34,625 - INFO - fastread - 154, 249
2019-01-25 12:47:37,273 - INFO - fastread - 154, 259
2019-01-25 12:47:39,925 - INFO - fastread - 154, 269
2019-01-25 12:47:42,579 - INFO - fastread - 154, 279
2019-01-25 12:47:45,244 - INFO - fastread - 155, 289
2019-01-25 12:47:47,927 - INFO - fastread - 155, 299
2019-01-25 12:47:50,625 - INFO - fastread - 155, 309
2019-01-25 12:47:53,331 - INFO - fastread - 155, 319
2019-01-25 12:47:56,010 - INFO - fastread - 155, 329
2019-01-25 12:47:58,721 - INFO - fastread - 157, 339
2019-01-25 12:48:01,468 - INFO - fastread - 157, 349
2019-01-25 12:48:04,171 - INFO - fastread - 157, 359
2019-01-25 12:48:06,844 - INFO - fastread - 157, 369
2019-01-25 12:48:09,542 - INFO - fastread - 157, 379
2019-01-25 12:48:12,216 - INFO - fastread - 157, 389
2019-01-25 12:48:14,867 - INFO - fastread - 159, 399
2019-01-25 12:48:17,555 - INFO - fastread - 159, 409
2019-01-25 12:48:20,270 - INFO - fastread - 160, 419
2019-01-25 12:48:22,998 - INFO - fastread - 160, 429
2019-01-25 12:48:25,760 - INFO - fastread - 160, 439
2019-01-25 12:48:28,551 - INFO - fastread - 160, 449
2019-01-25 12:48:31,316 - INFO - fastread - 160, 459
2019-01-25 12:48:34,054 - INFO - fastread - 160, 469
2019-01-25 12:48:36,775 - INFO - fastread - 160, 479
2019-01-25 12:48:39,524 - INFO - fastread - 160, 489
2019-01-25 12:48:42,325 - INFO - fastread - 160, 499
2019-01-25 12:48:45,145 - INFO - fastread - 160, 509
2019-01-25 12:48:47,962 - INFO - fastread - 160, 519
2019-01-25 12:48:50,742 - INFO - fastread - 161, 529
2019-01-25 12:48:53,514 - INFO - fastread - 162, 539
2019-01-25 12:48:56,317 - INFO - fastread - 162, 549
2019-01-25 12:48:59,178 - INFO - fastread - 162, 559
2019-01-25 12:49:02,098 - INFO - fastread - 163, 569
2019-01-25 12:49:05,048 - INFO - fastread - 163, 579
2019-01-25 12:49:07,969 - INFO - fastread - 164, 589
2019-01-25 12:49:10,882 - INFO - fastread - 164, 599
2019-01-25 12:49:13,832 - INFO - fastread - 164, 609
2019-01-25 12:49:16,853 - INFO - fastread - 164, 619
2019-01-25 12:49:19,936 - INFO - fastread - 164, 629
2019-01-25 12:49:22,976 - INFO - fastread - 164, 639
2019-01-25 12:49:25,966 - INFO - fastread - 165, 649
2019-01-25 12:49:28,929 - INFO - fastread - 168, 659
2019-01-25 12:49:31,967 - INFO - fastread - 168, 669
2019-01-25 12:49:35,059 - INFO - fastread - 168, 679
2019-01-25 12:49:38,145 - INFO - fastread - 168, 689
2019-01-25 12:49:41,155 - INFO - fastread - 168, 699
2019-01-25 12:49:44,141 - INFO - fastread - 168, 709
2019-01-25 12:49:47,193 - INFO - fastread - 168, 719
2019-01-25 12:49:50,189 - INFO - fastread - 170, 729
2019-01-25 12:49:53,170 - INFO - fastread - 170, 739
2019-01-25 12:49:56,255 - INFO - fastread - 170, 749
2019-01-25 12:49:59,278 - INFO - fastread - 170, 759
2019-01-25 12:50:02,299 - INFO - fastread - 170, 769
2019-01-25 12:50:05,412 - INFO - fastread - 171, 779
2019-01-25 12:50:08,461 - INFO - fastread - 171, 789
2019-01-25 12:50:11,576 - INFO - fastread - 171, 799
2019-01-25 12:50:14,726 - INFO - fastread - 171, 809
2019-01-25 12:50:17,834 - INFO - fastread - 173, 819
2019-01-25 12:50:21,006 - INFO - fastread - 173, 829
2019-01-25 12:50:24,208 - INFO - fastread - 175, 839
2019-01-25 12:50:27,402 - INFO - fastread - 176, 849
2019-01-25 12:50:30,682 - INFO - fastread - 176, 859
2019-01-25 12:50:33,947 - INFO - fastread - 176, 869
2019-01-25 12:50:37,213 - INFO - fastread - 176, 879
2019-01-25 12:50:40,497 - INFO - fastread - 177, 889
2019-01-25 12:50:43,888 - INFO - fastread - 178, 899
2019-01-25 12:50:47,226 - INFO - fastread - 178, 909
2019-01-25 12:50:50,596 - INFO - fastread - 178, 919
2019-01-25 12:50:53,966 - INFO - fastread - 178, 929
2019-01-25 12:50:57,362 - INFO - fastread - 178, 939
2019-01-25 12:51:00,751 - INFO - fastread - 178, 949
2019-01-25 12:51:04,152 - INFO - fastread - 180, 959
2019-01-25 12:51:07,556 - INFO - fastread - 182, 969
2019-01-25 12:51:10,991 - INFO - fastread - 185, 979
2019-01-25 12:51:14,457 - INFO - fastread - 185, 989
2019-01-25 12:51:17,936 - INFO - fastread - 185, 999
2019-01-25 12:51:21,416 - INFO - fastread - 186, 1009
2019-01-25 12:51:24,884 - INFO - fastread - 191, 1019
2019-01-25 12:51:28,393 - INFO - fastread - 191, 1029
2019-01-25 12:51:31,895 - INFO - fastread - 193, 1039
2019-01-25 12:51:35,403 - INFO - fastread - 193, 1049
2019-01-25 12:51:38,924 - INFO - fastread - 193, 1059
2019-01-25 12:51:42,482 - INFO - fastread - 193, 1069
2019-01-25 12:51:46,034 - INFO - fastread - 193, 1079
2019-01-25 12:51:49,648 - INFO - fastread - 196, 1089
2019-01-25 12:51:53,289 - INFO - fastread - 196, 1099
2019-01-25 12:51:56,936 - INFO - fastread - 196, 1109
2019-01-25 12:52:00,542 - INFO - fastread - 196, 1119
2019-01-25 12:52:04,231 - INFO - fastread - 196, 1129
2019-01-25 12:52:07,957 - INFO - fastread - 196, 1139
2019-01-25 12:52:11,672 - INFO - fastread - 196, 1149
2019-01-25 12:52:15,461 - INFO - fastread - 197, 1159
2019-01-25 12:52:19,271 - INFO - fastread - 197, 1169
2019-01-25 12:52:23,089 - INFO - fastread - 197, 1179
2019-01-25 12:52:26,920 - INFO - fastread - 197, 1189
2019-01-25 12:52:30,802 - INFO - fastread - 197, 1199
2019-01-25 12:52:34,713 - INFO - fastread - 197, 1209
2019-01-25 12:52:38,648 - INFO - fastread - 198, 1219
2019-01-25 12:52:42,586 - INFO - fastread - 198, 1229
2019-01-25 12:52:46,575 - INFO - fastread - 198, 1239
2019-01-25 12:52:50,645 - INFO - fastread - 198, 1249
2019-01-25 12:52:54,691 - INFO - fastread - 199, 1259
2019-01-25 12:52:58,786 - INFO - fastread - 199, 1269
2019-01-25 12:53:02,950 - INFO - fastread - 202, 1279
2019-01-25 12:53:07,123 - INFO - fastread - 202, 1289
2019-01-25 12:53:11,330 - INFO - fastread - 202, 1299
2019-01-25 12:53:15,528 - INFO - fastread - 202, 1309
2019-01-25 12:53:19,732 - INFO - fastread - 202, 1319
2019-01-25 12:53:23,958 - INFO - fastread - 204, 1329
2019-01-25 12:53:28,222 - INFO - fastread - 204, 1339
2019-01-25 12:53:32,472 - INFO - fastread - 204, 1349
2019-01-25 12:53:36,723 - INFO - fastread - 204, 1359
2019-01-25 12:53:40,992 - INFO - fastread - 207, 1369
2019-01-25 12:53:45,304 - INFO - fastread - 209, 1379
2019-01-25 12:53:49,682 - INFO - fastread - 209, 1389
2019-01-25 12:53:54,037 - INFO - fastread - 209, 1399
2019-01-25 12:53:58,401 - INFO - fastread - 209, 1409
2019-01-25 12:54:02,832 - INFO - fastread - 209, 1419
2019-01-25 12:54:07,214 - INFO - fastread - 209, 1429
2019-01-25 12:54:11,656 - INFO - fastread - 209, 1439
2019-01-25 12:54:16,111 - INFO - fastread - 209, 1449
2019-01-25 12:54:20,660 - INFO - fastread - 209, 1459
2019-01-25 12:54:25,242 - INFO - fastread - 209, 1469
2019-01-25 12:54:29,828 - INFO - fastread - 210, 1479
2019-01-25 12:54:34,531 - INFO - fastread - 210, 1489
2019-01-25 12:54:39,231 - INFO - fastread - 210, 1499
2019-01-25 12:54:43,937 - INFO - fastread - 213, 1509
2019-01-25 12:54:48,669 - INFO - fastread - 213, 1519
2019-01-25 12:54:53,423 - INFO - fastread - 214, 1529
2019-01-25 12:54:58,204 - INFO - fastread - 215, 1539
2019-01-25 12:55:02,965 - INFO - fastread - 215, 1549
2019-01-25 12:55:07,728 - INFO - fastread - 217, 1559
2019-01-25 12:55:12,507 - INFO - fastread - 217, 1569
2019-01-25 12:55:17,312 - INFO - fastread - 217, 1579
2019-01-25 12:55:22,115 - INFO - fastread - 217, 1589
2019-01-25 12:55:26,948 - INFO - fastread - 217, 1599
2019-01-25 12:55:31,749 - INFO - fastread - 218, 1609
2019-01-25 12:55:36,638 - INFO - fastread - 218, 1619
2019-01-25 12:55:41,511 - INFO - fastread - 219, 1629
2019-01-25 12:55:46,432 - INFO - fastread - 221, 1639
2019-01-25 12:55:51,406 - INFO - fastread - 222, 1649
2019-01-25 12:55:56,401 - INFO - fastread - 222, 1659
2019-01-25 12:56:01,398 - INFO - fastread - 223, 1669
2019-01-25 12:56:06,453 - INFO - fastread - 224, 1679
2019-01-25 12:56:11,618 - INFO - fastread - 227, 1689
2019-01-25 12:56:16,819 - INFO - fastread - 227, 1699
2019-01-25 12:56:22,072 - INFO - fastread - 229, 1709
2019-01-25 12:56:27,442 - INFO - fastread - 232, 1719
2019-01-25 12:56:32,887 - INFO - fastread - 232, 1729
2019-01-25 12:56:38,335 - INFO - fastread - 232, 1739
2019-01-25 12:56:43,724 - INFO - fastread - 232, 1749
2019-01-25 12:56:49,166 - INFO - fastread - 233, 1759
2019-01-25 12:56:54,549 - INFO - fastread - 233, 1769
2019-01-25 12:56:59,954 - INFO - fastread - 233, 1779
2019-01-25 12:57:05,432 - INFO - fastread - 233, 1789
2019-01-25 12:57:10,958 - INFO - fastread - 235, 1799
2019-01-25 12:57:16,539 - INFO - fastread - 237, 1809
2019-01-25 12:57:22,213 - INFO - fastread - 237, 1819
2019-01-25 12:57:27,968 - INFO - fastread - 238, 1829
2019-01-25 12:57:33,756 - INFO - fastread - 239, 1839
2019-01-25 12:57:39,621 - INFO - fastread - 239, 1849
2019-01-25 12:57:45,492 - INFO - fastread - 239, 1859
2019-01-25 12:57:51,340 - INFO - fastread - 239, 1869
2019-01-25 12:57:57,189 - INFO - fastread - 239, 1879
2019-01-25 12:58:03,052 - INFO - fastread - 242, 1889
