2019-01-25 12:46:29,757 - INFO - rig - jEdit-4.2
2019-01-25 12:46:38,553 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:38,554 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-25 12:46:39,123 - INFO - fastread - 0, 0
2019-01-25 12:46:41,398 - INFO - fastread - 11, 12
2019-01-25 12:46:43,699 - INFO - fastread - 11, 22
2019-01-25 12:46:46,042 - INFO - fastread - 11, 32
2019-01-25 12:46:48,387 - INFO - fastread - 17, 42
2019-01-25 12:46:50,785 - INFO - fastread - 17, 52
2019-01-25 12:46:53,190 - INFO - fastread - 18, 62
2019-01-25 12:46:55,637 - INFO - fastread - 18, 72
2019-01-25 12:46:58,120 - INFO - fastread - 27, 82
2019-01-25 12:47:00,655 - INFO - fastread - 27, 92
2019-01-25 12:47:03,218 - INFO - fastread - 27, 102
2019-01-25 12:47:05,759 - INFO - fastread - 27, 112
2019-01-25 12:47:08,349 - INFO - fastread - 27, 122
2019-01-25 12:47:10,976 - INFO - fastread - 27, 132
2019-01-25 12:47:13,603 - INFO - fastread - 27, 142
2019-01-25 12:47:16,237 - INFO - fastread - 27, 152
2019-01-25 12:47:18,872 - INFO - fastread - 27, 162
2019-01-25 12:47:21,527 - INFO - fastread - 27, 172
2019-01-25 12:47:24,195 - INFO - fastread - 27, 182
2019-01-25 12:47:26,876 - INFO - fastread - 27, 192
2019-01-25 12:47:29,585 - INFO - fastread - 27, 202
2019-01-25 12:47:32,321 - INFO - fastread - 27, 212
2019-01-25 12:47:35,080 - INFO - fastread - 27, 222
2019-01-25 12:47:37,861 - INFO - fastread - 27, 232
2019-01-25 12:47:40,686 - INFO - fastread - 27, 242
2019-01-25 12:47:43,523 - INFO - fastread - 27, 252
2019-01-25 12:47:46,397 - INFO - fastread - 27, 262
2019-01-25 12:47:49,331 - INFO - fastread - 27, 272
2019-01-25 12:47:52,291 - INFO - fastread - 27, 282
2019-01-25 12:47:55,297 - INFO - fastread - 27, 292
2019-01-25 12:47:58,396 - INFO - fastread - 27, 302
2019-01-25 12:48:01,502 - INFO - fastread - 27, 312
2019-01-25 12:48:04,609 - INFO - fastread - 27, 322
2019-01-25 12:48:07,680 - INFO - fastread - 27, 332
2019-01-25 12:48:10,779 - INFO - fastread - 27, 342
2019-01-25 12:48:13,930 - INFO - fastread - 27, 352
2019-01-25 12:48:17,119 - INFO - fastread - 27, 362
2019-01-25 12:48:20,356 - INFO - fastread - 27, 372
2019-01-25 12:48:23,657 - INFO - fastread - 27, 382
2019-01-25 12:48:26,937 - INFO - fastread - 27, 392
2019-01-25 12:48:30,199 - INFO - fastread - 27, 402
2019-01-25 12:48:33,443 - INFO - fastread - 27, 412
2019-01-25 12:48:36,774 - INFO - fastread - 27, 422
2019-01-25 12:48:40,172 - INFO - fastread - 27, 432
2019-01-25 12:48:43,640 - INFO - fastread - 27, 442
2019-01-25 12:48:47,057 - INFO - fastread - 27, 452
2019-01-25 12:48:50,447 - INFO - fastread - 27, 462
2019-01-25 12:48:53,854 - INFO - fastread - 27, 472
