2019-01-25 12:46:29,755 - INFO - rig - jfreechart-1.0.19
2019-01-25 12:46:38,146 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:38,146 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-25 12:46:38,792 - INFO - fastread - 0, 0
2019-01-25 12:46:42,925 - INFO - fastread - 19, 21
2019-01-25 12:46:45,261 - INFO - fastread - 28, 31
2019-01-25 12:46:47,641 - INFO - fastread - 28, 41
2019-01-25 12:46:50,052 - INFO - fastread - 28, 51
2019-01-25 12:46:52,488 - INFO - fastread - 28, 61
2019-01-25 12:46:54,957 - INFO - fastread - 28, 71
2019-01-25 12:46:57,428 - INFO - fastread - 28, 81
2019-01-25 12:46:59,934 - INFO - fastread - 28, 91
2019-01-25 12:47:02,472 - INFO - fastread - 28, 101
2019-01-25 12:47:05,034 - INFO - fastread - 30, 111
2019-01-25 12:47:07,246 - INFO - fastread - 30, 121
2019-01-25 12:47:09,439 - INFO - fastread - 30, 131
2019-01-25 12:47:11,630 - INFO - fastread - 30, 141
2019-01-25 12:47:13,829 - INFO - fastread - 30, 151
2019-01-25 12:47:16,032 - INFO - fastread - 30, 161
2019-01-25 12:47:18,236 - INFO - fastread - 31, 171
2019-01-25 12:47:20,415 - INFO - fastread - 31, 181
2019-01-25 12:47:22,634 - INFO - fastread - 31, 191
2019-01-25 12:47:24,830 - INFO - fastread - 31, 201
2019-01-25 12:47:26,994 - INFO - fastread - 32, 211
2019-01-25 12:47:29,189 - INFO - fastread - 32, 221
2019-01-25 12:47:31,421 - INFO - fastread - 32, 231
2019-01-25 12:47:33,595 - INFO - fastread - 34, 241
2019-01-25 12:47:35,765 - INFO - fastread - 34, 251
2019-01-25 12:47:37,980 - INFO - fastread - 34, 261
2019-01-25 12:47:40,231 - INFO - fastread - 34, 271
2019-01-25 12:47:42,454 - INFO - fastread - 34, 281
2019-01-25 12:47:44,690 - INFO - fastread - 34, 291
2019-01-25 12:47:46,958 - INFO - fastread - 34, 301
2019-01-25 12:47:49,241 - INFO - fastread - 34, 311
2019-01-25 12:47:51,457 - INFO - fastread - 34, 321
2019-01-25 12:47:53,674 - INFO - fastread - 34, 331
2019-01-25 12:47:55,945 - INFO - fastread - 34, 341
2019-01-25 12:47:58,252 - INFO - fastread - 35, 351
2019-01-25 12:48:00,517 - INFO - fastread - 35, 361
2019-01-25 12:48:02,771 - INFO - fastread - 36, 371
2019-01-25 12:48:05,085 - INFO - fastread - 36, 381
2019-01-25 12:48:07,477 - INFO - fastread - 36, 391
2019-01-25 12:48:09,800 - INFO - fastread - 36, 401
2019-01-25 12:48:12,091 - INFO - fastread - 36, 411
2019-01-25 12:48:14,389 - INFO - fastread - 36, 421
2019-01-25 12:48:16,756 - INFO - fastread - 36, 431
2019-01-25 12:48:19,123 - INFO - fastread - 36, 441
2019-01-25 12:48:21,453 - INFO - fastread - 38, 451
2019-01-25 12:48:23,775 - INFO - fastread - 42, 461
2019-01-25 12:48:26,155 - INFO - fastread - 42, 471
2019-01-25 12:48:28,600 - INFO - fastread - 42, 481
2019-01-25 12:48:31,050 - INFO - fastread - 43, 491
2019-01-25 12:48:33,496 - INFO - fastread - 43, 501
2019-01-25 12:48:36,672 - INFO - fastread - 45, 511
2019-01-25 12:48:40,309 - INFO - fastread - 46, 521
2019-01-25 12:48:43,936 - INFO - fastread - 46, 531
2019-01-25 12:48:46,660 - INFO - fastread - 46, 541
2019-01-25 12:48:49,177 - INFO - fastread - 46, 551
2019-01-25 12:48:51,631 - INFO - fastread - 46, 561
2019-01-25 12:48:54,060 - INFO - fastread - 46, 571
2019-01-25 12:48:56,508 - INFO - fastread - 46, 581
2019-01-25 12:48:59,008 - INFO - fastread - 46, 591
2019-01-25 12:49:01,525 - INFO - fastread - 46, 601
2019-01-25 12:49:04,022 - INFO - fastread - 46, 611
2019-01-25 12:49:06,497 - INFO - fastread - 46, 621
2019-01-25 12:49:08,978 - INFO - fastread - 46, 631
2019-01-25 12:49:11,549 - INFO - fastread - 47, 641
2019-01-25 12:49:14,176 - INFO - fastread - 47, 651
2019-01-25 12:49:16,806 - INFO - fastread - 47, 661
2019-01-25 12:49:19,385 - INFO - fastread - 47, 671
2019-01-25 12:49:21,926 - INFO - fastread - 47, 681
2019-01-25 12:49:24,470 - INFO - fastread - 47, 691
2019-01-25 12:49:27,039 - INFO - fastread - 47, 701
2019-01-25 12:49:29,644 - INFO - fastread - 47, 711
2019-01-25 12:49:32,279 - INFO - fastread - 47, 721
2019-01-25 12:49:34,888 - INFO - fastread - 47, 731
2019-01-25 12:49:37,471 - INFO - fastread - 47, 741
2019-01-25 12:49:40,059 - INFO - fastread - 47, 751
2019-01-25 12:49:42,723 - INFO - fastread - 47, 761
2019-01-25 12:49:45,440 - INFO - fastread - 47, 771
2019-01-25 12:49:48,219 - INFO - fastread - 47, 781
2019-01-25 12:49:51,003 - INFO - fastread - 47, 791
2019-01-25 12:49:53,803 - INFO - fastread - 47, 801
2019-01-25 12:49:56,565 - INFO - fastread - 47, 811
2019-01-25 12:49:59,326 - INFO - fastread - 47, 821
2019-01-25 12:50:02,122 - INFO - fastread - 47, 831
2019-01-25 12:50:04,957 - INFO - fastread - 48, 841
2019-01-25 12:50:07,831 - INFO - fastread - 48, 851
2019-01-25 12:50:10,746 - INFO - fastread - 49, 861
2019-01-25 12:50:13,637 - INFO - fastread - 49, 871
2019-01-25 12:50:16,489 - INFO - fastread - 49, 881
2019-01-25 12:50:19,322 - INFO - fastread - 49, 891
2019-01-25 12:50:22,165 - INFO - fastread - 51, 901
2019-01-25 12:50:25,096 - INFO - fastread - 51, 911
2019-01-25 12:50:28,097 - INFO - fastread - 53, 921
2019-01-25 12:50:31,157 - INFO - fastread - 54, 931
2019-01-25 12:50:34,264 - INFO - fastread - 54, 941
2019-01-25 12:50:37,385 - INFO - fastread - 54, 951
2019-01-25 12:50:40,490 - INFO - fastread - 54, 961
2019-01-25 12:50:44,651 - INFO - fastread - 54, 971
2019-01-25 12:50:48,900 - INFO - fastread - 54, 981
2019-01-25 12:50:53,094 - INFO - fastread - 54, 991
2019-01-25 12:50:57,301 - INFO - fastread - 54, 1001
2019-01-25 12:51:01,550 - INFO - fastread - 54, 1011
2019-01-25 12:51:05,803 - INFO - fastread - 54, 1021
2019-01-25 12:51:10,061 - INFO - fastread - 54, 1031
2019-01-25 12:51:14,324 - INFO - fastread - 54, 1041
2019-01-25 12:51:18,632 - INFO - fastread - 54, 1051
2019-01-25 12:51:22,961 - INFO - fastread - 56, 1061
2019-01-25 12:51:27,293 - INFO - fastread - 56, 1071
2019-01-25 12:51:31,526 - INFO - fastread - 56, 1081
2019-01-25 12:51:34,980 - INFO - fastread - 57, 1091
2019-01-25 12:51:38,212 - INFO - fastread - 57, 1101
2019-01-25 12:51:41,481 - INFO - fastread - 57, 1111
2019-01-25 12:51:44,824 - INFO - fastread - 57, 1121
2019-01-25 12:51:48,171 - INFO - fastread - 58, 1131
2019-01-25 12:51:51,519 - INFO - fastread - 58, 1141
2019-01-25 12:51:54,941 - INFO - fastread - 58, 1151
2019-01-25 12:51:58,432 - INFO - fastread - 59, 1161
2019-01-25 12:52:01,964 - INFO - fastread - 59, 1171
2019-01-25 12:52:05,465 - INFO - fastread - 59, 1181
2019-01-25 12:52:08,973 - INFO - fastread - 60, 1191
2019-01-25 12:52:12,566 - INFO - fastread - 60, 1201
2019-01-25 12:52:16,238 - INFO - fastread - 60, 1211
2019-01-25 12:52:19,947 - INFO - fastread - 60, 1221
2019-01-25 12:52:23,649 - INFO - fastread - 60, 1231
2019-01-25 12:52:27,337 - INFO - fastread - 60, 1241
2019-01-25 12:52:31,077 - INFO - fastread - 60, 1251
2019-01-25 12:52:34,887 - INFO - fastread - 61, 1261
2019-01-25 12:52:38,701 - INFO - fastread - 61, 1271
2019-01-25 12:52:42,526 - INFO - fastread - 61, 1281
2019-01-25 12:52:46,357 - INFO - fastread - 61, 1291
2019-01-25 12:52:50,198 - INFO - fastread - 62, 1301
2019-01-25 12:52:54,096 - INFO - fastread - 62, 1311
2019-01-25 12:52:58,016 - INFO - fastread - 62, 1321
2019-01-25 12:53:01,959 - INFO - fastread - 62, 1331
2019-01-25 12:53:07,056 - INFO - fastread - 62, 1341
2019-01-25 12:53:11,107 - INFO - fastread - 62, 1351
2019-01-25 12:53:15,123 - INFO - fastread - 62, 1361
2019-01-25 12:53:19,179 - INFO - fastread - 62, 1371
2019-01-25 12:53:23,310 - INFO - fastread - 62, 1381
2019-01-25 12:53:27,482 - INFO - fastread - 62, 1391
2019-01-25 12:53:31,666 - INFO - fastread - 62, 1401
2019-01-25 12:53:35,902 - INFO - fastread - 62, 1411
2019-01-25 12:53:40,136 - INFO - fastread - 62, 1421
2019-01-25 12:53:44,391 - INFO - fastread - 62, 1431
2019-01-25 12:53:48,684 - INFO - fastread - 62, 1441
2019-01-25 12:53:52,963 - INFO - fastread - 62, 1451
2019-01-25 12:53:57,259 - INFO - fastread - 62, 1461
2019-01-25 12:54:01,548 - INFO - fastread - 62, 1471
