2019-01-25 12:46:29,783 - INFO - rig - sql12
2019-01-25 12:46:38,571 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-25 12:46:38,572 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-25 12:46:39,179 - INFO - fastread - 0, 0
2019-01-25 12:46:49,907 - INFO - fastread - 49, 54
2019-01-25 12:46:52,436 - INFO - fastread - 49, 64
2019-01-25 12:46:54,949 - INFO - fastread - 49, 74
2019-01-25 12:46:57,457 - INFO - fastread - 49, 84
2019-01-25 12:46:59,947 - INFO - fastread - 49, 94
2019-01-25 12:47:02,429 - INFO - fastread - 49, 104
2019-01-25 12:47:04,902 - INFO - fastread - 49, 114
2019-01-25 12:47:07,376 - INFO - fastread - 50, 124
2019-01-25 12:47:09,867 - INFO - fastread - 52, 134
2019-01-25 12:47:12,369 - INFO - fastread - 52, 144
2019-01-25 12:47:14,880 - INFO - fastread - 52, 154
2019-01-25 12:47:17,393 - INFO - fastread - 52, 164
2019-01-25 12:47:19,908 - INFO - fastread - 52, 174
2019-01-25 12:47:22,376 - INFO - fastread - 52, 184
2019-01-25 12:47:24,836 - INFO - fastread - 52, 194
2019-01-25 12:47:27,278 - INFO - fastread - 52, 204
2019-01-25 12:47:29,719 - INFO - fastread - 52, 214
2019-01-25 12:47:32,192 - INFO - fastread - 52, 224
2019-01-25 12:47:34,709 - INFO - fastread - 52, 234
2019-01-25 12:47:37,227 - INFO - fastread - 52, 244
2019-01-25 12:47:39,704 - INFO - fastread - 52, 254
2019-01-25 12:47:42,167 - INFO - fastread - 52, 264
2019-01-25 12:47:44,652 - INFO - fastread - 52, 274
2019-01-25 12:47:47,150 - INFO - fastread - 52, 284
2019-01-25 12:47:49,682 - INFO - fastread - 52, 294
2019-01-25 12:47:52,229 - INFO - fastread - 52, 304
2019-01-25 12:47:54,745 - INFO - fastread - 52, 314
2019-01-25 12:47:57,234 - INFO - fastread - 52, 324
2019-01-25 12:47:59,730 - INFO - fastread - 52, 334
2019-01-25 12:48:02,248 - INFO - fastread - 52, 344
2019-01-25 12:48:04,807 - INFO - fastread - 52, 354
2019-01-25 12:48:07,427 - INFO - fastread - 52, 364
2019-01-25 12:48:09,999 - INFO - fastread - 52, 374
2019-01-25 12:48:12,535 - INFO - fastread - 52, 384
2019-01-25 12:48:15,065 - INFO - fastread - 52, 394
2019-01-25 12:48:17,598 - INFO - fastread - 52, 404
2019-01-25 12:48:20,165 - INFO - fastread - 52, 414
2019-01-25 12:48:22,767 - INFO - fastread - 54, 424
2019-01-25 12:48:25,422 - INFO - fastread - 55, 434
2019-01-25 12:48:28,057 - INFO - fastread - 55, 444
2019-01-25 12:48:30,684 - INFO - fastread - 55, 454
2019-01-25 12:48:33,315 - INFO - fastread - 55, 464
2019-01-25 12:48:35,931 - INFO - fastread - 56, 474
2019-01-25 12:48:38,519 - INFO - fastread - 56, 484
2019-01-25 12:48:41,126 - INFO - fastread - 56, 494
2019-01-25 12:48:43,794 - INFO - fastread - 56, 504
2019-01-25 12:48:46,551 - INFO - fastread - 56, 514
2019-01-25 12:48:49,332 - INFO - fastread - 56, 524
2019-01-25 12:48:52,073 - INFO - fastread - 56, 534
2019-01-25 12:48:54,781 - INFO - fastread - 56, 544
2019-01-25 12:48:57,478 - INFO - fastread - 56, 554
2019-01-25 12:49:00,175 - INFO - fastread - 56, 564
2019-01-25 12:49:02,864 - INFO - fastread - 56, 574
2019-01-25 12:49:05,593 - INFO - fastread - 56, 584
2019-01-25 12:49:08,356 - INFO - fastread - 57, 594
2019-01-25 12:49:11,170 - INFO - fastread - 57, 604
2019-01-25 12:49:14,013 - INFO - fastread - 57, 614
2019-01-25 12:49:16,862 - INFO - fastread - 57, 624
2019-01-25 12:49:19,678 - INFO - fastread - 57, 634
2019-01-25 12:49:22,484 - INFO - fastread - 57, 644
2019-01-25 12:49:25,274 - INFO - fastread - 57, 654
2019-01-25 12:49:28,043 - INFO - fastread - 57, 664
2019-01-25 12:49:30,806 - INFO - fastread - 57, 674
2019-01-25 12:49:33,594 - INFO - fastread - 57, 684
2019-01-25 12:49:36,425 - INFO - fastread - 57, 694
2019-01-25 12:49:39,286 - INFO - fastread - 57, 704
2019-01-25 12:49:42,193 - INFO - fastread - 57, 714
2019-01-25 12:49:45,140 - INFO - fastread - 57, 724
2019-01-25 12:49:48,086 - INFO - fastread - 57, 734
2019-01-25 12:49:51,054 - INFO - fastread - 57, 744
2019-01-25 12:49:54,044 - INFO - fastread - 57, 754
2019-01-25 12:49:57,017 - INFO - fastread - 58, 764
2019-01-25 12:49:59,985 - INFO - fastread - 58, 774
2019-01-25 12:50:02,934 - INFO - fastread - 58, 784
2019-01-25 12:50:05,885 - INFO - fastread - 58, 794
2019-01-25 12:50:08,831 - INFO - fastread - 59, 804
2019-01-25 12:50:11,825 - INFO - fastread - 59, 814
2019-01-25 12:50:14,849 - INFO - fastread - 59, 824
2019-01-25 12:50:17,936 - INFO - fastread - 59, 834
2019-01-25 12:50:21,045 - INFO - fastread - 59, 844
2019-01-25 12:50:24,199 - INFO - fastread - 59, 854
2019-01-25 12:50:27,373 - INFO - fastread - 59, 864
2019-01-25 12:50:30,549 - INFO - fastread - 59, 874
2019-01-25 12:50:33,729 - INFO - fastread - 59, 884
2019-01-25 12:50:36,893 - INFO - fastread - 60, 894
2019-01-25 12:50:40,073 - INFO - fastread - 60, 904
2019-01-25 12:50:43,237 - INFO - fastread - 60, 914
2019-01-25 12:50:46,342 - INFO - fastread - 60, 924
2019-01-25 12:50:49,491 - INFO - fastread - 60, 934
2019-01-25 12:50:52,688 - INFO - fastread - 60, 944
2019-01-25 12:50:55,892 - INFO - fastread - 60, 954
2019-01-25 12:50:59,064 - INFO - fastread - 62, 964
2019-01-25 12:51:02,309 - INFO - fastread - 62, 974
2019-01-25 12:51:05,626 - INFO - fastread - 62, 984
2019-01-25 12:51:08,974 - INFO - fastread - 62, 994
2019-01-25 12:51:12,314 - INFO - fastread - 63, 1004
2019-01-25 12:51:15,664 - INFO - fastread - 63, 1014
2019-01-25 12:51:19,092 - INFO - fastread - 63, 1024
2019-01-25 12:51:22,571 - INFO - fastread - 63, 1034
2019-01-25 12:51:26,038 - INFO - fastread - 63, 1044
2019-01-25 12:51:29,497 - INFO - fastread - 63, 1054
2019-01-25 12:51:32,942 - INFO - fastread - 63, 1064
2019-01-25 12:51:36,438 - INFO - fastread - 63, 1074
2019-01-25 12:51:40,548 - INFO - fastread - 63, 1084
2019-01-25 12:51:45,249 - INFO - fastread - 63, 1094
2019-01-25 12:51:49,862 - INFO - fastread - 63, 1104
2019-01-25 12:51:54,516 - INFO - fastread - 63, 1114
2019-01-25 12:51:58,193 - INFO - fastread - 63, 1124
2019-01-25 12:52:02,795 - INFO - fastread - 63, 1134
2019-01-25 12:52:07,378 - INFO - fastread - 63, 1144
2019-01-25 12:52:11,278 - INFO - fastread - 63, 1154
