2019-01-27 23:19:57,013 - INFO - rig - argouml
2019-01-27 23:20:04,901 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:20:04,901 - INFO - fastread - Total Yes: 1413 | Total No: 8039
2019-01-27 23:20:05,254 - INFO - fastread - 0, 0
2019-01-27 23:21:20,403 - INFO - fastread - 590, 704
2019-01-27 23:21:25,575 - INFO - fastread - 600, 724
2019-01-27 23:21:30,880 - INFO - fastread - 618, 744
2019-01-27 23:21:36,331 - INFO - fastread - 632, 764
2019-01-27 23:21:42,456 - INFO - fastread - 649, 784
2019-01-27 23:21:48,986 - INFO - fastread - 658, 804
2019-01-27 23:21:55,503 - INFO - fastread - 667, 824
2019-01-27 23:22:01,644 - INFO - fastread - 680, 844
2019-01-27 23:22:07,754 - INFO - fastread - 696, 864
2019-01-27 23:22:14,419 - INFO - fastread - 713, 884
2019-01-27 23:22:21,331 - INFO - fastread - 714, 904
2019-01-27 23:22:28,203 - INFO - fastread - 732, 924
2019-01-27 23:22:34,622 - INFO - fastread - 747, 944
2019-01-27 23:22:41,509 - INFO - fastread - 767, 964
2019-01-27 23:22:48,874 - INFO - fastread - 785, 984
2019-01-27 23:22:56,586 - INFO - fastread - 803, 1004
2019-01-27 23:23:03,341 - INFO - fastread - 822, 1024
2019-01-27 23:23:10,845 - INFO - fastread - 839, 1044
2019-01-27 23:23:18,381 - INFO - fastread - 854, 1064
2019-01-27 23:23:26,262 - INFO - fastread - 870, 1084
2019-01-27 23:23:33,920 - INFO - fastread - 888, 1104
2019-01-27 23:23:41,005 - INFO - fastread - 906, 1124
2019-01-27 23:23:47,986 - INFO - fastread - 922, 1144
2019-01-27 23:23:55,283 - INFO - fastread - 936, 1164
2019-01-27 23:24:03,005 - INFO - fastread - 946, 1184
2019-01-27 23:24:10,458 - INFO - fastread - 960, 1204
2019-01-27 23:24:17,944 - INFO - fastread - 975, 1224
2019-01-27 23:24:25,766 - INFO - fastread - 989, 1244
2019-01-27 23:24:33,628 - INFO - fastread - 1007, 1264
2019-01-27 23:24:41,109 - INFO - fastread - 1021, 1284
2019-01-27 23:24:48,780 - INFO - fastread - 1033, 1304
2019-01-27 23:24:56,620 - INFO - fastread - 1049, 1324
2019-01-27 23:25:05,190 - INFO - fastread - 1056, 1344
2019-01-27 23:25:14,191 - INFO - fastread - 1070, 1364
2019-01-27 23:25:23,381 - INFO - fastread - 1083, 1384
2019-01-27 23:25:33,534 - INFO - fastread - 1089, 1404
2019-01-27 23:25:43,858 - INFO - fastread - 1105, 1424
2019-01-27 23:25:54,721 - INFO - fastread - 1114, 1444
2019-01-27 23:26:05,030 - INFO - fastread - 1126, 1464
2019-01-27 23:26:15,521 - INFO - fastread - 1140, 1484
2019-01-27 23:26:26,424 - INFO - fastread - 1150, 1504
2019-01-27 23:26:37,415 - INFO - fastread - 1161, 1524
