2019-01-27 23:23:53,904 - INFO - rig - emf-2.4.1
2019-01-27 23:24:00,130 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:24:00,130 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-27 23:24:00,452 - INFO - fastread - 0, 0
2019-01-27 23:24:03,257 - INFO - fastread - 12, 25
2019-01-27 23:24:05,333 - INFO - fastread - 14, 45
2019-01-27 23:24:07,453 - INFO - fastread - 21, 65
2019-01-27 23:24:09,722 - INFO - fastread - 24, 85
2019-01-27 23:24:11,921 - INFO - fastread - 25, 105
2019-01-27 23:24:14,181 - INFO - fastread - 26, 125
2019-01-27 23:24:16,295 - INFO - fastread - 31, 145
2019-01-27 23:24:18,590 - INFO - fastread - 31, 165
2019-01-27 23:24:20,524 - INFO - fastread - 36, 185
2019-01-27 23:24:22,995 - INFO - fastread - 40, 205
2019-01-27 23:24:25,414 - INFO - fastread - 42, 225
2019-01-27 23:24:27,670 - INFO - fastread - 43, 245
2019-01-27 23:24:30,260 - INFO - fastread - 46, 265
2019-01-27 23:24:32,587 - INFO - fastread - 48, 285
2019-01-27 23:24:34,970 - INFO - fastread - 48, 305
2019-01-27 23:24:37,296 - INFO - fastread - 48, 325
2019-01-27 23:24:39,565 - INFO - fastread - 48, 345
2019-01-27 23:24:41,955 - INFO - fastread - 55, 365
2019-01-27 23:24:43,990 - INFO - fastread - 57, 385
2019-01-27 23:24:46,008 - INFO - fastread - 58, 405
2019-01-27 23:24:48,145 - INFO - fastread - 61, 425
2019-01-27 23:24:50,323 - INFO - fastread - 64, 445
2019-01-27 23:24:52,257 - INFO - fastread - 65, 465
2019-01-27 23:24:54,515 - INFO - fastread - 66, 485
2019-01-27 23:24:56,753 - INFO - fastread - 67, 505
2019-01-27 23:24:59,021 - INFO - fastread - 67, 525
2019-01-27 23:25:01,379 - INFO - fastread - 67, 545
2019-01-27 23:25:03,526 - INFO - fastread - 68, 565
2019-01-27 23:25:06,077 - INFO - fastread - 68, 585
2019-01-27 23:25:08,253 - INFO - fastread - 68, 605
2019-01-27 23:25:10,633 - INFO - fastread - 69, 625
2019-01-27 23:25:12,920 - INFO - fastread - 72, 645
2019-01-27 23:25:15,218 - INFO - fastread - 73, 665
2019-01-27 23:25:17,596 - INFO - fastread - 73, 685
2019-01-27 23:25:19,924 - INFO - fastread - 73, 705
2019-01-27 23:25:22,423 - INFO - fastread - 73, 725
2019-01-27 23:25:25,035 - INFO - fastread - 73, 745
2019-01-27 23:25:27,354 - INFO - fastread - 73, 765
2019-01-27 23:25:29,836 - INFO - fastread - 73, 785
2019-01-27 23:25:32,443 - INFO - fastread - 73, 805
2019-01-27 23:25:34,863 - INFO - fastread - 74, 825
2019-01-27 23:25:37,495 - INFO - fastread - 74, 845
2019-01-27 23:25:39,874 - INFO - fastread - 75, 865
2019-01-27 23:25:42,738 - INFO - fastread - 76, 885
2019-01-27 23:25:45,157 - INFO - fastread - 76, 905
2019-01-27 23:25:47,973 - INFO - fastread - 77, 925
2019-01-27 23:25:50,702 - INFO - fastread - 77, 945
2019-01-27 23:25:53,781 - INFO - fastread - 77, 965
2019-01-27 23:25:56,648 - INFO - fastread - 78, 985
2019-01-27 23:25:59,351 - INFO - fastread - 79, 1005
2019-01-27 23:26:02,196 - INFO - fastread - 79, 1025
2019-01-27 23:26:05,081 - INFO - fastread - 79, 1045
2019-01-27 23:26:07,834 - INFO - fastread - 80, 1065
2019-01-27 23:26:10,586 - INFO - fastread - 80, 1085
2019-01-27 23:26:13,180 - INFO - fastread - 80, 1105
2019-01-27 23:26:15,995 - INFO - fastread - 80, 1125
2019-01-27 23:26:18,849 - INFO - fastread - 80, 1145
2019-01-27 23:26:21,754 - INFO - fastread - 81, 1165
2019-01-27 23:26:24,648 - INFO - fastread - 81, 1185
2019-01-27 23:26:27,382 - INFO - fastread - 82, 1205
2019-01-27 23:26:30,306 - INFO - fastread - 82, 1225
2019-01-27 23:26:33,149 - INFO - fastread - 83, 1245
2019-01-27 23:26:36,175 - INFO - fastread - 84, 1265
2019-01-27 23:26:39,150 - INFO - fastread - 88, 1285
2019-01-27 23:26:42,030 - INFO - fastread - 88, 1305
