2019-01-27 23:22:45,233 - INFO - rig - hibernate-distribution-3.3.2.GA
2019-01-27 23:22:52,759 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:22:52,759 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-27 23:22:53,072 - INFO - fastread - 0, 0
2019-01-27 23:23:08,318 - INFO - fastread - 140, 145
2019-01-27 23:23:10,867 - INFO - fastread - 151, 165
2019-01-27 23:23:13,377 - INFO - fastread - 157, 185
2019-01-27 23:23:15,788 - INFO - fastread - 160, 205
2019-01-27 23:23:18,595 - INFO - fastread - 173, 225
2019-01-27 23:23:21,182 - INFO - fastread - 186, 245
2019-01-27 23:23:23,687 - INFO - fastread - 203, 265
2019-01-27 23:23:26,763 - INFO - fastread - 219, 285
2019-01-27 23:23:29,461 - INFO - fastread - 231, 305
2019-01-27 23:23:32,153 - INFO - fastread - 247, 325
2019-01-27 23:23:34,807 - INFO - fastread - 267, 345
2019-01-27 23:23:37,141 - INFO - fastread - 286, 365
2019-01-27 23:23:40,146 - INFO - fastread - 304, 385
2019-01-27 23:23:43,124 - INFO - fastread - 318, 405
2019-01-27 23:23:45,935 - INFO - fastread - 335, 425
2019-01-27 23:23:48,713 - INFO - fastread - 348, 445
2019-01-27 23:23:51,380 - INFO - fastread - 360, 465
2019-01-27 23:23:54,199 - INFO - fastread - 367, 485
2019-01-27 23:23:56,843 - INFO - fastread - 376, 505
2019-01-27 23:23:59,504 - INFO - fastread - 383, 525
2019-01-27 23:24:02,834 - INFO - fastread - 386, 545
2019-01-27 23:24:05,605 - INFO - fastread - 393, 565
2019-01-27 23:24:08,438 - INFO - fastread - 399, 585
2019-01-27 23:24:11,478 - INFO - fastread - 400, 605
2019-01-27 23:24:14,675 - INFO - fastread - 406, 625
2019-01-27 23:24:17,985 - INFO - fastread - 410, 645
2019-01-27 23:24:20,897 - INFO - fastread - 410, 665
2019-01-27 23:24:24,295 - INFO - fastread - 410, 685
2019-01-27 23:24:27,507 - INFO - fastread - 411, 705
2019-01-27 23:24:31,138 - INFO - fastread - 413, 725
2019-01-27 23:24:34,567 - INFO - fastread - 418, 745
2019-01-27 23:24:37,893 - INFO - fastread - 418, 765
2019-01-27 23:24:41,361 - INFO - fastread - 418, 785
2019-01-27 23:24:44,617 - INFO - fastread - 420, 805
2019-01-27 23:24:47,974 - INFO - fastread - 421, 825
2019-01-27 23:24:51,320 - INFO - fastread - 425, 845
2019-01-27 23:24:54,838 - INFO - fastread - 431, 865
2019-01-27 23:24:58,425 - INFO - fastread - 433, 885
2019-01-27 23:25:02,246 - INFO - fastread - 434, 905
2019-01-27 23:25:06,146 - INFO - fastread - 434, 925
2019-01-27 23:25:09,915 - INFO - fastread - 435, 945
2019-01-27 23:25:13,747 - INFO - fastread - 438, 965
2019-01-27 23:25:17,556 - INFO - fastread - 438, 985
2019-01-27 23:25:21,336 - INFO - fastread - 440, 1005
2019-01-27 23:25:25,380 - INFO - fastread - 444, 1025
2019-01-27 23:25:29,462 - INFO - fastread - 446, 1045
2019-01-27 23:25:33,827 - INFO - fastread - 446, 1065
2019-01-27 23:25:38,108 - INFO - fastread - 447, 1085
2019-01-27 23:25:42,446 - INFO - fastread - 447, 1105
2019-01-27 23:25:46,691 - INFO - fastread - 450, 1125
2019-01-27 23:25:49,079 - INFO - rig - ++++NEW CLF++++ FASTREAD2
2019-01-27 23:25:49,079 - INFO - fastread - Total Yes: 472 | Total No: 2496
2019-01-27 23:25:49,230 - INFO - fastread - 0, 0
2019-01-27 23:26:04,728 - INFO - fastread - 140, 145
2019-01-27 23:26:07,018 - INFO - fastread - 151, 165
2019-01-27 23:26:09,277 - INFO - fastread - 157, 185
2019-01-27 23:26:11,688 - INFO - fastread - 167, 205
2019-01-27 23:26:14,119 - INFO - fastread - 183, 225
2019-01-27 23:26:16,590 - INFO - fastread - 202, 245
2019-01-27 23:26:19,111 - INFO - fastread - 220, 265
2019-01-27 23:26:21,731 - INFO - fastread - 238, 285
2019-01-27 23:26:24,375 - INFO - fastread - 254, 305
2019-01-27 23:26:27,039 - INFO - fastread - 268, 325
2019-01-27 23:26:29,812 - INFO - fastread - 277, 345
2019-01-27 23:26:32,444 - INFO - fastread - 296, 365
2019-01-27 23:26:35,258 - INFO - fastread - 304, 385
2019-01-27 23:26:38,112 - INFO - fastread - 318, 405
2019-01-27 23:26:40,855 - INFO - fastread - 335, 425
2019-01-27 23:26:43,852 - INFO - fastread - 348, 445
