2019-01-27 23:07:00,934 - INFO - rig - jEdit-4.2
2019-01-27 23:07:05,630 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:07:05,630 - INFO - fastread - Total Yes: 256 | Total No: 10066
2019-01-27 23:07:05,992 - INFO - fastread - 0, 0
2019-01-27 23:07:07,112 - INFO - fastread - 8, 9
2019-01-27 23:07:09,766 - INFO - fastread - 18, 29
2019-01-27 23:07:12,481 - INFO - fastread - 30, 49
2019-01-27 23:07:15,044 - INFO - fastread - 33, 69
2019-01-27 23:07:17,585 - INFO - fastread - 37, 89
2019-01-27 23:07:20,160 - INFO - fastread - 38, 109
2019-01-27 23:07:22,922 - INFO - fastread - 44, 129
2019-01-27 23:07:25,477 - INFO - fastread - 53, 149
2019-01-27 23:07:28,029 - INFO - fastread - 68, 169
2019-01-27 23:07:30,609 - INFO - fastread - 80, 189
2019-01-27 23:07:33,225 - INFO - fastread - 91, 209
2019-01-27 23:07:35,777 - INFO - fastread - 98, 229
2019-01-27 23:07:38,459 - INFO - fastread - 105, 249
2019-01-27 23:07:41,191 - INFO - fastread - 113, 269
2019-01-27 23:07:43,904 - INFO - fastread - 117, 289
2019-01-27 23:07:46,758 - INFO - fastread - 120, 309
2019-01-27 23:07:49,540 - INFO - fastread - 126, 329
2019-01-27 23:07:52,343 - INFO - fastread - 129, 349
2019-01-27 23:07:54,855 - INFO - fastread - 131, 369
2019-01-27 23:07:57,366 - INFO - fastread - 134, 389
2019-01-27 23:07:59,960 - INFO - fastread - 136, 409
2019-01-27 23:08:02,603 - INFO - fastread - 140, 429
2019-01-27 23:08:05,268 - INFO - fastread - 145, 449
2019-01-27 23:08:07,847 - INFO - fastread - 149, 469
2019-01-27 23:08:10,416 - INFO - fastread - 152, 489
2019-01-27 23:08:13,019 - INFO - fastread - 153, 509
2019-01-27 23:08:15,495 - INFO - fastread - 158, 529
2019-01-27 23:08:18,295 - INFO - fastread - 159, 549
2019-01-27 23:08:20,950 - INFO - fastread - 166, 569
2019-01-27 23:08:23,632 - INFO - fastread - 172, 589
2019-01-27 23:08:26,477 - INFO - fastread - 181, 609
2019-01-27 23:08:29,178 - INFO - fastread - 186, 629
2019-01-27 23:08:32,023 - INFO - fastread - 196, 649
2019-01-27 23:08:34,634 - INFO - fastread - 197, 669
