2019-01-27 23:07:00,751 - INFO - rig - jfreechart-1.0.19
2019-01-27 23:07:05,418 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:07:05,418 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-27 23:07:05,680 - INFO - fastread - 0, 0
2019-01-27 23:07:08,575 - INFO - fastread - 22, 24
2019-01-27 23:07:11,117 - INFO - fastread - 23, 44
2019-01-27 23:07:13,649 - INFO - fastread - 25, 64
2019-01-27 23:07:16,142 - INFO - fastread - 27, 84
2019-01-27 23:07:18,666 - INFO - fastread - 28, 104
2019-01-27 23:07:21,249 - INFO - fastread - 31, 124
2019-01-27 23:07:23,610 - INFO - fastread - 35, 144
2019-01-27 23:07:25,951 - INFO - fastread - 40, 164
2019-01-27 23:07:28,342 - INFO - fastread - 60, 184
2019-01-27 23:07:30,732 - INFO - fastread - 75, 204
2019-01-27 23:07:33,165 - INFO - fastread - 81, 224
2019-01-27 23:07:35,555 - INFO - fastread - 82, 244
2019-01-27 23:07:38,026 - INFO - fastread - 88, 264
2019-01-27 23:07:40,436 - INFO - fastread - 97, 284
2019-01-27 23:07:42,824 - INFO - fastread - 103, 304
2019-01-27 23:07:45,145 - INFO - fastread - 103, 324
2019-01-27 23:07:47,603 - INFO - fastread - 103, 344
2019-01-27 23:07:50,137 - INFO - fastread - 105, 364
2019-01-27 23:07:52,444 - INFO - fastread - 108, 384
2019-01-27 23:07:54,895 - INFO - fastread - 108, 404
2019-01-27 23:07:57,366 - INFO - fastread - 108, 424
2019-01-27 23:07:59,809 - INFO - fastread - 108, 444
2019-01-27 23:08:02,390 - INFO - fastread - 109, 464
2019-01-27 23:08:04,773 - INFO - fastread - 120, 484
2019-01-27 23:08:07,143 - INFO - fastread - 120, 504
2019-01-27 23:08:09,476 - INFO - fastread - 122, 524
2019-01-27 23:08:11,938 - INFO - fastread - 125, 544
2019-01-27 23:08:14,453 - INFO - fastread - 125, 564
2019-01-27 23:08:16,924 - INFO - fastread - 125, 584
2019-01-27 23:08:19,325 - INFO - fastread - 125, 604
2019-01-27 23:08:21,685 - INFO - fastread - 126, 624
2019-01-27 23:08:24,145 - INFO - fastread - 127, 644
2019-01-27 23:08:26,708 - INFO - fastread - 129, 664
2019-01-27 23:08:29,218 - INFO - fastread - 130, 684
2019-01-27 23:08:31,802 - INFO - fastread - 131, 704
2019-01-27 23:08:34,110 - INFO - fastread - 133, 724
2019-01-27 23:08:36,479 - INFO - fastread - 134, 744
2019-01-27 23:08:38,850 - INFO - fastread - 134, 764
2019-01-27 23:08:41,109 - INFO - fastread - 134, 784
2019-01-27 23:08:43,408 - INFO - fastread - 135, 804
2019-01-27 23:08:45,818 - INFO - fastread - 139, 824
2019-01-27 23:08:48,339 - INFO - fastread - 139, 844
2019-01-27 23:08:50,817 - INFO - fastread - 139, 864
2019-01-27 23:08:53,561 - INFO - fastread - 139, 884
2019-01-27 23:08:56,097 - INFO - fastread - 141, 904
2019-01-27 23:08:58,819 - INFO - fastread - 142, 924
2019-01-27 23:09:01,290 - INFO - fastread - 142, 944
2019-01-27 23:09:03,803 - INFO - fastread - 146, 964
2019-01-27 23:09:06,367 - INFO - fastread - 146, 984
2019-01-27 23:09:09,343 - INFO - fastread - 146, 1004
2019-01-27 23:09:12,043 - INFO - fastread - 147, 1024
2019-01-27 23:09:14,502 - INFO - fastread - 147, 1044
2019-01-27 23:09:16,981 - INFO - fastread - 147, 1064
2019-01-27 23:09:19,544 - INFO - fastread - 147, 1084
2019-01-27 23:09:22,021 - INFO - fastread - 147, 1104
2019-01-27 23:09:24,413 - INFO - fastread - 147, 1124
2019-01-27 23:09:27,020 - INFO - fastread - 147, 1144
2019-01-27 23:09:29,642 - INFO - fastread - 147, 1164
2019-01-27 23:09:32,329 - INFO - fastread - 147, 1184
2019-01-27 23:09:34,860 - INFO - fastread - 147, 1204
2019-01-27 23:09:37,668 - INFO - fastread - 147, 1224
2019-01-27 23:09:40,490 - INFO - fastread - 147, 1244
2019-01-27 23:09:43,008 - INFO - fastread - 147, 1264
2019-01-27 23:09:45,478 - INFO - fastread - 147, 1284
2019-01-27 23:09:48,065 - INFO - fastread - 147, 1304
2019-01-27 23:09:50,755 - INFO - fastread - 147, 1324
2019-01-27 23:09:53,198 - INFO - fastread - 148, 1344
2019-01-27 23:09:56,031 - INFO - fastread - 148, 1364
2019-01-27 23:09:58,974 - INFO - fastread - 148, 1384
2019-01-27 23:10:01,990 - INFO - fastread - 148, 1404
2019-01-27 23:10:04,710 - INFO - fastread - 148, 1424
2019-01-27 23:10:07,610 - INFO - fastread - 148, 1444
2019-01-27 23:10:10,487 - INFO - fastread - 148, 1464
2019-01-27 23:10:13,167 - INFO - fastread - 148, 1484
2019-01-27 23:10:16,264 - INFO - fastread - 148, 1504
2019-01-27 23:10:19,399 - INFO - fastread - 148, 1524
2019-01-27 23:10:21,917 - INFO - fastread - 148, 1544
2019-01-27 23:10:24,481 - INFO - fastread - 148, 1564
2019-01-27 23:10:27,364 - INFO - fastread - 148, 1584
2019-01-27 23:10:30,003 - INFO - fastread - 148, 1604
2019-01-27 23:10:32,665 - INFO - fastread - 148, 1624
2019-01-27 23:10:35,497 - INFO - fastread - 148, 1644
2019-01-27 23:10:38,298 - INFO - fastread - 148, 1664
2019-01-27 23:10:40,933 - INFO - fastread - 148, 1684
2019-01-27 23:10:43,936 - INFO - fastread - 148, 1704
2019-01-27 23:10:46,619 - INFO - fastread - 148, 1724
2019-01-27 23:10:49,442 - INFO - fastread - 148, 1744
2019-01-27 23:10:52,551 - INFO - fastread - 148, 1764
2019-01-27 23:10:55,364 - INFO - fastread - 148, 1784
2019-01-27 23:10:58,069 - INFO - fastread - 148, 1804
2019-01-27 23:11:00,951 - INFO - fastread - 148, 1824
2019-01-27 23:11:03,694 - INFO - fastread - 148, 1844
2019-01-27 23:11:06,456 - INFO - fastread - 148, 1864
2019-01-27 23:11:09,441 - INFO - fastread - 148, 1884
2019-01-27 23:11:12,313 - INFO - fastread - 148, 1904
2019-01-27 23:11:15,055 - INFO - fastread - 148, 1924
2019-01-27 23:11:17,998 - INFO - fastread - 148, 1944
2019-01-27 23:11:20,810 - INFO - fastread - 148, 1964
2019-01-27 23:11:23,520 - INFO - fastread - 148, 1984
