2019-01-27 23:07:01,185 - INFO - rig - sql12
2019-01-27 23:07:05,831 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:07:05,831 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-27 23:07:06,214 - INFO - fastread - 0, 0
2019-01-27 23:07:13,306 - INFO - fastread - 54, 59
2019-01-27 23:07:16,013 - INFO - fastread - 55, 79
2019-01-27 23:07:18,676 - INFO - fastread - 57, 99
2019-01-27 23:07:21,501 - INFO - fastread - 58, 119
2019-01-27 23:07:24,195 - INFO - fastread - 61, 139
2019-01-27 23:07:26,970 - INFO - fastread - 66, 159
2019-01-27 23:07:29,652 - INFO - fastread - 74, 179
2019-01-27 23:07:32,419 - INFO - fastread - 80, 199
2019-01-27 23:07:35,172 - INFO - fastread - 88, 219
2019-01-27 23:07:38,096 - INFO - fastread - 101, 239
2019-01-27 23:07:41,080 - INFO - fastread - 111, 259
2019-01-27 23:07:44,065 - INFO - fastread - 126, 279
2019-01-27 23:07:47,079 - INFO - fastread - 132, 299
2019-01-27 23:07:50,096 - INFO - fastread - 138, 319
2019-01-27 23:07:53,343 - INFO - fastread - 151, 339
2019-01-27 23:07:56,330 - INFO - fastread - 159, 359
2019-01-27 23:07:59,295 - INFO - fastread - 168, 379
2019-01-27 23:08:02,352 - INFO - fastread - 170, 399
2019-01-27 23:08:05,378 - INFO - fastread - 171, 419
2019-01-27 23:08:08,253 - INFO - fastread - 171, 439
2019-01-27 23:08:11,194 - INFO - fastread - 174, 459
2019-01-27 23:08:14,223 - INFO - fastread - 178, 479
2019-01-27 23:08:17,324 - INFO - fastread - 193, 499
2019-01-27 23:08:20,345 - INFO - fastread - 197, 519
2019-01-27 23:08:23,370 - INFO - fastread - 202, 539
2019-01-27 23:08:26,696 - INFO - fastread - 203, 559
2019-01-27 23:08:29,855 - INFO - fastread - 204, 579
2019-01-27 23:08:33,011 - INFO - fastread - 205, 599
2019-01-27 23:08:36,005 - INFO - fastread - 211, 619
2019-01-27 23:08:39,059 - INFO - fastread - 217, 639
2019-01-27 23:08:42,219 - INFO - fastread - 218, 659
2019-01-27 23:08:45,385 - INFO - fastread - 220, 679
2019-01-27 23:08:48,589 - INFO - fastread - 220, 699
2019-01-27 23:08:52,137 - INFO - fastread - 222, 719
2019-01-27 23:08:55,484 - INFO - fastread - 222, 739
2019-01-27 23:08:58,821 - INFO - fastread - 225, 759
2019-01-27 23:09:02,126 - INFO - fastread - 226, 779
2019-01-27 23:09:05,437 - INFO - fastread - 226, 799
2019-01-27 23:09:09,231 - INFO - fastread - 228, 819
2019-01-27 23:09:12,685 - INFO - fastread - 229, 839
2019-01-27 23:09:15,832 - INFO - fastread - 229, 859
2019-01-27 23:09:19,261 - INFO - fastread - 231, 879
2019-01-27 23:09:22,860 - INFO - fastread - 231, 899
2019-01-27 23:09:26,298 - INFO - fastread - 232, 919
2019-01-27 23:09:29,619 - INFO - fastread - 232, 939
2019-01-27 23:09:33,127 - INFO - fastread - 233, 959
2019-01-27 23:09:36,599 - INFO - fastread - 233, 979
2019-01-27 23:09:40,266 - INFO - fastread - 234, 999
2019-01-27 23:09:43,897 - INFO - fastread - 234, 1019
2019-01-27 23:09:47,468 - INFO - fastread - 234, 1039
2019-01-27 23:09:51,061 - INFO - fastread - 234, 1059
2019-01-27 23:09:54,661 - INFO - fastread - 239, 1079
2019-01-27 23:09:58,541 - INFO - fastread - 240, 1099
2019-01-27 23:10:02,684 - INFO - fastread - 242, 1119
2019-01-27 23:10:06,794 - INFO - fastread - 242, 1139
2019-01-27 23:10:11,042 - INFO - fastread - 242, 1159
2019-01-27 23:10:15,325 - INFO - fastread - 245, 1179
2019-01-27 23:10:19,629 - INFO - fastread - 245, 1199
2019-01-27 23:10:23,412 - INFO - fastread - 245, 1219
2019-01-27 23:10:27,444 - INFO - fastread - 246, 1239
2019-01-27 23:10:31,586 - INFO - fastread - 246, 1259
2019-01-27 23:10:35,698 - INFO - fastread - 246, 1279
2019-01-27 23:10:39,935 - INFO - fastread - 246, 1299
2019-01-27 23:10:44,178 - INFO - fastread - 248, 1319
2019-01-27 23:10:48,260 - INFO - fastread - 248, 1339
2019-01-27 23:10:52,599 - INFO - fastread - 248, 1359
2019-01-27 23:10:56,662 - INFO - fastread - 249, 1379
2019-01-27 23:11:00,951 - INFO - fastread - 249, 1399
2019-01-27 23:11:05,189 - INFO - fastread - 249, 1419
2019-01-27 23:11:09,461 - INFO - fastread - 249, 1439
2019-01-27 23:11:13,483 - INFO - fastread - 250, 1459
2019-01-27 23:11:17,614 - INFO - fastread - 253, 1479
2019-01-27 23:11:21,656 - INFO - fastread - 255, 1499
2019-01-27 23:11:26,052 - INFO - fastread - 257, 1519
2019-01-27 23:11:30,447 - INFO - fastread - 257, 1539
2019-01-27 23:11:34,863 - INFO - fastread - 257, 1559
2019-01-27 23:11:39,095 - INFO - fastread - 257, 1579
2019-01-27 23:11:43,654 - INFO - fastread - 257, 1599
2019-01-27 23:11:48,061 - INFO - fastread - 257, 1619
2019-01-27 23:11:52,765 - INFO - fastread - 257, 1639
2019-01-27 23:11:57,142 - INFO - fastread - 257, 1659
2019-01-27 23:12:01,957 - INFO - fastread - 257, 1679
2019-01-27 23:12:06,518 - INFO - fastread - 257, 1699
2019-01-27 23:12:11,308 - INFO - fastread - 257, 1719
2019-01-27 23:12:15,926 - INFO - fastread - 257, 1739
2019-01-27 23:12:20,865 - INFO - fastread - 257, 1759
2019-01-27 23:12:25,482 - INFO - fastread - 257, 1779
2019-01-27 23:12:30,075 - INFO - fastread - 257, 1799
2019-01-27 23:12:34,893 - INFO - fastread - 257, 1819
2019-01-27 23:12:39,533 - INFO - fastread - 257, 1839
2019-01-27 23:12:44,071 - INFO - fastread - 257, 1859
2019-01-27 23:12:48,559 - INFO - fastread - 258, 1879
2019-01-27 23:12:53,155 - INFO - fastread - 258, 1899
2019-01-27 23:12:57,451 - INFO - fastread - 258, 1919
2019-01-27 23:13:02,214 - INFO - fastread - 267, 1939
2019-01-27 23:13:06,573 - INFO - fastread - 267, 1959
2019-01-27 23:13:10,979 - INFO - fastread - 267, 1979
2019-01-27 23:13:15,779 - INFO - fastread - 269, 1999
2019-01-27 23:13:20,235 - INFO - fastread - 269, 2019
2019-01-27 23:13:24,834 - INFO - fastread - 269, 2039
2019-01-27 23:13:29,287 - INFO - fastread - 269, 2059
2019-01-27 23:13:33,938 - INFO - fastread - 271, 2079
2019-01-27 23:13:36,536 - INFO - rig - ++++NEW CLF++++ FASTREAD2
2019-01-27 23:13:36,536 - INFO - fastread - Total Yes: 286 | Total No: 6929
2019-01-27 23:13:36,697 - INFO - fastread - 0, 0
2019-01-27 23:13:42,608 - INFO - fastread - 54, 59
2019-01-27 23:13:44,917 - INFO - fastread - 55, 79
2019-01-27 23:13:47,389 - INFO - fastread - 57, 99
2019-01-27 23:13:50,007 - INFO - fastread - 58, 119
2019-01-27 23:13:52,654 - INFO - fastread - 61, 139
2019-01-27 23:13:55,279 - INFO - fastread - 66, 159
2019-01-27 23:13:58,219 - INFO - fastread - 74, 179
2019-01-27 23:14:01,090 - INFO - fastread - 80, 199
2019-01-27 23:14:03,938 - INFO - fastread - 88, 219
2019-01-27 23:14:06,669 - INFO - fastread - 101, 239
2019-01-27 23:14:09,379 - INFO - fastread - 120, 259
2019-01-27 23:14:12,180 - INFO - fastread - 129, 279
2019-01-27 23:14:14,581 - INFO - fastread - 142, 299
2019-01-27 23:14:17,263 - INFO - fastread - 151, 319
2019-01-27 23:14:20,192 - INFO - fastread - 156, 339
2019-01-27 23:14:22,992 - INFO - fastread - 156, 359
2019-01-27 23:14:25,635 - INFO - fastread - 158, 379
2019-01-27 23:14:28,482 - INFO - fastread - 176, 399
2019-01-27 23:14:31,733 - INFO - fastread - 183, 419
2019-01-27 23:14:34,893 - INFO - fastread - 184, 439
2019-01-27 23:14:37,919 - INFO - fastread - 186, 459
2019-01-27 23:14:40,994 - INFO - fastread - 191, 479
2019-01-27 23:14:44,251 - INFO - fastread - 195, 499
2019-01-27 23:14:47,516 - INFO - fastread - 202, 519
2019-01-27 23:14:51,148 - INFO - fastread - 207, 539
2019-01-27 23:14:54,590 - INFO - fastread - 210, 559
2019-01-27 23:14:58,170 - INFO - fastread - 211, 579
2019-01-27 23:15:01,842 - INFO - fastread - 212, 599
2019-01-27 23:15:05,591 - INFO - fastread - 212, 619
2019-01-27 23:15:09,111 - INFO - fastread - 213, 639
2019-01-27 23:15:12,717 - INFO - fastread - 214, 659
2019-01-27 23:15:16,329 - INFO - fastread - 215, 679
2019-01-27 23:15:19,977 - INFO - fastread - 216, 699
2019-01-27 23:15:23,601 - INFO - fastread - 216, 719
2019-01-27 23:15:27,148 - INFO - fastread - 219, 739
2019-01-27 23:15:30,800 - INFO - fastread - 222, 759
2019-01-27 23:15:34,602 - INFO - fastread - 223, 779
2019-01-27 23:15:38,482 - INFO - fastread - 223, 799
2019-01-27 23:15:42,494 - INFO - fastread - 224, 819
2019-01-27 23:15:46,403 - INFO - fastread - 224, 839
2019-01-27 23:15:50,343 - INFO - fastread - 225, 859
2019-01-27 23:15:54,371 - INFO - fastread - 227, 879
2019-01-27 23:15:58,476 - INFO - fastread - 227, 899
2019-01-27 23:16:02,654 - INFO - fastread - 227, 919
2019-01-27 23:16:07,030 - INFO - fastread - 232, 939
2019-01-27 23:16:11,649 - INFO - fastread - 235, 959
2019-01-27 23:16:16,430 - INFO - fastread - 237, 979
2019-01-27 23:16:21,121 - INFO - fastread - 238, 999
2019-01-27 23:16:25,717 - INFO - fastread - 238, 1019
2019-01-27 23:16:30,207 - INFO - fastread - 241, 1039
2019-01-27 23:16:34,922 - INFO - fastread - 244, 1059
2019-01-27 23:16:39,616 - INFO - fastread - 246, 1079
2019-01-27 23:16:44,369 - INFO - fastread - 246, 1099
2019-01-27 23:16:49,057 - INFO - fastread - 246, 1119
2019-01-27 23:16:53,959 - INFO - fastread - 246, 1139
2019-01-27 23:16:58,647 - INFO - fastread - 247, 1159
2019-01-27 23:17:03,417 - INFO - fastread - 249, 1179
2019-01-27 23:17:08,180 - INFO - fastread - 249, 1199
2019-01-27 23:17:13,071 - INFO - fastread - 249, 1219
2019-01-27 23:17:17,904 - INFO - fastread - 249, 1239
2019-01-27 23:17:22,859 - INFO - fastread - 250, 1259
2019-01-27 23:17:27,780 - INFO - fastread - 250, 1279
2019-01-27 23:17:32,660 - INFO - fastread - 250, 1299
2019-01-27 23:17:37,786 - INFO - fastread - 250, 1319
2019-01-27 23:17:43,027 - INFO - fastread - 250, 1339
2019-01-27 23:17:48,051 - INFO - fastread - 253, 1359
2019-01-27 23:17:53,416 - INFO - fastread - 253, 1379
2019-01-27 23:17:58,574 - INFO - fastread - 253, 1399
2019-01-27 23:18:04,050 - INFO - fastread - 253, 1419
2019-01-27 23:18:09,136 - INFO - fastread - 253, 1439
2019-01-27 23:18:14,752 - INFO - fastread - 253, 1459
2019-01-27 23:18:19,961 - INFO - fastread - 254, 1479
2019-01-27 23:18:25,205 - INFO - fastread - 255, 1499
2019-01-27 23:18:30,354 - INFO - fastread - 257, 1519
2019-01-27 23:18:36,631 - INFO - fastread - 257, 1539
2019-01-27 23:18:42,460 - INFO - fastread - 257, 1559
2019-01-27 23:18:48,243 - INFO - fastread - 258, 1579
2019-01-27 23:18:54,151 - INFO - fastread - 258, 1599
2019-01-27 23:18:59,984 - INFO - fastread - 258, 1619
2019-01-27 23:19:05,476 - INFO - fastread - 258, 1639
2019-01-27 23:19:10,733 - INFO - fastread - 258, 1659
2019-01-27 23:19:15,805 - INFO - fastread - 261, 1679
2019-01-27 23:19:21,079 - INFO - fastread - 261, 1699
2019-01-27 23:19:26,698 - INFO - fastread - 261, 1719
2019-01-27 23:19:32,307 - INFO - fastread - 261, 1739
2019-01-27 23:19:37,652 - INFO - fastread - 261, 1759
2019-01-27 23:19:43,332 - INFO - fastread - 263, 1779
2019-01-27 23:19:48,596 - INFO - fastread - 263, 1799
2019-01-27 23:19:54,045 - INFO - fastread - 263, 1819
2019-01-27 23:20:00,161 - INFO - fastread - 263, 1839
2019-01-27 23:20:05,829 - INFO - fastread - 263, 1859
2019-01-27 23:20:11,659 - INFO - fastread - 263, 1879
2019-01-27 23:20:17,460 - INFO - fastread - 263, 1899
2019-01-27 23:20:23,315 - INFO - fastread - 263, 1919
2019-01-27 23:20:29,060 - INFO - fastread - 263, 1939
2019-01-27 23:20:34,595 - INFO - fastread - 263, 1959
2019-01-27 23:20:40,622 - INFO - fastread - 263, 1979
2019-01-27 23:20:46,391 - INFO - fastread - 264, 1999
2019-01-27 23:20:52,266 - INFO - fastread - 264, 2019
2019-01-27 23:20:58,208 - INFO - fastread - 264, 2039
2019-01-27 23:21:04,351 - INFO - fastread - 264, 2059
2019-01-27 23:21:10,800 - INFO - fastread - 264, 2079
2019-01-27 23:21:16,681 - INFO - fastread - 264, 2099
2019-01-27 23:21:22,651 - INFO - fastread - 264, 2119
2019-01-27 23:21:28,467 - INFO - fastread - 264, 2139
2019-01-27 23:21:34,308 - INFO - fastread - 264, 2159
2019-01-27 23:21:40,904 - INFO - fastread - 264, 2179
2019-01-27 23:21:47,515 - INFO - fastread - 264, 2199
2019-01-27 23:21:54,170 - INFO - fastread - 264, 2219
2019-01-27 23:22:00,212 - INFO - fastread - 264, 2239
2019-01-27 23:22:06,212 - INFO - fastread - 264, 2259
2019-01-27 23:22:12,291 - INFO - fastread - 264, 2279
2019-01-27 23:22:18,472 - INFO - fastread - 265, 2299
2019-01-27 23:22:24,977 - INFO - fastread - 265, 2319
