2019-01-27 23:31:26,656 - INFO - rig - apache-ant-1.7.0
2019-01-27 23:31:31,073 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:31:31,073 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-27 23:31:31,378 - INFO - fastread - 0, 0
2019-01-27 23:31:32,626 - INFO - fastread - 9, 10
2019-01-27 23:31:35,001 - INFO - fastread - 13, 30
2019-01-27 23:31:37,654 - INFO - fastread - 17, 50
2019-01-27 23:31:40,086 - INFO - fastread - 23, 70
2019-01-27 23:31:42,639 - INFO - fastread - 29, 90
2019-01-27 23:31:45,091 - INFO - fastread - 29, 110
2019-01-27 23:31:47,579 - INFO - fastread - 34, 130
2019-01-27 23:31:50,055 - INFO - fastread - 41, 150
2019-01-27 23:31:52,601 - INFO - fastread - 56, 170
2019-01-27 23:31:55,155 - INFO - fastread - 67, 190
2019-01-27 23:31:57,718 - INFO - fastread - 73, 210
2019-01-27 23:32:00,100 - INFO - fastread - 75, 230
2019-01-27 23:32:02,500 - INFO - fastread - 78, 250
2019-01-27 23:32:04,920 - INFO - fastread - 78, 270
2019-01-27 23:32:07,332 - INFO - fastread - 80, 290
2019-01-27 23:32:09,744 - INFO - fastread - 83, 310
2019-01-27 23:32:12,185 - INFO - fastread - 83, 330
2019-01-27 23:32:14,675 - INFO - fastread - 83, 350
2019-01-27 23:32:17,276 - INFO - fastread - 83, 370
2019-01-27 23:32:19,943 - INFO - fastread - 83, 390
2019-01-27 23:32:22,525 - INFO - fastread - 85, 410
2019-01-27 23:32:25,082 - INFO - fastread - 86, 430
2019-01-27 23:32:27,617 - INFO - fastread - 86, 450
2019-01-27 23:32:30,247 - INFO - fastread - 87, 470
2019-01-27 23:32:32,825 - INFO - fastread - 87, 490
2019-01-27 23:32:35,525 - INFO - fastread - 87, 510
2019-01-27 23:32:38,161 - INFO - fastread - 87, 530
2019-01-27 23:32:40,612 - INFO - fastread - 88, 550
2019-01-27 23:32:43,117 - INFO - fastread - 88, 570
2019-01-27 23:32:45,667 - INFO - fastread - 89, 590
2019-01-27 23:32:48,352 - INFO - fastread - 91, 610
2019-01-27 23:32:50,872 - INFO - fastread - 92, 630
2019-01-27 23:32:53,557 - INFO - fastread - 93, 650
2019-01-27 23:32:56,460 - INFO - fastread - 95, 670
2019-01-27 23:32:59,409 - INFO - fastread - 96, 690
2019-01-27 23:33:02,265 - INFO - fastread - 97, 710
2019-01-27 23:33:04,847 - INFO - fastread - 98, 730
2019-01-27 23:33:07,407 - INFO - fastread - 98, 750
2019-01-27 23:33:10,040 - INFO - fastread - 98, 770
2019-01-27 23:33:12,955 - INFO - fastread - 98, 790
2019-01-27 23:33:15,680 - INFO - fastread - 100, 810
2019-01-27 23:33:18,300 - INFO - fastread - 100, 830
2019-01-27 23:33:21,054 - INFO - fastread - 101, 850
2019-01-27 23:33:24,099 - INFO - fastread - 102, 870
2019-01-27 23:33:27,084 - INFO - fastread - 102, 890
2019-01-27 23:33:29,897 - INFO - fastread - 102, 910
2019-01-27 23:33:32,638 - INFO - fastread - 102, 930
2019-01-27 23:33:35,401 - INFO - fastread - 103, 950
2019-01-27 23:33:38,234 - INFO - fastread - 104, 970
2019-01-27 23:33:41,168 - INFO - fastread - 105, 990
2019-01-27 23:33:43,982 - INFO - fastread - 107, 1010
2019-01-27 23:33:46,603 - INFO - fastread - 107, 1030
2019-01-27 23:33:49,640 - INFO - fastread - 107, 1050
2019-01-27 23:33:52,890 - INFO - fastread - 107, 1070
2019-01-27 23:33:56,128 - INFO - fastread - 107, 1090
2019-01-27 23:33:59,104 - INFO - fastread - 107, 1110
2019-01-27 23:34:02,140 - INFO - fastread - 107, 1130
2019-01-27 23:34:05,022 - INFO - fastread - 109, 1150
2019-01-27 23:34:08,009 - INFO - fastread - 111, 1170
2019-01-27 23:34:11,094 - INFO - fastread - 111, 1190
2019-01-27 23:34:14,069 - INFO - fastread - 112, 1210
2019-01-27 23:34:16,897 - INFO - fastread - 112, 1230
2019-01-27 23:34:19,750 - INFO - fastread - 112, 1250
2019-01-27 23:34:22,839 - INFO - fastread - 112, 1270
2019-01-27 23:34:26,089 - INFO - fastread - 113, 1290
2019-01-27 23:34:29,082 - INFO - fastread - 113, 1310
2019-01-27 23:34:32,173 - INFO - fastread - 113, 1330
2019-01-27 23:34:35,298 - INFO - fastread - 113, 1350
2019-01-27 23:34:38,485 - INFO - fastread - 114, 1370
2019-01-27 23:34:41,720 - INFO - fastread - 114, 1390
2019-01-27 23:34:44,707 - INFO - fastread - 116, 1410
2019-01-27 23:34:47,600 - INFO - fastread - 117, 1430
2019-01-27 23:34:50,666 - INFO - fastread - 117, 1450
2019-01-27 23:34:53,821 - INFO - fastread - 117, 1470
2019-01-27 23:34:56,816 - INFO - fastread - 117, 1490
2019-01-27 23:34:59,627 - INFO - fastread - 117, 1510
2019-01-27 23:35:02,613 - INFO - fastread - 117, 1530
2019-01-27 23:35:05,707 - INFO - fastread - 118, 1550
2019-01-27 23:35:08,816 - INFO - fastread - 118, 1570
2019-01-27 23:35:11,751 - INFO - fastread - 119, 1590
2019-01-27 23:35:14,897 - INFO - fastread - 119, 1610
2019-01-27 23:35:18,044 - INFO - fastread - 119, 1630
2019-01-27 23:35:21,151 - INFO - fastread - 119, 1650
2019-01-27 23:35:24,154 - INFO - fastread - 120, 1670
2019-01-27 23:35:27,451 - INFO - fastread - 120, 1690
2019-01-27 23:35:30,869 - INFO - fastread - 122, 1710
2019-01-27 23:35:34,305 - INFO - fastread - 122, 1730
2019-01-27 23:35:37,601 - INFO - fastread - 122, 1750
2019-01-27 23:35:40,711 - INFO - fastread - 122, 1770
2019-01-27 23:35:43,758 - INFO - fastread - 122, 1790
2019-01-27 23:35:47,067 - INFO - fastread - 122, 1810
2019-01-27 23:35:50,395 - INFO - fastread - 124, 1830
2019-01-27 23:35:51,895 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:35:51,895 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-27 23:35:52,048 - INFO - fastread - 0, 0
2019-01-27 23:35:52,945 - INFO - fastread - 9, 10
2019-01-27 23:35:55,112 - INFO - fastread - 13, 30
2019-01-27 23:35:57,040 - INFO - fastread - 17, 50
2019-01-27 23:35:59,378 - INFO - fastread - 23, 70
2019-01-27 23:36:01,551 - INFO - fastread - 29, 90
2019-01-27 23:36:04,089 - INFO - fastread - 29, 110
2019-01-27 23:36:06,704 - INFO - fastread - 34, 130
2019-01-27 23:36:09,289 - INFO - fastread - 41, 150
2019-01-27 23:36:11,778 - INFO - fastread - 56, 170
2019-01-27 23:36:14,061 - INFO - fastread - 61, 190
2019-01-27 23:36:16,474 - INFO - fastread - 65, 210
2019-01-27 23:36:18,812 - INFO - fastread - 68, 230
2019-01-27 23:36:21,151 - INFO - fastread - 72, 250
2019-01-27 23:36:23,462 - INFO - fastread - 76, 270
2019-01-27 23:36:25,733 - INFO - fastread - 79, 290
2019-01-27 23:36:28,138 - INFO - fastread - 81, 310
2019-01-27 23:36:30,492 - INFO - fastread - 82, 330
2019-01-27 23:36:32,812 - INFO - fastread - 82, 350
2019-01-27 23:36:35,101 - INFO - fastread - 83, 370
2019-01-27 23:36:37,480 - INFO - fastread - 83, 390
2019-01-27 23:36:40,190 - INFO - fastread - 84, 410
2019-01-27 23:36:42,440 - INFO - fastread - 84, 430
2019-01-27 23:36:45,164 - INFO - fastread - 84, 450
2019-01-27 23:36:47,533 - INFO - fastread - 85, 470
2019-01-27 23:36:50,247 - INFO - fastread - 85, 490
2019-01-27 23:36:52,709 - INFO - fastread - 85, 510
2019-01-27 23:36:55,454 - INFO - fastread - 87, 530
2019-01-27 23:36:57,976 - INFO - fastread - 88, 550
2019-01-27 23:37:00,951 - INFO - fastread - 91, 570
2019-01-27 23:37:03,775 - INFO - fastread - 91, 590
2019-01-27 23:37:06,618 - INFO - fastread - 92, 610
