2019-01-27 23:31:26,208 - INFO - rig - columba-1.4-src
2019-01-27 23:31:31,166 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:31:31,166 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-27 23:31:31,509 - INFO - fastread - 0, 0
2019-01-27 23:31:43,676 - INFO - fastread - 100, 103
2019-01-27 23:31:46,190 - INFO - fastread - 112, 123
2019-01-27 23:31:48,703 - INFO - fastread - 124, 143
2019-01-27 23:31:51,300 - INFO - fastread - 130, 163
2019-01-27 23:31:53,874 - INFO - fastread - 136, 183
2019-01-27 23:31:56,505 - INFO - fastread - 145, 203
2019-01-27 23:31:59,079 - INFO - fastread - 148, 223
2019-01-27 23:32:01,551 - INFO - fastread - 148, 243
2019-01-27 23:32:04,053 - INFO - fastread - 155, 263
2019-01-27 23:32:06,636 - INFO - fastread - 170, 283
2019-01-27 23:32:09,237 - INFO - fastread - 177, 303
2019-01-27 23:32:11,822 - INFO - fastread - 179, 323
2019-01-27 23:32:14,425 - INFO - fastread - 179, 343
2019-01-27 23:32:17,074 - INFO - fastread - 179, 363
2019-01-27 23:32:19,741 - INFO - fastread - 180, 383
2019-01-27 23:32:22,374 - INFO - fastread - 181, 403
2019-01-27 23:32:24,997 - INFO - fastread - 184, 423
2019-01-27 23:32:27,544 - INFO - fastread - 184, 443
2019-01-27 23:32:30,255 - INFO - fastread - 184, 463
2019-01-27 23:32:32,918 - INFO - fastread - 185, 483
2019-01-27 23:32:35,727 - INFO - fastread - 186, 503
2019-01-27 23:32:38,360 - INFO - fastread - 188, 523
2019-01-27 23:32:40,933 - INFO - fastread - 188, 543
2019-01-27 23:32:43,536 - INFO - fastread - 188, 563
2019-01-27 23:32:46,225 - INFO - fastread - 188, 583
2019-01-27 23:32:49,008 - INFO - fastread - 188, 603
2019-01-27 23:32:51,742 - INFO - fastread - 188, 623
2019-01-27 23:32:54,587 - INFO - fastread - 188, 643
2019-01-27 23:32:57,290 - INFO - fastread - 188, 663
2019-01-27 23:33:00,084 - INFO - fastread - 189, 683
2019-01-27 23:33:02,978 - INFO - fastread - 189, 703
2019-01-27 23:33:05,754 - INFO - fastread - 189, 723
2019-01-27 23:33:08,476 - INFO - fastread - 189, 743
2019-01-27 23:33:11,251 - INFO - fastread - 189, 763
2019-01-27 23:33:14,124 - INFO - fastread - 189, 783
2019-01-27 23:33:17,000 - INFO - fastread - 189, 803
2019-01-27 23:33:19,823 - INFO - fastread - 190, 823
2019-01-27 23:33:22,748 - INFO - fastread - 190, 843
2019-01-27 23:33:25,340 - INFO - fastread - 190, 863
2019-01-27 23:33:27,951 - INFO - fastread - 191, 883
2019-01-27 23:33:30,693 - INFO - fastread - 192, 903
2019-01-27 23:33:33,497 - INFO - fastread - 192, 923
2019-01-27 23:33:36,239 - INFO - fastread - 192, 943
2019-01-27 23:33:39,040 - INFO - fastread - 192, 963
2019-01-27 23:33:41,986 - INFO - fastread - 192, 983
2019-01-27 23:33:45,002 - INFO - fastread - 192, 1003
2019-01-27 23:33:48,087 - INFO - fastread - 193, 1023
2019-01-27 23:33:49,085 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:33:49,085 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-27 23:33:49,246 - INFO - fastread - 0, 0
2019-01-27 23:33:59,748 - INFO - fastread - 100, 103
2019-01-27 23:34:02,089 - INFO - fastread - 112, 123
2019-01-27 23:34:04,305 - INFO - fastread - 126, 143
2019-01-27 23:34:06,577 - INFO - fastread - 130, 163
2019-01-27 23:34:08,835 - INFO - fastread - 137, 183
2019-01-27 23:34:11,275 - INFO - fastread - 141, 203
2019-01-27 23:34:13,673 - INFO - fastread - 146, 223
2019-01-27 23:34:16,026 - INFO - fastread - 147, 243
2019-01-27 23:34:18,399 - INFO - fastread - 152, 263
2019-01-27 23:34:20,517 - INFO - fastread - 155, 283
2019-01-27 23:34:23,010 - INFO - fastread - 159, 303
2019-01-27 23:34:25,641 - INFO - fastread - 176, 323
2019-01-27 23:34:28,006 - INFO - fastread - 179, 343
2019-01-27 23:34:30,382 - INFO - fastread - 180, 363
2019-01-27 23:34:32,918 - INFO - fastread - 180, 383
2019-01-27 23:34:35,427 - INFO - fastread - 182, 403
2019-01-27 23:34:38,051 - INFO - fastread - 183, 423
2019-01-27 23:34:40,219 - INFO - fastread - 186, 443
2019-01-27 23:34:42,729 - INFO - fastread - 186, 463
2019-01-27 23:34:45,372 - INFO - fastread - 186, 483
2019-01-27 23:34:47,751 - INFO - fastread - 187, 503
2019-01-27 23:34:50,302 - INFO - fastread - 189, 523
2019-01-27 23:34:52,708 - INFO - fastread - 189, 543
2019-01-27 23:34:55,070 - INFO - fastread - 189, 563
2019-01-27 23:34:57,572 - INFO - fastread - 189, 583
2019-01-27 23:34:59,799 - INFO - fastread - 189, 603
2019-01-27 23:35:02,311 - INFO - fastread - 190, 623
2019-01-27 23:35:04,789 - INFO - fastread - 191, 643
2019-01-27 23:35:07,118 - INFO - fastread - 192, 663
2019-01-27 23:35:09,643 - INFO - fastread - 193, 683
2019-01-27 23:35:10,289 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:35:10,289 - INFO - fastread - Total Yes: 204 | Total No: 6264
2019-01-27 23:35:10,450 - INFO - fastread - 0, 0
2019-01-27 23:35:20,250 - INFO - fastread - 100, 103
2019-01-27 23:35:22,299 - INFO - fastread - 112, 123
2019-01-27 23:35:24,456 - INFO - fastread - 126, 143
2019-01-27 23:35:26,786 - INFO - fastread - 130, 163
2019-01-27 23:35:28,942 - INFO - fastread - 137, 183
2019-01-27 23:35:31,292 - INFO - fastread - 141, 203
2019-01-27 23:35:33,812 - INFO - fastread - 146, 223
2019-01-27 23:35:35,846 - INFO - fastread - 147, 243
2019-01-27 23:35:38,386 - INFO - fastread - 152, 263
2019-01-27 23:35:40,641 - INFO - fastread - 155, 283
2019-01-27 23:35:42,972 - INFO - fastread - 159, 303
2019-01-27 23:35:45,282 - INFO - fastread - 176, 323
2019-01-27 23:35:47,670 - INFO - fastread - 179, 343
2019-01-27 23:35:50,193 - INFO - fastread - 180, 363
2019-01-27 23:35:52,431 - INFO - fastread - 180, 383
2019-01-27 23:35:54,963 - INFO - fastread - 182, 403
2019-01-27 23:35:57,149 - INFO - fastread - 183, 423
2019-01-27 23:35:59,760 - INFO - fastread - 186, 443
2019-01-27 23:36:02,377 - INFO - fastread - 186, 463
2019-01-27 23:36:05,384 - INFO - fastread - 186, 483
2019-01-27 23:36:08,499 - INFO - fastread - 187, 503
2019-01-27 23:36:11,191 - INFO - fastread - 189, 523
2019-01-27 23:36:13,918 - INFO - fastread - 189, 543
2019-01-27 23:36:16,595 - INFO - fastread - 189, 563
2019-01-27 23:36:19,327 - INFO - fastread - 189, 583
2019-01-27 23:36:21,858 - INFO - fastread - 189, 603
2019-01-27 23:36:24,816 - INFO - fastread - 190, 623
2019-01-27 23:36:27,356 - INFO - fastread - 191, 643
2019-01-27 23:36:30,039 - INFO - fastread - 192, 663
2019-01-27 23:36:32,651 - INFO - fastread - 193, 683
