2019-01-27 23:31:26,408 - INFO - rig - jfreechart-1.0.19
2019-01-27 23:31:31,176 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:31:31,176 - INFO - fastread - Total Yes: 209 | Total No: 4199
2019-01-27 23:31:31,499 - INFO - fastread - 0, 0
2019-01-27 23:31:34,314 - INFO - fastread - 21, 23
2019-01-27 23:31:36,948 - INFO - fastread - 23, 43
2019-01-27 23:31:39,360 - INFO - fastread - 23, 63
2019-01-27 23:31:41,820 - INFO - fastread - 29, 83
2019-01-27 23:31:44,192 - INFO - fastread - 34, 103
2019-01-27 23:31:46,622 - INFO - fastread - 34, 123
2019-01-27 23:31:49,066 - INFO - fastread - 34, 143
2019-01-27 23:31:51,461 - INFO - fastread - 36, 163
2019-01-27 23:31:53,904 - INFO - fastread - 41, 183
2019-01-27 23:31:56,437 - INFO - fastread - 60, 203
2019-01-27 23:31:58,958 - INFO - fastread - 70, 223
2019-01-27 23:32:01,360 - INFO - fastread - 72, 243
2019-01-27 23:32:03,822 - INFO - fastread - 73, 263
2019-01-27 23:32:06,223 - INFO - fastread - 81, 283
2019-01-27 23:32:08,713 - INFO - fastread - 94, 303
2019-01-27 23:32:11,166 - INFO - fastread - 99, 323
2019-01-27 23:32:13,608 - INFO - fastread - 99, 343
2019-01-27 23:32:16,089 - INFO - fastread - 108, 363
2019-01-27 23:32:18,439 - INFO - fastread - 115, 383
2019-01-27 23:32:20,789 - INFO - fastread - 117, 403
2019-01-27 23:32:23,150 - INFO - fastread - 117, 423
2019-01-27 23:32:25,627 - INFO - fastread - 117, 443
2019-01-27 23:32:27,966 - INFO - fastread - 117, 463
2019-01-27 23:32:30,469 - INFO - fastread - 117, 483
2019-01-27 23:32:32,958 - INFO - fastread - 117, 503
2019-01-27 23:32:35,596 - INFO - fastread - 119, 523
2019-01-27 23:32:38,111 - INFO - fastread - 119, 543
2019-01-27 23:32:40,481 - INFO - fastread - 119, 563
2019-01-27 23:32:42,876 - INFO - fastread - 119, 583
2019-01-27 23:32:45,256 - INFO - fastread - 119, 603
2019-01-27 23:32:47,767 - INFO - fastread - 119, 623
2019-01-27 23:32:50,166 - INFO - fastread - 119, 643
2019-01-27 23:32:52,832 - INFO - fastread - 122, 663
2019-01-27 23:32:55,676 - INFO - fastread - 123, 683
2019-01-27 23:32:58,196 - INFO - fastread - 124, 703
2019-01-27 23:33:00,658 - INFO - fastread - 125, 723
2019-01-27 23:33:03,282 - INFO - fastread - 128, 743
2019-01-27 23:33:05,885 - INFO - fastread - 128, 763
2019-01-27 23:33:08,446 - INFO - fastread - 129, 783
2019-01-27 23:33:11,059 - INFO - fastread - 130, 803
2019-01-27 23:33:13,693 - INFO - fastread - 130, 823
2019-01-27 23:33:16,406 - INFO - fastread - 132, 843
2019-01-27 23:33:18,926 - INFO - fastread - 137, 863
2019-01-27 23:33:21,525 - INFO - fastread - 137, 883
2019-01-27 23:33:24,199 - INFO - fastread - 139, 903
2019-01-27 23:33:26,923 - INFO - fastread - 140, 923
2019-01-27 23:33:29,444 - INFO - fastread - 141, 943
2019-01-27 23:33:31,783 - INFO - fastread - 141, 963
2019-01-27 23:33:34,342 - INFO - fastread - 141, 983
2019-01-27 23:33:36,824 - INFO - fastread - 141, 1003
2019-01-27 23:33:39,466 - INFO - fastread - 142, 1023
2019-01-27 23:33:42,168 - INFO - fastread - 144, 1043
2019-01-27 23:33:44,972 - INFO - fastread - 144, 1063
2019-01-27 23:33:47,704 - INFO - fastread - 145, 1083
2019-01-27 23:33:50,388 - INFO - fastread - 145, 1103
2019-01-27 23:33:53,204 - INFO - fastread - 145, 1123
2019-01-27 23:33:56,200 - INFO - fastread - 145, 1143
2019-01-27 23:33:58,960 - INFO - fastread - 145, 1163
2019-01-27 23:34:01,534 - INFO - fastread - 145, 1183
2019-01-27 23:34:04,136 - INFO - fastread - 145, 1203
2019-01-27 23:34:06,798 - INFO - fastread - 145, 1223
2019-01-27 23:34:09,309 - INFO - fastread - 145, 1243
2019-01-27 23:34:12,021 - INFO - fastread - 147, 1263
2019-01-27 23:34:14,999 - INFO - fastread - 147, 1283
2019-01-27 23:34:17,643 - INFO - fastread - 147, 1303
2019-01-27 23:34:20,145 - INFO - fastread - 147, 1323
2019-01-27 23:34:22,980 - INFO - fastread - 147, 1343
2019-01-27 23:34:25,901 - INFO - fastread - 147, 1363
2019-01-27 23:34:28,557 - INFO - fastread - 147, 1383
2019-01-27 23:34:31,444 - INFO - fastread - 147, 1403
2019-01-27 23:34:34,207 - INFO - fastread - 147, 1423
2019-01-27 23:34:36,659 - INFO - fastread - 147, 1443
2019-01-27 23:34:39,241 - INFO - fastread - 147, 1463
2019-01-27 23:34:42,267 - INFO - fastread - 147, 1483
2019-01-27 23:34:45,110 - INFO - fastread - 147, 1503
2019-01-27 23:34:47,650 - INFO - fastread - 147, 1523
2019-01-27 23:34:50,451 - INFO - fastread - 147, 1543
2019-01-27 23:34:53,144 - INFO - fastread - 147, 1563
2019-01-27 23:34:55,622 - INFO - fastread - 147, 1583
2019-01-27 23:34:58,348 - INFO - fastread - 147, 1603
2019-01-27 23:35:01,059 - INFO - fastread - 147, 1623
2019-01-27 23:35:03,469 - INFO - fastread - 147, 1643
2019-01-27 23:35:06,221 - INFO - fastread - 147, 1663
2019-01-27 23:35:08,927 - INFO - fastread - 147, 1683
2019-01-27 23:35:11,497 - INFO - fastread - 147, 1703
2019-01-27 23:35:14,383 - INFO - fastread - 147, 1723
2019-01-27 23:35:17,127 - INFO - fastread - 147, 1743
2019-01-27 23:35:19,554 - INFO - fastread - 147, 1763
2019-01-27 23:35:22,116 - INFO - fastread - 148, 1783
2019-01-27 23:35:24,827 - INFO - fastread - 148, 1803
2019-01-27 23:35:27,709 - INFO - fastread - 148, 1823
2019-01-27 23:35:30,748 - INFO - fastread - 148, 1843
2019-01-27 23:35:33,709 - INFO - fastread - 148, 1863
2019-01-27 23:35:36,128 - INFO - fastread - 148, 1883
2019-01-27 23:35:39,035 - INFO - fastread - 148, 1903
2019-01-27 23:35:41,914 - INFO - fastread - 148, 1923
2019-01-27 23:35:44,604 - INFO - fastread - 148, 1943
2019-01-27 23:35:47,360 - INFO - fastread - 148, 1963
2019-01-27 23:35:50,241 - INFO - fastread - 148, 1983
2019-01-27 23:35:52,945 - INFO - fastread - 148, 2003
2019-01-27 23:35:56,060 - INFO - fastread - 148, 2023
2019-01-27 23:35:59,045 - INFO - fastread - 148, 2043
2019-01-27 23:36:01,911 - INFO - fastread - 148, 2063
2019-01-27 23:36:05,378 - INFO - fastread - 148, 2083
2019-01-27 23:36:09,033 - INFO - fastread - 148, 2103
2019-01-27 23:36:12,251 - INFO - fastread - 148, 2123
2019-01-27 23:36:15,656 - INFO - fastread - 148, 2143
2019-01-27 23:36:18,549 - INFO - fastread - 148, 2163
2019-01-27 23:36:21,535 - INFO - fastread - 148, 2183
2019-01-27 23:36:24,967 - INFO - fastread - 148, 2203
2019-01-27 23:36:28,052 - INFO - fastread - 148, 2223
2019-01-27 23:36:31,138 - INFO - fastread - 148, 2243
2019-01-27 23:36:34,174 - INFO - fastread - 148, 2263
2019-01-27 23:36:37,218 - INFO - fastread - 148, 2283
2019-01-27 23:36:40,686 - INFO - fastread - 148, 2303
2019-01-27 23:36:43,924 - INFO - fastread - 148, 2323
2019-01-27 23:36:46,968 - INFO - fastread - 148, 2343
2019-01-27 23:36:50,420 - INFO - fastread - 148, 2363
2019-01-27 23:36:53,567 - INFO - fastread - 148, 2383
2019-01-27 23:36:56,885 - INFO - fastread - 148, 2403
2019-01-27 23:37:00,436 - INFO - fastread - 148, 2423
2019-01-27 23:37:03,987 - INFO - fastread - 148, 2443
2019-01-27 23:37:07,618 - INFO - fastread - 148, 2463
