2019-01-27 23:42:07,186 - INFO - rig - apache-ant-1.7.0
2019-01-27 23:42:14,615 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:42:14,623 - INFO - fastread - Total Yes: 131 | Total No: 3967
2019-01-27 23:42:14,986 - INFO - fastread - 0, 0
2019-01-27 23:42:17,723 - INFO - fastread - 20, 22
2019-01-27 23:42:20,146 - INFO - fastread - 20, 42
2019-01-27 23:42:22,686 - INFO - fastread - 22, 62
2019-01-27 23:42:25,220 - INFO - fastread - 24, 82
2019-01-27 23:42:27,833 - INFO - fastread - 28, 102
2019-01-27 23:42:30,627 - INFO - fastread - 32, 122
2019-01-27 23:42:33,119 - INFO - fastread - 35, 142
2019-01-27 23:42:35,863 - INFO - fastread - 35, 162
2019-01-27 23:42:38,484 - INFO - fastread - 43, 182
2019-01-27 23:42:40,806 - INFO - fastread - 54, 202
2019-01-27 23:42:43,187 - INFO - fastread - 57, 222
2019-01-27 23:42:45,697 - INFO - fastread - 63, 242
2019-01-27 23:42:48,178 - INFO - fastread - 71, 262
2019-01-27 23:42:50,599 - INFO - fastread - 73, 282
2019-01-27 23:42:53,050 - INFO - fastread - 76, 302
2019-01-27 23:42:55,554 - INFO - fastread - 81, 322
2019-01-27 23:42:58,065 - INFO - fastread - 84, 342
2019-01-27 23:43:00,689 - INFO - fastread - 85, 362
2019-01-27 23:43:03,212 - INFO - fastread - 85, 382
2019-01-27 23:43:05,622 - INFO - fastread - 86, 402
2019-01-27 23:43:08,123 - INFO - fastread - 86, 422
2019-01-27 23:43:10,797 - INFO - fastread - 86, 442
2019-01-27 23:43:13,968 - INFO - fastread - 86, 462
2019-01-27 23:43:16,724 - INFO - fastread - 88, 482
2019-01-27 23:43:19,490 - INFO - fastread - 88, 502
2019-01-27 23:43:22,250 - INFO - fastread - 90, 522
2019-01-27 23:43:25,185 - INFO - fastread - 91, 542
2019-01-27 23:43:28,168 - INFO - fastread - 91, 562
2019-01-27 23:43:30,906 - INFO - fastread - 91, 582
2019-01-27 23:43:33,690 - INFO - fastread - 92, 602
2019-01-27 23:43:36,514 - INFO - fastread - 94, 622
2019-01-27 23:43:39,460 - INFO - fastread - 94, 642
2019-01-27 23:43:42,366 - INFO - fastread - 94, 662
2019-01-27 23:43:45,098 - INFO - fastread - 96, 682
2019-01-27 23:43:47,829 - INFO - fastread - 97, 702
2019-01-27 23:43:50,626 - INFO - fastread - 97, 722
2019-01-27 23:43:53,794 - INFO - fastread - 98, 742
2019-01-27 23:43:56,940 - INFO - fastread - 98, 762
2019-01-27 23:43:59,887 - INFO - fastread - 101, 782
2019-01-27 23:44:02,972 - INFO - fastread - 102, 802
2019-01-27 23:44:06,220 - INFO - fastread - 102, 822
2019-01-27 23:44:09,472 - INFO - fastread - 102, 842
2019-01-27 23:44:12,497 - INFO - fastread - 103, 862
2019-01-27 23:44:15,565 - INFO - fastread - 103, 882
2019-01-27 23:44:18,684 - INFO - fastread - 103, 902
2019-01-27 23:44:21,712 - INFO - fastread - 104, 922
2019-01-27 23:44:24,979 - INFO - fastread - 106, 942
2019-01-27 23:44:28,187 - INFO - fastread - 107, 962
2019-01-27 23:44:31,497 - INFO - fastread - 107, 982
2019-01-27 23:44:34,855 - INFO - fastread - 108, 1002
2019-01-27 23:44:38,264 - INFO - fastread - 109, 1022
2019-01-27 23:44:41,307 - INFO - fastread - 109, 1042
2019-01-27 23:44:44,482 - INFO - fastread - 109, 1062
