2019-01-27 23:55:14,374 - INFO - rig - apache-jmeter-2.10
2019-01-27 23:55:20,836 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:55:20,836 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-01-27 23:55:21,158 - INFO - fastread - 0, 0
2019-01-27 23:55:47,967 - INFO - fastread - 224, 264
2019-01-27 23:55:50,366 - INFO - fastread - 237, 284
2019-01-27 23:55:53,056 - INFO - fastread - 248, 304
2019-01-27 23:55:55,905 - INFO - fastread - 250, 324
2019-01-27 23:55:58,475 - INFO - fastread - 257, 344
2019-01-27 23:56:01,411 - INFO - fastread - 263, 364
2019-01-27 23:56:04,139 - INFO - fastread - 265, 384
2019-01-27 23:56:06,815 - INFO - fastread - 268, 404
2019-01-27 23:56:09,580 - INFO - fastread - 274, 424
2019-01-27 23:56:12,515 - INFO - fastread - 283, 444
2019-01-27 23:56:15,529 - INFO - fastread - 288, 464
2019-01-27 23:56:18,494 - INFO - fastread - 289, 484
2019-01-27 23:56:21,336 - INFO - fastread - 292, 504
2019-01-27 23:56:24,292 - INFO - fastread - 294, 524
2019-01-27 23:56:27,333 - INFO - fastread - 294, 544
2019-01-27 23:56:30,264 - INFO - fastread - 295, 564
2019-01-27 23:56:33,317 - INFO - fastread - 296, 584
2019-01-27 23:56:36,311 - INFO - fastread - 297, 604
2019-01-27 23:56:39,191 - INFO - fastread - 300, 624
2019-01-27 23:56:42,204 - INFO - fastread - 302, 644
2019-01-27 23:56:45,327 - INFO - fastread - 302, 664
2019-01-27 23:56:48,551 - INFO - fastread - 302, 684
2019-01-27 23:56:51,768 - INFO - fastread - 302, 704
2019-01-27 23:56:54,823 - INFO - fastread - 303, 724
2019-01-27 23:56:57,898 - INFO - fastread - 303, 744
2019-01-27 23:57:01,047 - INFO - fastread - 305, 764
2019-01-27 23:57:04,195 - INFO - fastread - 306, 784
2019-01-27 23:57:07,295 - INFO - fastread - 306, 804
2019-01-27 23:57:10,459 - INFO - fastread - 306, 824
2019-01-27 23:57:13,789 - INFO - fastread - 306, 844
2019-01-27 23:57:16,921 - INFO - fastread - 307, 864
2019-01-27 23:57:20,267 - INFO - fastread - 311, 884
2019-01-27 23:57:23,587 - INFO - fastread - 311, 904
2019-01-27 23:57:27,008 - INFO - fastread - 317, 924
2019-01-27 23:57:30,819 - INFO - fastread - 318, 944
2019-01-27 23:57:34,366 - INFO - fastread - 318, 964
2019-01-27 23:57:38,229 - INFO - fastread - 318, 984
2019-01-27 23:57:41,900 - INFO - fastread - 318, 1004
2019-01-27 23:57:45,585 - INFO - fastread - 318, 1024
2019-01-27 23:57:49,659 - INFO - fastread - 318, 1044
2019-01-27 23:57:53,453 - INFO - fastread - 318, 1064
2019-01-27 23:57:57,334 - INFO - fastread - 320, 1084
2019-01-27 23:58:01,077 - INFO - fastread - 320, 1104
2019-01-27 23:58:04,951 - INFO - fastread - 320, 1124
2019-01-27 23:58:08,644 - INFO - fastread - 322, 1144
2019-01-27 23:58:12,557 - INFO - fastread - 322, 1164
2019-01-27 23:58:16,434 - INFO - fastread - 322, 1184
2019-01-27 23:58:21,263 - INFO - fastread - 322, 1204
2019-01-27 23:58:25,538 - INFO - fastread - 323, 1224
2019-01-27 23:58:30,100 - INFO - fastread - 323, 1244
2019-01-27 23:58:34,319 - INFO - fastread - 323, 1264
2019-01-27 23:58:38,471 - INFO - fastread - 324, 1284
2019-01-27 23:58:43,387 - INFO - fastread - 324, 1304
2019-01-27 23:58:47,741 - INFO - fastread - 324, 1324
2019-01-27 23:58:51,884 - INFO - fastread - 324, 1344
2019-01-27 23:58:56,380 - INFO - fastread - 325, 1364
2019-01-27 23:59:00,779 - INFO - fastread - 325, 1384
2019-01-27 23:59:05,582 - INFO - fastread - 325, 1404
2019-01-27 23:59:10,297 - INFO - fastread - 326, 1424
2019-01-27 23:59:14,689 - INFO - fastread - 327, 1444
2019-01-27 23:59:19,583 - INFO - fastread - 327, 1464
2019-01-27 23:59:23,766 - INFO - fastread - 328, 1484
2019-01-27 23:59:28,190 - INFO - fastread - 328, 1504
2019-01-27 23:59:32,633 - INFO - fastread - 329, 1524
2019-01-27 23:59:37,024 - INFO - fastread - 337, 1544
2019-01-27 23:59:41,229 - INFO - fastread - 338, 1564
2019-01-27 23:59:45,836 - INFO - fastread - 338, 1584
2019-01-27 23:59:49,826 - INFO - fastread - 338, 1604
2019-01-27 23:59:54,518 - INFO - fastread - 338, 1624
2019-01-27 23:59:58,414 - INFO - fastread - 338, 1644
2019-01-28 00:00:03,125 - INFO - fastread - 338, 1664
2019-01-28 00:00:07,578 - INFO - fastread - 338, 1684
2019-01-28 00:00:11,775 - INFO - fastread - 338, 1704
2019-01-28 00:00:15,588 - INFO - fastread - 339, 1724
2019-01-28 00:00:19,456 - INFO - fastread - 339, 1744
2019-01-28 00:00:23,257 - INFO - fastread - 341, 1764
2019-01-28 00:00:27,169 - INFO - fastread - 344, 1784
2019-01-28 00:00:30,992 - INFO - fastread - 344, 1804
2019-01-28 00:00:34,897 - INFO - fastread - 346, 1824
2019-01-28 00:00:39,018 - INFO - fastread - 355, 1844
2019-01-28 00:00:41,002 - INFO - rig - ++++NEW CLF++++ SVM
2019-01-28 00:00:41,002 - INFO - fastread - Total Yes: 374 | Total No: 7683
2019-01-28 00:07:37,241 - INFO - fastread - 6, 10
2019-01-28 00:07:37,246 - INFO - fastread - 10, 20
2019-01-28 00:07:37,251 - INFO - fastread - 10, 30
2019-01-28 00:07:37,255 - INFO - fastread - 12, 40
2019-01-28 00:07:37,259 - INFO - fastread - 22, 50
2019-01-28 00:07:37,262 - INFO - fastread - 32, 60
2019-01-28 00:07:37,265 - INFO - fastread - 42, 70
2019-01-28 00:07:37,268 - INFO - fastread - 50, 80
2019-01-28 00:07:37,271 - INFO - fastread - 60, 90
2019-01-28 00:07:37,275 - INFO - fastread - 70, 100
2019-01-28 00:07:37,278 - INFO - fastread - 80, 110
2019-01-28 00:07:37,281 - INFO - fastread - 89, 120
2019-01-28 00:07:37,283 - INFO - fastread - 99, 130
2019-01-28 00:07:37,286 - INFO - fastread - 109, 140
2019-01-28 00:07:37,289 - INFO - fastread - 119, 150
2019-01-28 00:07:37,294 - INFO - fastread - 129, 160
2019-01-28 00:07:37,299 - INFO - fastread - 139, 170
2019-01-28 00:07:37,305 - INFO - fastread - 148, 180
2019-01-28 00:07:37,310 - INFO - fastread - 157, 190
2019-01-28 00:07:37,316 - INFO - fastread - 167, 200
