2019-01-27 23:58:24,633 - INFO - rig - emf-2.4.1
2019-01-27 23:58:32,424 - INFO - rig - ++++NEW CLF++++ FASTREAD
2019-01-27 23:58:32,424 - INFO - fastread - Total Yes: 104 | Total No: 4285
2019-01-27 23:58:32,755 - INFO - fastread - 0, 0
2019-01-27 23:58:36,776 - INFO - fastread - 25, 38
2019-01-27 23:58:39,179 - INFO - fastread - 25, 58
2019-01-27 23:58:42,045 - INFO - fastread - 29, 78
2019-01-27 23:58:44,504 - INFO - fastread - 30, 98
2019-01-27 23:58:47,069 - INFO - fastread - 30, 118
2019-01-27 23:58:49,389 - INFO - fastread - 33, 138
2019-01-27 23:58:51,906 - INFO - fastread - 33, 158
2019-01-27 23:58:54,488 - INFO - fastread - 37, 178
2019-01-27 23:58:57,077 - INFO - fastread - 38, 198
2019-01-27 23:58:59,442 - INFO - fastread - 38, 218
2019-01-27 23:59:01,929 - INFO - fastread - 39, 238
2019-01-27 23:59:04,388 - INFO - fastread - 39, 258
2019-01-27 23:59:07,054 - INFO - fastread - 40, 278
2019-01-27 23:59:09,590 - INFO - fastread - 43, 298
2019-01-27 23:59:11,859 - INFO - fastread - 45, 318
2019-01-27 23:59:14,397 - INFO - fastread - 47, 338
2019-01-27 23:59:17,310 - INFO - fastread - 48, 358
2019-01-27 23:59:19,616 - INFO - fastread - 54, 378
2019-01-27 23:59:21,857 - INFO - fastread - 58, 398
2019-01-27 23:59:24,206 - INFO - fastread - 62, 418
2019-01-27 23:59:26,868 - INFO - fastread - 63, 438
2019-01-27 23:59:29,179 - INFO - fastread - 63, 458
2019-01-27 23:59:31,597 - INFO - fastread - 66, 478
2019-01-27 23:59:33,831 - INFO - fastread - 68, 498
2019-01-27 23:59:36,489 - INFO - fastread - 69, 518
2019-01-27 23:59:38,781 - INFO - fastread - 71, 538
2019-01-27 23:59:41,316 - INFO - fastread - 71, 558
2019-01-27 23:59:43,590 - INFO - fastread - 71, 578
2019-01-27 23:59:46,307 - INFO - fastread - 72, 598
2019-01-27 23:59:48,770 - INFO - fastread - 73, 618
2019-01-27 23:59:51,309 - INFO - fastread - 73, 638
2019-01-27 23:59:53,949 - INFO - fastread - 74, 658
2019-01-27 23:59:56,313 - INFO - fastread - 74, 678
2019-01-27 23:59:58,714 - INFO - fastread - 76, 698
2019-01-28 00:00:01,475 - INFO - fastread - 76, 718
2019-01-28 00:00:04,346 - INFO - fastread - 76, 738
2019-01-28 00:00:06,825 - INFO - fastread - 76, 758
2019-01-28 00:00:09,047 - INFO - fastread - 76, 778
2019-01-28 00:00:11,697 - INFO - fastread - 78, 798
2019-01-28 00:00:13,793 - INFO - fastread - 78, 818
2019-01-28 00:00:16,077 - INFO - fastread - 79, 838
2019-01-28 00:00:18,542 - INFO - fastread - 79, 858
2019-01-28 00:00:20,609 - INFO - fastread - 79, 878
2019-01-28 00:00:22,989 - INFO - fastread - 79, 898
2019-01-28 00:00:25,301 - INFO - fastread - 80, 918
2019-01-28 00:00:27,598 - INFO - fastread - 81, 938
2019-01-28 00:00:29,835 - INFO - fastread - 81, 958
2019-01-28 00:00:32,251 - INFO - fastread - 82, 978
2019-01-28 00:00:34,641 - INFO - fastread - 82, 998
2019-01-28 00:00:37,204 - INFO - fastread - 82, 1018
2019-01-28 00:00:39,683 - INFO - fastread - 82, 1038
2019-01-28 00:00:42,219 - INFO - fastread - 82, 1058
2019-01-28 00:00:44,702 - INFO - fastread - 82, 1078
2019-01-28 00:00:47,196 - INFO - fastread - 83, 1098
2019-01-28 00:00:49,797 - INFO - fastread - 84, 1118
2019-01-28 00:00:52,262 - INFO - fastread - 84, 1138
2019-01-28 00:00:54,675 - INFO - fastread - 85, 1158
2019-01-28 00:00:57,332 - INFO - fastread - 86, 1178
2019-01-28 00:00:59,706 - INFO - fastread - 86, 1198
2019-01-28 00:01:01,999 - INFO - fastread - 86, 1218
2019-01-28 00:01:04,515 - INFO - fastread - 86, 1238
2019-01-28 00:01:06,893 - INFO - fastread - 86, 1258
2019-01-28 00:01:09,144 - INFO - fastread - 86, 1278
2019-01-28 00:01:11,422 - INFO - fastread - 86, 1298
2019-01-28 00:01:13,898 - INFO - fastread - 86, 1318
2019-01-28 00:01:16,275 - INFO - fastread - 86, 1338
2019-01-28 00:01:18,838 - INFO - fastread - 86, 1358
2019-01-28 00:01:21,561 - INFO - fastread - 86, 1378
2019-01-28 00:01:24,074 - INFO - fastread - 86, 1398
2019-01-28 00:01:26,494 - INFO - fastread - 86, 1418
2019-01-28 00:01:28,986 - INFO - fastread - 87, 1438
2019-01-28 00:01:31,434 - INFO - fastread - 87, 1458
2019-01-28 00:01:33,831 - INFO - fastread - 87, 1478
2019-01-28 00:01:36,572 - INFO - fastread - 87, 1498
2019-01-28 00:01:39,274 - INFO - fastread - 87, 1518
2019-01-28 00:01:41,859 - INFO - fastread - 89, 1538
2019-01-28 00:01:44,731 - INFO - fastread - 90, 1558
2019-01-28 00:01:47,564 - INFO - fastread - 90, 1578
2019-01-28 00:01:50,277 - INFO - fastread - 91, 1598
2019-01-28 00:01:52,937 - INFO - fastread - 91, 1618
2019-01-28 00:01:55,409 - INFO - fastread - 91, 1638
2019-01-28 00:01:57,903 - INFO - fastread - 91, 1658
2019-01-28 00:02:00,363 - INFO - fastread - 91, 1678
2019-01-28 00:02:03,027 - INFO - fastread - 91, 1698
2019-01-28 00:02:06,225 - INFO - fastread - 91, 1718
2019-01-28 00:02:08,898 - INFO - fastread - 91, 1738
2019-01-28 00:02:11,350 - INFO - fastread - 91, 1758
2019-01-28 00:02:13,914 - INFO - fastread - 91, 1778
2019-01-28 00:02:16,650 - INFO - fastread - 91, 1798
2019-01-28 00:02:19,244 - INFO - fastread - 91, 1818
2019-01-28 00:02:21,659 - INFO - fastread - 91, 1838
2019-01-28 00:02:24,308 - INFO - fastread - 91, 1858
2019-01-28 00:02:26,893 - INFO - fastread - 91, 1878
2019-01-28 00:02:29,421 - INFO - fastread - 91, 1898
2019-01-28 00:02:32,057 - INFO - fastread - 93, 1918
2019-01-28 00:02:34,744 - INFO - fastread - 94, 1938
2019-01-28 00:02:37,594 - INFO - fastread - 94, 1958
2019-01-28 00:02:40,332 - INFO - fastread - 94, 1978
2019-01-28 00:02:43,077 - INFO - fastread - 94, 1998
2019-01-28 00:02:46,093 - INFO - fastread - 94, 2018
2019-01-28 00:02:48,940 - INFO - fastread - 95, 2038
